yng	ய்ங்
aparanta	பறந்த
apannaka	பன்னக
amantani	மந்தனி
alpinana	அல்பினா
alemania	அலெமனி
alaskana	அலஸ்கா
alaikum	அழைக்கும்
alaaddin	லாட்டின்
akampita	கம்பித
ajuuraan	ஜூரான்
ahirudin	ஹிருடின்
aavaalu	காவாலு
aakkulam	அக்குளம்
tiruvannamalai	திருவண்ணமலை
zmeskal	மெஸ்கல்
zhiping	ஹிபிங்
zhanlin	ஹன்லின்
zevalin	எவலின்
zeppeli	எப்பெலி
zecanin	எசனின்
Ždralin	டரலின்
zarkali	அர்கலி
zarivar	அறிவர்
zappala	அப்பல
zaikman	ஐக்மன்
yveltal	வெல்தல்
yperlee	பெர்லே
yingkai	இங்கை
yesenin	எஸெனின்
yefendi	எஃபெண்டி
yedisan	எடிஸன்
yanning	அன்னிங்
yandina	அண்டின
yalaini	அலைனி
yaarana	ஆரண
yaaradi	ஆறடி
yaameen	ஆமேன்
xingkai	இங்கை
xandree	அண்ட்ரே
xamarin	அமரின்
wulfram	உல்ஃப்ரம்
wulakai	உலகை
wooland	ஓலன்ட்
woodlin	ஓடலின்
woodlee	ஓட்லே
winnaar	இன்னார்
whelens	ஹெலென்ஸ்
whelden	ஹெல்டென்
whelans	ஹெலன்ஸ்
wheland	ஹெளண்ட்
wheelen	ஹேலென்
wheelan	ஹேலன்
werling	எர்லிங்
werding	எர்டிங்
wenglar	எங்ளர்
wattala	அத்தல
warumpi	அரும்பி
wappani	அப்பனி
wanniya	அன்னிய
wanning	அன்னிங்
wannama	அன்னம
wangkur	அங்குர்
wancang	அன்சங்
walfred	அல்ஃப்ரெட்
waldrin	அல்ட்ரின்
waldini	அல்டினி
wakelee	அகெலே
wakalat	அகலத்
wakaari	அகாரி
waitara	ஐதர
wadkins	அட்கின்ஸ்
wadiyar	அடியர்
vrooman	றோமன்
vracini	ரசினி
vittala	இத்தல
vitalba	விதல
virumaa	இருமா
villari	இல்லரி
vilapam	இலபம்
viduata	விடுத
vestan	அவெஸ்தன்
verulam	எறுழம்
ventana	வெந்தா
vempati	எம்பதி
velloor	எல்லோர்
vellarappilli	வெல்லரப்பிள்ளி
veliyan	எலியன்
velesii	எல்எஸ்ஈ
veerman	ஏர்மன்
vcenter	வெந்தெர்
varunan	அருணன்
variyar	அரியற்
vantara	அந்தர
vanning	அன்னிங்
vallon	வல்லோன்
valerik	அலெரிக்
valdrin	அல்ட்ரின்
vakkuri	அக்குறி
vakkali	அக்களி
vakarai	அகரை
vaivari	ஐவரி
vabalai	வாளை
utamaru	தமரு
urakami	ரகமி
uracini	ரசினி
upadika	படிக
ungkan	நுங்கண்
unerman	நெர்மன்
umariya	மரிய
umanita	மனித
udaiyar	டையர்
udaiyan	டையன்
tyoocan	யோசன்
turukku	உருக்கு
tungkal	உங்கள்
tullaan	உள்லான்
tukaram	உகரம்
tukarak	உகரக்
troland	ரொலன்ட்
treeman	ரேமண்
trandum	ரண்டும்
trakker	ரக்கெர்
trajani	ரஜனி
torikai	ஒரிகை
tomaree	ஒமரே
toddman	ஒட்டமன்
tittoni	இத்தொனி
tittiri	இத்திரி
tirumal	இருமல்
tiriti	திரிதிப்
tintaya	இந்தய
tingkan	இங்கன்
tinatin	இனதின்
tilaiya	​​இளைய
tikkana	இக்கன
tikaram	இகரம்
tikanta	இகந்த
thulden	ஹுல்டென்
thoppar	ஹொப்பர்
thooran	ஹோரன்
thermis	ஹெர்மிஸ்
thermas	ஹெர்மஸ்
tharman	ஹர்மன்
thapari	தபரி
thamrin	ஹம்ரின்
thakkar	ஹக்கர்
thaiyil	ஹையில்
thaili	துஹைலி
thaakar	ஹாகர்
terving	எர்விங்
terling	எர்லிங்
tendlar	எண்ட்லர்
tempelj	தெம்பெல்
tellen	தெள்ளென
telleen	எல்லேன்
telanai	எலனை
teemant	ஏமந்த்
tatarka	அதற்க
tarpana	அர்பன
tarkaan	அர்கான்
taravat	அரவத்
tarandi	தாண்டி
taracua	தரச
tappaan	அப்பான்
tapling	அப்லிங்
taparan	அபரன்
tanyang	அன்யங்
tantrai	அந்த்ரை
tantara	அந்தர
tamplin	அம்ப்ளின்
tamarii	தார்ஈ
tamaran	அமரன்
tamarac	அமரச்
tamaiti	அமைதி
talluri	அல்லுரி
talanta	அளந்த
talakai	அலகை
takutai	அகுதை
takkari	அக்கரி
takarai	அகரை
takalik	அகழிக்
taivaan	ஐவான்
tahtali	அஹ்தலி
taalman	ஆல்மன்
syamaka	யமக
surappu	உரப்பு
suralai	உரலை
suraiya	உறைய
sumatee	உமதே
sultani	உள்தனி
sullans	உல்லன்ஸ்
sullana	உள்ளன
sukanta	உகந்த
sturman	துர்மன்
stoppit	தொப்பித்
stoolin	தோழின்
stivala	திவள
stirrat	திர்ரத்
stirati	திரதி
sterman	தெர்மன்
steppat	தெப்பத்
stempel	தெம்பெல்
steling	தெலிங்
stampin	தம்பின்
stampii	தம்பீ
Štampar	தம்பர்
stamati	தமதி
sreekar	ரேகர்
spuller	புல்லெர்
spooker	போகெர்
spontin	பொந்தின்
splavar	ப்ளவர்
spittin	பித்தின்
spiring	பிரிங்
spirala	பிறழ
spinnin	பின்னின்
spinnen	பின்னென்
spillum	பில்லும்
spillis	பில்லிஸ்
spillar	பில்லர்
sperrin	பெர்ரின்
sperlin	பெர்லின்
spering	பெரிங்
spektar	பெக்தர்
speedin	பேடின்
speedee	பேடே
spatika	பதிக
spartas	பர்தஸ்
sparsus	ஸ்பர்ஷ்
sparkes	பர்கெஸ்
sparkee	பர்கே
spannum	பண்ணும்
spanden	பண்டென்
spaarti	பார்தி
spaarne	பார்னெ
soliyam	ஒலியம்
snookum	நோகும்
smoodin	மோடின்
smendes	மென்டெஸ்
smeeman	மேமன்
smaraka	மரக
slipman	லிப்மன்
sleying	லெயிங்
slemani	லெமனி
sleeman	லேமன்
skoppum	கொப்பும்
skillin	கில்லின்
skiddoo	கிட்டோ
skeping	கெபிங்
skavala	கவல
skarvan	கர்வண்
skainan	கைனன்
skaaren	காரென்
sitaram	இதரம்
sirayan	இறயன்
sikong	ஸிகோங்
sikaram	இகரம்
shujing	ஹுஜிங்
shooman	ஹோமன்
shippan	ஹிப்பன்
shiping	ஹிபிங்
sheyman	ஹெய்மன்
sherkin	ஹெர்கின்
sherjan	ஹெர்ஜன்
sherald	ஹெரல்ட்
sheperd	ஹெபெர்ட்
shelvin	ஹெல்வின்
shelden	ஹெல்டென்
sheelin	ஹேலின்
sheedis	ஹேடிஸ்
sheeder	ஹேடெர்
sharman	ஹர்மன்
sharlee	ஹர்லே
sharita	ஹரித
shardin	ஹர்டின்
shapard	ஹபர்ட்
shanlin	ஹன்லின்
shangri	ஹங்ரி
shammir	ஹம்மிர்
shammar	ஹம்மர்
shammai	ஹம்மை
shammaa	ஹம்மா
shaklee	ஹக்ளே
shakkar	ஹக்கர்
shakara	ஹகர
shaiman	ஹைமன்
shaddaa	ஹட்டா
shaanan	ஹானன்
serling	எர்லிங்
sennaar	என்னார்
selucci	எழுச்சி
selleri	எல்லெரி
sedding	எட்டிங்
scintas	சிந்தஸ்
scaroon	சரோண்
scarani	சரனி
scamman	சம்மன்
savarin	அவரின்
savaran	அவரன்
satiran	அதிரன்
sassari	அஷ்அரி
sasmaka	அஸ்மக
saruman	அருமன்
sarjuna	அர்ஜுன
saravanamuttu	சரவணமுத்து
saranai	அரனை
saraiya	அறைய
saptari	அப்தரி
saptakanniyar	சப்தகன்னியர்
sanyang	அன்யங்
santoni	அந்தொனி
santara	அந்தர
sansaar	அன்ஸார்
sannati	அன்னதி
sangkum	அங்கும்
sangkar	அங்கர்
sangaku	அஙகு
sandrin	அன்டரின்
sandras	அண்ட்ரஸ்
sancari	அன்சரி
sanaiya	அனைய
sampati	அம்பதி
sampang	அம்பங்
sammata	அம்மத
samiran	அமிரன்
Šamiram	அமிரம்
samarin	அமரின்
samarai	அமரை
samanta	அமந்த
samanar	அமணர்
samalan	அமலன்
samaali	அமாலி
salvant	அல்வந்த்
salvais	அல்வைஸ்
salmaci	அல்மசி
salmaan	அல்மான்
salesis	அலெஸிஸ்
salavan	அலவன்
salanta	அளந்த
salamin	அலமின்
salakan	அழகன்
sakkari	அக்கரி
sakkara	அக்கர
sakaran	அகரன்
sakalum	அகலும்
saiyans	ஐயன்ஸ்
saidiya	ஐடிய
saccala	அச்சல
saccaka	அச்சக
sacarap	அசரப்
sacalin	அசலின்
saamaan	ஆமான்
saalman	ஆல்மன்
ruttman	உத்த்மன்
runtiya	உந்திய
roorkee	ஓர்கே
rohita	ரோஹித
ritalin	இதழின்
rintala	இந்தல
ringmar	இங்மர்
riccati	இச்சதி
rensink	என்ஸின்க்
rendini	என்டினி
reellen	ஏல்லென்
redmond	எட்மொண்ட்
redican	எடிசன்
rauhaan	ருஹான்
rattani	அத்தனி
rappard	அப்பர்ட்
rappani	அப்பனி
ranjani	ரஜனி
rallang	அல்லங்
rahmati	அஹ்மதி
raanana	ஆனண
qvanten	வந்தென்
quriyat	உரியத்
qattara	அத்தர
qantara	அந்தர
qalaven	அளவெண்
qaiyaan	ஐயான்
purattu	உரத்து
punnata	உன்ன‌த‌
pulikal	உளிகள்
pulavar	உழவர்
princen	ரின்சென்
pridden	ரிட்டென்
preslar	ரெஸ்லர்
pratti	பிரத்தி
praslin	ரஸ்லின்
pramari	ரமரி
pooraka	ஓரக
politta	ஒழித்த
polita	பொளித்த
plumlee	லும்லே
plivain	லிவைன்
plessen	லெஷென்
plattin	லத்தின்
pittoni	இத்தொனி
pirulil	இருளில்
pippini	இப்பிணி
pippidi	இப்பிடி
pilloor	இல்லோர்
pilatti	இலத்தி
phoolan	ஹோலன்
phoocas	ஹோசஸ்
phillis	ஹில்லிஸ்
phaansi	ஹான்ஸி
perumal	எருமல்
perukku	எரு‌க்கு
perintalmanna	பெரிந்தல்மண்ண
perelli	எரெல்லி
perdono	பெர்டோ
perdone	பெர்டொன்
pepping	எப்பிங்
peppard	எப்பர்ட்
pensoso	பென்ஸோ
pelling	எல்லிங்
peerman	ஏர்மன்
pecina	பேசின
pattani	அத்தனி
pattali	அத்தளி
pattala	அத்தல
patikul	அதிகுல்
pastoor	அஸ்தோர்
parlare	பர்லர்
pariyar	அரியற்
parivar	அறிவர்
parikka	அரிக்க
parayan	அரயன்
paravan	அரவன்
paravai	அறவை
paranam	அரணம்
papakai	அபகை
pantani	அந்தனி
pantana	அந்தண
pangkat	அங்கத்
pangkas	அங்கஸ்
pancari	அன்சரி
pamplin	அம்ப்ளின்
pampang	அம்பங்
pampana	அம்பன
pallana	அல்லன
pallais	அல்லைஸ்
paliyam	அலியம்
palakus	அலகுஸ்
palakka	அளக்க
pakkala	அக்கல
padukka	அடுக்க
padrini	அட்ரினி
paavali	ஆவளி
paarden	ஆர்டென்
ovillum	வில்லும்
overlee	வெர்லே
overing	வெறிங்
ovakara	வகர
otompan	தொம்பன்
otakara	தகர
orenair	ரெனைர்
opicina	பிசின
oparina	பரின
oniyama	நியம
onathar	நத்ஹர்
omukama	முகம
omarjee	மர்ஜே
omariya	மரிய
omarama	மரம
olimpik	லிம்பிக்
olekina	லெகின
okutuku	குதுகு
okumura	குமுற
okanari	கனரி
okalani	களனி
okaaran	காரன்
ohanami	ஹனமி
odiyoor	டியோர்
odinkar	டின்கர்
ocampan	சம்பந்
oakroyd	அக்ரொய்ட்
nutalli	நுதலி
nunavut	உணவுத்
nsakala	ஸகல
norukai	ஒருகை
noorani	ஓரணி
nivara	அணிவர
nivaran	இவரன்
nitidum	நீடும்
nitanir	இதனிற்
niranta	இரந்த
niranam	இரணம்
ningkan	இங்கன்
nilayam	இலயம்
neueren	நேரெண்
nelvaan	எல்வான்
navarra	அவற்ற
navarin	அவரின்
nascapi	அஸ்சபி
narica	நரிசன்
narayan	அரயன்
nararat	அரரத்
nanyang	அன்யங்
nanning	அன்னிங்
nanikai	அணிகை
nangaku	அஙகு
nandrin	அன்டரின்
nancang	அன்சங்
nanata	நடநத
nampala	அம்பல
namaraa	அமரா
nallari	அல்லரி
nallang	அல்லங்
naledi	நலேடி
naldini	அல்டினி
nakrani	அக்ரனி
nakarai	அகரை
naarden	ஆர்டென்
naamani	ஆமனி
mutica	முதிசம்
murutic	உறுதிச்
murattu	உரத்து
multani	உள்தனி
mulleri	உள்ளெரி
mukaram	உகரம்
mtirala	திரள
mpakati	பகதி
mornar	மோர்னர்
morden	மோர்டென்
moossee	ஓஷே
mivarti	இவர்தி
mittani	இத்தனி
miraval	இரவல்
mirando	மிரண்ட
minukku	இனுக்கு
mintata	இந்தத
mintaka	இந்தக
minori	மின்பொறி
minniti	இந்நிதி
minnaar	இன்னார்
minimia	மினிமி
mindlin	இன்டலின்
milners	மில்னெர்
milayan	இலயன்
metten	மெத்தேன்
mescidi	எஸ்சிடி
merelli	எரெல்லி
mentira	எந்திர
mennung	எண்ணுங்
meneses	என்எஸ்எஸ்
mendini	என்டினி
melling	எல்லிங்
mellia	மெல்லிய
melinus	மெலின்ஸ்
meldrum	எல்டரும்
melaena	மெளன
meisan	மெடிஸன்
meiden	மெரிடென்
meerman	ஏர்மன்
mecanai	எசனை
mayling	அய்லிங்
mayadin	அயடின்
mattara	அத்தர
mattala	அத்தல
matooni	அதோனி
matjana	மதன
mataram	அதரம்
matalam	அதலம்
mastoor	அஸ்தோர்
massari	அஷ்அரி
marutta	அறுத்த
marukai	அறுகை
marssi	மரிஷி
marleen	அர்லேன்
marknad	மர்கட
mariyam	அரியம்
marivan	அறிவன்
maritta	அரித்த
mariti	மாரிதி
marijan	அரிஜன்
maricic	அரிசிச்
mariana	மரண
maravar	அரவர்
maratti	அறத்தி
maratta	அரத்த
marampa	அரம்ப
maramaa	அரமா
maparam	அபரம்
manusi	மனுஷி
mantani	அந்தனி
manimal	அனிமல்
mandrin	அன்டரின்
mandres	அண்ட்ரெஸ்
mandras	அண்ட்ரஸ்
manavar	அனவர்
mamnoon	அம்னோன்
mamalik	மாலிக்
mamalan	அமலன்
malutta	அழுத்த
malooka	அலோக
malliya	அள்ளிய
mallari	அல்லரி
mallana	அல்லன
mallaah	அல்லாஹ்
malint	மலிந்த
malinta	அழிந்த
malikum	அழிகும்
maldini	அல்டினி
malayi	மலயில்
malavan	அலவன்
malarum	அலரும்
malaris	மாரிஸ்
malaric	அலரிச்
malakka	அளக்க
malakar	அழகர்
malakai	அலகை
makurdi	அகுர்டி
makrani	அக்ரனி
makkatu	அக்கது
makkari	அக்கரி
makaravilakku	மகரவிளக்கு
makanna	அகன்ன
mailand	ஐலண்ட்
mahamed	அஹமெட்
mahamat	அஹமத்
mahamad	அஹமட்
madiman	அடிமண்
macanai	அசனை
maarrat	ஆற்றத்
maarlin	ஆர்லின்
maackii	மாகீ
lutayan	உதயன்
lundeen	உண்டேன்
lummini	உம்மிணி
luccini	உச்சினி
loriyan	ஒரியன்
llorens	லொரென்ஸ்
llevant	லெவந்த்
livida	லிவிட்ச
liniya	லினியா
lindeen	இண்டேன்
lepping	எப்பிங்
leppard	எப்பர்ட்
lemelin	எமெலின்
leende	லேன்டே
lavalin	அவளின்
lattara	அத்தர
latiyan	அதியன்
latipan	அதிபன்
lappala	அப்பல
lanital	அனிதல்
lanikai	அணிகை
langkat	அங்கத்
landrin	அன்டரின்
landres	அண்ட்ரெஸ்
lancang	அன்சங்
lampart	அம்பர்த்
lampang	அம்பங்
lammana	அம்மன
lamanai	அமனை
lallana	அல்லன
lalitavistara	லலிதவிஸ்தர
lalakai	அலகை
lakland	அக்லன்ட்
lakanal	அகனள்
kvisvik	விஸ்விக்
kvinnas	கின்னஸ்
kurjuus	குரூஸ்
kumlara	குமர
kumbuka	குமுக
kumanin	உமனின்
