yoka	โยคะ
utting	อตทิง
ustaad	สต๊าด
usinsk	ซินส์ค
usemod	เสม็ด
urrede	อร์เรเด
uriima	รีมั
urbain	อร์ไบน์
uralsk	รัลสค์
upmann	ปมันน์
upcher	พเชร
ungkan	งกัณ
umland	มลันด์
ulmann	ลมันน์
ulichs	ลิชส์
ulchel	อลเชล
ukamba	กัมบะ
uchire	ชิเร
twells	เวลลส์
twanna	วัณณะ
tuular	ทูลั
tsueng	ซึ้ง
tromer	โรเมอร์
troche	โรเช
troake	โระเค
trisch	ริสช์
trichy	ริจญ์
tricht	ริชต์
tresch	เรสช์
trenen	เรเนน
trende	เรนเดอ
trello	เรลโล
trampa	ทรัมป์
torhan	ออร์ฮัน
tonson	ออนซอน
toangi	โอะงิ
tiriti	ฑีธิ
timori	ติมอร์
thring	หริ่ง
thorne	โฮร์เน่
thilde	ฮิลเด
theodo	เห็ดโ
thello	เฮลโล
thangs	หังส
thangi	ฮะงิ
thallo	ฮัลโล
thaine	ไฮเน
thaers	แฮร์ส
thaeng	แฮง
thadde	ฮัดเด
tewane	เทวัน
tetens	เอเธนส์
ternes	เอร์เนส
ternan	เอร์นัน
tellis	เอลลิซ
tellen	เทลเล
tchuan	ทชั่น
tchong	จ๋อง
tchoka	โชคั
tcheng	เฉ่ง
tcheng	เฉ่ง
tchang	ชัง
tappan	อัพภัน
tander	อันเดอร์
tampa	ทำไพ่
tampan	อำพัน
tamin	ตัมปิน
talfer	อัลเฟร
tairon	ไอรอน
tafel	ทัฟเนล
sywest	ยเวสต์
sydnam	ยอดน้ำ
swites	วิเทศ
swinge	สวิง
striks	ทริกซ์
strich	ทริช
stramp	ทรัมป์
straff	สตั๊ฟฟ์
storch	ทอร์ช
stilos	ติลอส
sthiti	สถิติ
sterre	เตร์เร
stepin	เทพิน
stello	เตลโล
staton	ทอะธอน
stamma	ธัมมะ
staats	ตาตส์
staahl	ตาห์ล
staaff	ตาฟฟ
sporti	ปอร์ติ
sporet	สปอร์ต
spolii	โปลี
spokan	พอกัน
splatt	พลัฏฐ์
splaat	ปลาต
spital	พิทัล
spirii	พิรี
speris	เพริศ
speonk	เป็นก
speirs	เพิร์ส
spanta	พันธะ
spaart	ภารต
solaar	โอฬาร์
smilek	มอิเลค
smilde	มิลเด
slowey	โลเวย์
slatin	ละติน
slaley	ละเลย
slains	ไลนส์
skrill	กริลล์
skrant	กรัณฑ์
skrang	ครั่ง
skorne	คอร์เน
skille	กิลเล
skiles	กิเลส
skerik	เกริก
skeoch	เก็จ
skalon	กะล่อน
skaara	การั
skaana	กานั
siopis	โสพิศ
sintel	อินเทล
sinong	สนอง
sillas	อิลลัส
shuumi	ฮูมิ
shueng	ฮึง
shiran	หิรัณ
shiran	หิรัณ
shippo	ฮิปโป
shetuk	เหตุก
shemon	เหม็น
shanhe	หันเห
shanba	ฮันบะ
shakhe	หักเห
shaine	ไฮเน
shaich	ไฮจ์
shabba	ฮับบะ
serres	เอร์เรซ
semant	สมันต์
sellis	เอลลิซ
sderot	เดร็ธ
scotti	โสตถิ
schwan	ชวัน
schuur	ฌูร์
schust	ฌุสต์
schuey	อจึ๋ย
schrei	จเริ่
schram	จรัม
schrab	ชรับ
schraa	ชรา
schott	ชอทท์
schorn	จอร์น
schore	โจเร
schone	โจเน
schoch	จอช
schmid	ชมิด
schitt	จิตต์
schine	จิเน
schiff	ชิฟฟ์
schett	เจทท์
schere	เชเร
schell	เชลล์
schele	เชเล
schein	เจิน
schein	เจิน
scheim	เชิม
scheil	เจิ้ล
scheii	เจี๊
scheff	เจฟฟ์
schatt	ฉัฏฐ
schary	ชะรอย
schang	ชัง
schams	ชัมส์
schamp	จัมป์
schaks	ฌักส์
schain	ใจอ่อน
schaik	ไจก์
schael	แชล
schaay	จ่าย
schaar	จาร
schaap	จาป
schaan	จ้าน
schaal	จาล
schaaf	จาฟ
schaad	ชาด
sayyab	สัญญะ
satomi	อะตอมิ
sapato	ซาต็
sammt	ซัมมิท
salmas	อัลมัส
salhus	อัลฮุส
salhab	อัลฮับ
salbai	อัลไบ
saasaa	อาษา
saamis	อามิส
saales	าเลส
rtings	ติงส
rossi	รอสซี่
rosii	รอสซี่
ronson	ออนซอน
rohita	โรหิต
rickii	ริกี
rhondo	ฮอนโด
rewang	เอวัง
reicht	ริชต์
rechte	เรชต์
rappan	อัพภัน
rander	อันเดอร์
rahang	อะหัง
raasay	อาศัย
qassaa	อัษษา
pulaar	อุฬาร
puisto	พิสโธ
proche	โรเช
prende	เรนเดอ
precht	เรชต์
precha	เรชั่
pratti	รัตติ
prasii	ระสี
powell	ปเวลล์
potong	โอ่โถง
ponson	ออนซอน
pohang	โอหัง
plinii	ลิณี
pleyer	เลเยอร์
plawen	ละเว้น
plaide	ไลเด
plagam	พล่าม
pinter	อินเตอร์
pintel	อินเทล
phanae	ฮั่นแ
pferde	เฟรเด
permis	เพริศ
pellis	เอลลิซ
papper	อัปเปอร์
pappan	อัพภัน
pangea	อะเงะ
paluu	ปาลู
palles	อัลเลส
palara	ปารั
pahang	อะหัง
paaras	ารัศ
oyampi	ยัมปิ
owings	วิ้งซ์
otwell	ท์เวลล์
ötting	อตทิง
otting	อตทิง
otello	เตลโล
otakon	ตะกอน
oswell	สเวลล์
oswald	สวัลด์
ostrat	สตรัท
osochi	โศจิ
ösling	สลิง
osland	สลันด์
osamai	สะไม
orwell	อร์เวลล์
orting	อร์ธิง
orrest	อร์เรสต์
orrell	อร์เรลล์
orobii	โรบี
orning	รนิง
ornest	อร์เนสต์
örmaal	รมาล
orkans	รกันส์
orende	เรนเดอ
orello	เรลโล
orbell	อร์เบลล์
orangi	ระงิ
oraham	ระห่ำ
opisto	พิสโธ
oorlof	ออร์ลอฟ
onghai	องไฮ
omland	มลันด์
omilos	มิลอส
omerit	เมอริท
olonga	โลงั
olding	ลดิ้ง
olaiya	ไลยั
olaide	ไลเด
økland	กลันด์
okines	คิเนส
okello	เกลโล
öhling	หลิ่ง
ohaaki	ฮากิ
ofront	ฟร้อนท์
ödmann	ดมันน์
ödling	ดลิง
odling	ดลิง
odland	ดลันด์
odelle	เดลเล
odaiba	ไดบะ
ochwat	ชวัฒ
ochola	โจฬะ
ochman	ชมัน
oberen	เบเรน
nymann	ยมันน์
nowell	นเวลล์
nkombo	คอมโบ
nhande	ฮันเด
newell	นเวลล์
nellis	เอลลิซ
neffen	เอฟเฟน
natomi	อะตอมิ
nashar	อัซฮัร
napper	อัปเปอร์
nanata	นาทั
nampa	น้ำป่า
namman	อัมมัน
naara	นารา
naanaa	อาณา
naadu	นาดึ
mwangi	วะงิ
mutsue	อุตสึ
mpaara	ปารั
mostin	ออสติน
mitsue	อิทสึ
mintel	อินเทล
milkis	อิลกิซ
milii	มิลฟี
mildei	มิลเด
membe	เมมเบอร์
mattis	อัฐทิศ
matsue	อัทสึ
mashar	อัซฮัร
mariti	ไมถิ
mandab	อันดับ
malloi	มัลโล
malei	มาเลิ
malbas	อัลบัศ
malayi	มายิ
maite	ไมต์เน
maikon	ไอคอน
maayan	อายัน
maanam	านัม
luenga	ลึง
lloren	โลเรน
lillas	อิลลัส
leueen	เอื้อน
lellis	เอลลิซ
leiser	เลเซอร์
lashar	อัซฮัร
lapper	อัปเปอร์
lalmas	อัลมัส
laetus	แลตซ์
ladde	แลดเด
laarne	อาร์เน
laarks	อาร์คส
laanes	าเนส
kyaing	ไยง์
kwinti	วอินธิ
ksanti	สันติ
kromer	โรเมอร์
krings	ริงส์
krille	ริลเล
krelos	เรโลส
kraeng	แร่ง
kraang	ราง
kostin	ออสติน
korkis	ออร์คิส
korhan	ออร์ฮัน
korea	โคะเระ
konong	โคนอน
knelle	เนลเล
knatti	ณัฏฐิ
klores	โลเรส
klings	ลิ่งส
kleber	เลเบอร์
klakka	ลักขะ
klagen	คอแลน
klaeng	แลง
klaang	ล้าง
kinter	อินเตอร์
kingii	กินี
kindje	คินเด
killas	อิลลัส
kilkis	อิลกิซ
kielen	กิเลน
khorne	โฮร์เน่
khocho	โฮโช
khlung	หลุง
khande	ฮันเด
khalde	ฮัลเด
khaire	ไฮเร
khaine	ไฮเน
khaeng	แฮง
khaan	คอห่าน
kernes	เอร์เนส
kernan	เอร์นัน
kenchi	เกจิ
kempi	เคมปิน
kempii	คมฺภี
kellis	เอลลิซ
keachi	เอะฉิ
kattis	อัฐทิศ
kassag	กัสสะ
kapper	อัปเปอร์
kappan	อัพภัน
kaplan	กะลัน
kapina	ใขณะ
kander	อันเดอร์
kamrat	กะรัต
kampai	อำไพ
kamman	อัมมัน
kalmar	อัลมัร
kallai	อัลไล
kalber	อัลเบร์
kalai	คาไล
kakala	กาลั
kajama	กามั
kaimai	ไอไม
kahang	อะหัง
kagama	กามั
kaase	กาศเบ
kaarta	อาร์ตั
kaarma	อาร์มั
kaarls	อาร์ลส์
kaarel	าเรล
kaanam	านัม
kaalaa	อาฬา
kaabii	อาบี
jorhan	ออร์ฮัน
jonson	ออนซอน
jnaard	นาร์ด
jhande	ฮันเด
jellis	เอลลิซ
jashar	อัซฮัร
jangsu	อังศุ
jander	อันเดอร์
jalloh	อัลลอหฺ
jaanik	อาณิก
iwaaki	วากิ
ithael	ตอแหล
italon	ตะลอน
ismaan	สมาน
ísland	สลันด์
islais	สไลซ์
ishrat	สหรัฐ
ishall	ซ์ฮัลล์
isetta	เสฏฐะ
ischys	ส์ชอยส์
isanti	สันติ
isaake	สาเก
isaach	สอาจ
irwell	อร์เวลล์
irchel	อร์เชล
iratti	รัตติ
ipaea	อีแปะ
ionson	ออนซอน
inting	นทิ้ง
innell	อนเนลล์
ingoda	งอดั
ingman	งมัน
ingals	งอัลส
ingall	งอัลล
inding	อนดิ้ง
imeong	เม็ง
ilaaka	ลากั
ikrima	กริมั
ikatan	กะทัน
ihwang	หวั่ง
ichord	จอร์ด
ichita	จิตั
ichiki	จิคิ
ichiba	ชิบะ
icheom	เจ็ม
hylift	ยลิฟท์
hyeres	เยเรส
hringa	หริ่ง
hrabam	ระบำ
hostin	ออสติน
hongtu	อองธุ
holwey	ออลเวย์
hoang	หอวัง
hlaing	ไลง์
hillas	อิลลัส
hiita	ฮีตัม
herres	เอร์เรซ
hernes	เอร์เนส
hernan	เอร์นัน
helluo	เฮลโล
helche	เอลเช
heisst	เฮิสต์
hattis	อัฐทิศ
haswin	อัศวิน
harroy	อัรร็อย
happer	อัปเปอร์
hamman	อัมมัน
halber	อัลเบร์
halbas	อัลบัศ
hakkra	อักขระ
gyaing	ไยง์
gwitch	วิตช์
gwangi	วะงิ
gstaad	สต๊าด
grotii	โรตี
groman	โรมัน
grollo	รอลโล
gritti	ริฏฐิ
grisch	ริสช์
grings	ริงส์
griffi	ริฟฟิ
grenen	เรเนน
grenan	เรนัน
grenal	เรนัล
grello	เรลโล
granat	ระณัฐ
gramps	รอัมพ์ส
graden	ระเด่น
gostin	ออสติน
gorkii	ออร์กี
gonson	ออนซอน
glaaki	ลากิ
ginter	อินเตอร์
ghanti	ฮันทิ
gernes	เอร์เนส
gellis	เอลลิซ
geffen	เอฟเฟน
gattis	อัฐทิศ
galles	อัลเลส
gaetti	แอตทิ
fytche	อยท์เช
fsland	สลันด์
froman	โรมัน
frollo	รอลโล
frohna	โรหณะ
fritch	ริตช์
frings	ริงส์
frille	ริลเล
fridde	ริดเด
fresch	เรสช์
frende	เรนเดอ
frello	เรลโล
freins	เรินส์
freiin	เรีน
fredon	เรดอน
fredes	เรเดส
freddi	เรดดิ
fredde	เรดเด
frech	เฟเรช
frecha	เรชั่
fratti	รัตติ
fraech	แรฌ
forhan	ออร์ฮัน
floren	โลเรน
flikka	ลิกขะ
flecha	เลชั่
finter	อินเตอร์
fintel	อินเทล
fflach	ฟลัช
ffitch	ฟิทช์
ffitch	ฟิทช์
ferres	เอร์เรซ
ferner	เฟเนร์
fernan	เอร์นัน
fander	อันเดอร์
ewings	วิ้งซ์
ewells	เวลลส์
etwell	ท์เวลล์
etting	อตทิง
etrich	ทริช
etling	ทลิ่ง
etihad	ทิฮัด
estri	เกษตริ
ernest	อร์เนสต์
ericht	ริชต์
erenas	เรนัส
erekat	เรกัต
ereint	เรินต์
epling	ปลิง
epirot	พิโรธ
epines	ภิเนษ
épinay	พินัย
epinay	พินัย
entine	นทิเน
ensam	เอนไซม์
ennell	อนเนลล์
enming	นมิง
engman	งมัน
engeki	เงคิ
engang	งอั้ง
emling	มลิง
emille	มิลเล
emicho	มิโช
elomaa	โลมา
elohit	โลหิต
elohai	โลไฮ
ellisi	เอลลิซ
ellai	เอลไลท์
ellach	ลลัช
elkins	ลคินส์
elking	ลกิ้ง
elefen	เลเฟน
elding	ลดิ้ง
elaide	ไลเด
ekrima	กริมั
ekland	กลันด์
ekerot	เคร็ต
ekeren	เคอเรน
eirene	อิเรเน
ehrang	หรั่ง
ehling	หลิ่ง
edrich	ดริช
edmund	ดมุนด์
edmand	ดมันด์
echlin	ชลิน
eching	ชิง
echach	ฌัช
ebrach	บรัช
dymitr	ยมิตร
dwelle	เวลเล
dubost	อุโบสถ
drillo	ริลโล
dresch	เรสช์
dpaint	ไพนต์
dorfen	ออร์เฟน
dinter	อินเตอร์
dillas	อิลลัส
dhrang	หรั่ง
dhondo	ฮอนโด
deyong	เด็ง
dewang	เอวัง
delong	เด็ง
dellis	เอลลิซ
dejong	เด็ง
degrom	เดร็ม
damman	อัมมัน
damin	ดำดิน
dalmas	อัลมัส
dalles	อัลเลส
daldis	อัลดิส
daimai	ไอไม
dagana	ด้านั้
daarom	ดาร็
daaras	ารัศ
csepel	เสเพล
critch	ริตช์
craits	ไรตส์
costin	ออสติน
corkis	ออร์คิส
corhan	ออร์ฮัน
clotas	โลตัส
clores	โลเรส
clodii	โลดี
cleyer	เลเยอร์
clemon	เลมอน
cleber	เลเบอร์
cirene	อิเรเน
cintel	อินเทล
chwang	หวั่ง
chueng	ฮึง
chuana	จะนะ
chori	จอร์ดิ
chorée	โจเร
chollo	ฮอลโล
chocho	โฮโช
chiran	หิรัณ
chedde	เฮดเด
chayal	จาล
chanti	ฮันทิ
changs	หังส
chanba	ฮันบะ
chanae	ฮั่นแ
chama	ชะมัด
chakok	หักอก
chairo	ไฮร็
chaire	ไฮเร
chaine	ไฮเน
chaba	จะบัน
chaang	ห้าง
chaand	ฮานด์
cfront	ฟร้อนท์
cernan	เอร์นัน
cander	อันเดอร์
cairon	ไอรอน
burana	บุรณะ
buhan	บุหลัน
bruchi	รุจิ
broman	โรมัน
brkich	รกิจ
britti	ริฏฐิ
bresch	เรสช์
brenes	เรเนส
brende	เรนเดอ
brenan	เรนัน
bredon	เรดอน
bredel	เรเดล
brecht	เรชต์
brecha	เรชั่
braich	ไรช์
braham	ระห่ำ
braden	ระเด่น
boydii	บอดี้
botong	โอ่โถง
bostin	ออสติน
borhan	ออร์ฮัน
bolden	โบลเด
bleyer	เลเยอร์
bleser	เลเซอร์
bleros	เลรอส
blecht	เลชท์
blecha	เลชั่
blaike	ไลเค
blaadi	ลาดิ
binter	อินเตอร์
bimba	บิมบับ
bhaari	หาริ
bhaang	ห้าง
berres	เอร์เรซ
bernes	เอร์เนส
bereit	เบเรต์
bdello	เดลโล
bayang	อบาง
bashar	อัซฮัร
basati	บาทิ
banai	บันได
bañada	บาดั
bamman	อัมมัน
baimai	ไอไม
bahang	อะหัง
awaara	วารั
atwell	ท์เวลล์
atures	ทุเรศ
atthis	อัฐทิศ
atland	ตลันด์
atkins	ตกินส์
atanta	ตัณฑะ
assura	สสุระ
asopis	โสพิศ
asland	สลันด์
asinii	สินี
arwald	อร์วัลด์
arrell	อร์เรลล์
arning	รนิง
arneil	อร์เนิล
arnatt	รณัฏฐ
armant	รมันต์
arkins	อร์คินส์
arkans	รกันส์
arillo	ริลโล
arenal	เรนัล
ardine	รดิเน
arbins	รบินส
arbell	อร์เบลล์
arbein	อร์เบิน
arbain	อร์ไบน์
aramis	อามิส
aralsk	รัลสค์
arabba	ระบบั
apollo	พอลโล
apollo	พอลโล
apinan	ปินัน
apcher	พเชร
apantu	พันธ์ุ
apanta	พันธะ
anwell	นเวลล์
anuwat	อนุวัต
antine	นทิเน
antan	พันตัน
annang	นนัง
anmann	นมันน์
anhang	อนฮัง
angong	ง่อง
angang	งอั้ง
anello	เนลโล
anding	อนดิ้ง
anderl	นเดรล
anbang	นบัง
ananti	นันธิ
anaana	นานั
amlak	สำลัก
aminta	มินตั๋
amilos	มิลอส
amiina	มีนั
amalla	มัลละ
amadon	มะฎอน
amadan	มะดัน
alwest	อลเวสต์
allii	วัลลี
allais	ลไลซ์
allais	ลไลซ์
allahi	อัลไล
allach	ลลัช
alkins	ลคินส์
aleros	เลรอส
aleong	เล็ง
albuch	ลบุช
albero	อัลเบร์
albans	ลบันส์
alaynā	อัลอัยน์
alaide	ไลเด
alaea	แและ
alaaba	ลาบั
akkana	กกะณะ
akechi	เกจิ
akande	กอันเด
akamba	กัมบะ
akaasa	กาสะ
airone	ไอรอน
ahlam	กะหล่ำ
adolfo	ดอลโฟ
adolfi	โดลฟิ
adhaim	ด์ไฮม์
adenet	เดเนธ
adelle	เดลเล
achyut	ชยุต
achrei	จเริ่
achray	จรัญ
achong	จ๋อง
achnas	จนัษ
acheng	เฉ่ง
achebe	เชเบ
achans	ชั่นส์
achang	ชัง
achana	จะนะ
achair	ไชร์
achaea	แฉะ
abrams	บรัมส์
abrach	บรัช
abosch	โบสช์
abello	เบลโล
abeles	เบเลซ
abaios	ไบออส
9front	ฟร้อนท์
maehongson	แม่ฮ่องสอน
kontinental	นทิเนนตัล
helikopter	เฮลิคอปเตอร์
hatchepsut	ฮัตเชปซุต
graterford	รัทเทอร์ฟอร์ด
cuntinental	นทิเนนตัล
ʾanna	อันนะ
þrima	ริมั
þrain	ไรน์
zyman	ยมัน
zymal	ยมัล
żyluk	ยลุค
zwide	วิเด
zwang	วัง
zsolt	ซอลท์
zrike	ริเค
zrang	อรัง
zrada	ระดะ
zorch	ออร์จ
zonen	โอนเอน
znaki	นอะกิ
zloba	โลบะ
zippe	อิปเป
zillo	อิลโล
zichy	อิจญ์
zicht	อิชต์
zhung	หุ่ง
zhuhu	หุหุ
zhmud	หมุด
zhiti	หิติ
zhima	หิมะ
zhaan	ห่าน
zetti	เอตทิ
zeong	เอ็ง
zengi	เองิ
zelle	เอลเล
zelle	เอลเล
zechs	เอชส
zdena	เดนั
zared	ะเรด
zarai	อะไร
zanna	อันนะ
zangi	ะงิ
zampi	อัมพิ
zales	อะเลส
zakri	อัคริ
zakki	อัคคิ
zakka	อัคคะ
zabel	อะเบล
zaara	อาระ
ywain	ไวน์
yusup	อุสุภ
yukos	อุโฆษ
ytong	โตง
ythan	ต์ฮัน
ystad	สตั๊ด
yslas	สลัส
ysing	สิ้ง
yshai	อส์ไฮ
yseop	เซ็ป
ysaak	ซาก
yosue	โอสึ
yoson	โอโซน
yorke	ออร์เค
yordi	ออร์ดิ
yongs	อองส์
yoksa	โยคะ
ymber	มเบร์
yloko	โลโก้
ykens	เก้นส์
yingi	อิงิ
yilai	อิไล
yeong	เอ็ง
yengi	เองิ
yello	เอลโล
yelle	เอลเล
yelde	เอลเด
yeirs	เอิร์ส
ychma	ชมะ
yatom	อะตอม
yasue	อะสึ
yaren	ะเรน
yared	ะเรด
yangs	อังส
yangi	ะงิ
yange	ญัง
yanen	แยน
yamat	ยมัท
yamal	อะมัล
yalah	อัลอะห์
yaksa	อักษะ
yakki	อัคคิ
yaiba	ไอบะ
yaffo	อัฟโฟ
yaara	อาระ
yaang	อ่าง
xyant	ยันต์
xunaa	อุณา
xtina	ทินั
xtera	เถระ
xtend	เทนด์
xplod	ปลอด
xperi	เปริ
xnest	เนสท์
xming	มิ่ง
xilam	อิลัม
xilai	อิไล
xhelo	เฮโล
xfile	ฟิเล
wyong	โยง
wynch	ยนจ
wyman	ยมัน
wyant	ยันต์
wrone	โรเน
wride	ริเด
wrenn	เรนน์
wrede	เรเด
wrawe	ระเว
wrach	อรัช
worre	ออร์เร
worfe	ออร์เฟ
worde	ออร์เด
worch	ออร์จ
woord	วอร์ด
wongs	อองส์
wollt	วอลท์
wolfi	ว็อลฟ์
woche	โอเช
wirt	วิโรฒ
wintu	อินทุ
wimal	อิมัล
willo	อิลโล
wilam	อิลัม
wika	วีคั
widzi	วิดิ
wides	อิเดส
wicht	อิชต์
whiti	หิติ
whiri	หิริ
whall	ฮัลล์
whaea	แฮะ
weott	เอ็ตต์
weold	วอล์ด
wenti	เวทิ
wengi	เองิ
wello	เอลโล
welde	เอลเด
welbe	เอลเบ
weins	เอินซ์
weils	เอิลส์
wdiff	ดิฟฟ์
waren	ะเรน
waren	ะเรน
warea	ะเระ
wani	แวนิ
wampe	อำเภอ
walya	อัลญะ
wallo	อัลโล
walle	อัลเล
walde	อัลเด
walch	อัลช
wakko	อักโข
wakka	อัคคะ
wakea	อะเคะ
wains	ไอน์ส
waiba	ไอบะ
waart	อาร์ท
waard	าร์ด
waans	านซ์
waang	อ่าง
waamo	อาม็
waama	อามั
waalo	าโล
vykin	ยกิน
vyaso	ยะโส
vyang	ญัง
vuure	อูเร
vuffi	อุฟฟิ
vtach	ตัช
vsych	สยช
vrina	อรินั
vreta	เรทั
vrest	เรสท์
vreni	เรณิ
vrelo	เรโล
vreid	เริด
vrbas	รบัส
vrana	ระณะ
vrake	ระเค
vraka	ระกะ
vrait	ไรต์
vrain	ไรน์
vocho	โอโช
vocha	โอชะ
vlore	โลเร
vlona	โลนั้
vlist	ลิสท์
vlaar	ลาร์
vitti	อิทธิ
virak	อิรัก
vingi	อิงิ
vimal	อิมัล
villo	อิลโล
vikki	อิคคิ
videa	อิเดะ
vhong	โหง่
vform	ฟอร์ม
vetti	เอตทิ
vengi	เองิ
velde	เอลเด
vatta	อัตถะ
valya	อัลญะ
vally	อัลลอย
valah	อัลอะห์
vains	ไอน์ส
vadam	อะดัม
vaati	าธิ
vaart	อาร์ท
vaara	อาระ
vaali	อาลิ
vaade	อาเด
uyluk	ยลุค
uweng	เวง
uwais	ไวซ์
utrop	ทร็อป
utrom	ตรอม
utram	ทรัม
utkin	ทกิน
utkal	ตกัล
utina	ทินั
útila	ติลั
uthai	ทไฮ
uteis	เทิส
utban	ตบัน
utana	ทะนะ
utako	ตะโก้
usuma	สุมะ
usuki	สุคิ
usti	อนุสติ
ustas	สทัส
ustad	สตั๊ด
ustad	สตั๊ด
usrat	ศรัท
usman	ซมัน
uslan	สลัน
usipi	ซิปิ
usina	สินะ
ushas	สหัส
usdan	สดัน
usban	สบัน
usain	ไซน์
usaid	ไซด์
usach	ซัจ
