โยคะ	오카
เหม็น	에몬
หันเห	漢和
ฮันบะ	한바
หักเห	하케
ไฮเน	하이네
ฮับบะ	아빠
สมันต์	세만
เดร็ธ	데로
โสตถิ	소티
ชวัน	치환
ชรา	ชา
ชอทท์	ちょっと
โจเน	호네
จิเน	히네
เชเล	헬에
เจิน	헤인
เจิน	헤인
เชิม	헤임
เจิ้ล	헤일
เจี๊	チェリー
ชัง	暢
ฌักส์	ชัก
ใจอ่อน	치하인
ไจก์	ชัก
แชล	핼
จ่าย	ชา
จาร	ชา
จาป	ชา
จ้าน	茶碗
จาล	하알
จาฟ	ชา
ชาด	ชา
สัญญะ	샵
อะตอมิ	아톰이
ซาต็	アパート
ซัมมิท	삼투
อัลมัส	살맛
อัลฮับ	아합
อัลไบ	알바이
อาษา	アーサー
ติงส	渟
รอสซี่	오씨
รอสซี่	로시의
ออนซอน	왼손
โรหิต	히타
ริกี	리키치
ฮอนโด	혼도
เอวัง	체왕
เรชต์	레테
อัพภัน	앞판
อะหัง	아항
อัษษา	아싸
พิสโธ	잇토
โรเช	로체
เรนเดอ	人的
รัตติ	페라티
ระสี	라시티
ปเวลล์	오웰
โอ่โถง	소통
ออนซอน	왼손
โอหัง	오한기
เลเยอร์	乐业
ไลเด	爱的
พล่าม	파가
อินเทล	인텔
ฮั่นแ	하나에
เพริศ	퍼밋
อัพภัน	앞판
อะเงะ	판게아
ปาลู	팔수
ปารั	팔아라
อะหัง	아항
ยัมปิ	야미
วิ้งซ์	윙
อตทิง	투팅
อตทิง	투팅
ตะกอน	타키온
สเวลล์	쉘
โศจิ	所持
สลิง	司令
สะไม	사마위
อร์ธิง	루팅
โรบี	로빈이
รนิง	리닝
รมาล	마알
เรนเดอ	人的
ระงิ	랑이
ระห่ำ	라함
พิสโธ	코피토
เมอริท	메리테
โลงั	竜馬
ลดิ้ง	올딩
ไลยั	아이야
ไลเด	爱的
คิเนส	키네
หลิ่ง	玲
ฮากิ	하나키
ดลิง	大領
ดลิง	大領
ไดบะ	다이바
ชมัน	諂
เบเรน	벨렌
นเวลล์	오웰
คอมโบ	콤보
ฮันเด	한데
นเวลล์	네엘
อะตอมิ	아톰이
นาทั	あなた
น้ำป่า	남파
อัมมัน	암만
นารา	아라라
นาดึ	나두
วะงิ	왕이
อุตสึ	우수에
ปารั	파타라
ออสติน	옷인
อิทสึ	이수에
อินเทล	인텔
มิลฟี	밀이
มิลเด	彌勒
เมมเบอร์	엠버
อัทสึ	あっ
ไมถิ	아리에티
อันดับ	안압
มัลโล	말포이
มาเลิ	알레이
อัลบัศ	알바
มายิ	말타의
ไมต์เน	아이테
ไอคอน	아이콘
อายัน	아얀
านัม	안암
ลึง	祿俸
โลเรน	老人
อัลมัส	살맛
แลตซ์	애투
แลดเด	라떼
าเนส	아파넷
ไยง์	샤잉
วอินธิ	윈타이
สันติ	산티
โรเมอร์	로메로
ริงส์	링
ริลเล	릴에
แร่ง	랭
ราง	라방
ออสติน	옷인
ออร์ฮัน	오한
โคะเระ	코레아
โคนอน	코논
ณัฏฐิ	나티
ลิ่งส	玲
คอแลน	콜라겐
แลง	앵
ล้าง	아앙
กินี	킹이
คินเด	킨제이
กิเลน	키텔은
โฮร์เน่	호네
โฮโช	ほほ
หลุง	훙
ฮันเด	한데
ฮัลเด	할대
ไฮเร	하이르
ไฮเน	하이네
แฮง	행
คอห่าน	하안
เอร์นัน	에란
เกจิ	恩賜
เคมปิน	엠피
คมฺภี	켐페인이
กัสสะ	바싹
อัพภัน	앞판
กะลัน	아판
ใขณะ	앞이나
กะรัต	캄라
อำไพ	아마이
อัมมัน	암만
อัลมัร	알마리
คาไล	알타이
กาลั	카카가
กามั	카라마
ไอไม	다이마이
อะหัง	아항
กามั	카라마
กาศเบ	카타세
านัม	안암
อาบี	カービィ
ออร์ฮัน	오한
ออนซอน	왼손
ฮันเด	한데
อังศุ	안익수
อัลลอหฺ	الله
วากิ	와카키
ตอแหล	핼
ตะลอน	탈혼
สมาน	사마안
สไลซ์	사잇
เสฏฐะ	세타
สันติ	산티
สาเก	사타케
รัตติ	라티
อีแปะ	이파네마
ออนซอน	왼손
นทิ้ง	안팅
งอดั	곧아
งมัน	낙만
อนดิ้ง	엔딩
เม็ง	멍
กริมั	키리마
กะทัน	카탄
หวั่ง	황
จิตั	히타
จิคิ	チキン
ชิบะ	赤坂
เจ็ม	체험
เยเรส	아예렛
หริ่ง	린과
ระบำ	라바
ออสติน	옷인
อองธุ	紅土
หอวัง	오랑
ไลง์	아잉
ฮีตัม	이기타
เอร์นัน	에란
เฮลโล	河洛
เอลเช	엘체
อัศวิน	아쉬운
อัมมัน	암만
อัลบัศ	알바
ไยง์	샤잉
วะงิ	왕이
สต๊าด	ຊາດ
โรตี	로티의
โรมัน	로만
ริฏฐิ	리티
ริงส์	링
เรเนน	레넌
เรนัน	稔彦
เรนัล	레날
ระณัฐ	라나
ระเด่น	라덴
ออสติน	옷인
ออร์กี	오리이
ออนซอน	왼손
ฮันทิ	한티
โรมัน	로만
โรหณะ	로나
ริงส์	링
ริลเล	릴에
ริดเด	이리떼
เรนเดอ	人的
เรินส์	레잇
เรีน	레위인
เรดอน	ήδων
เรดดิ	レディ
รัตติ	라티
ออร์ฮัน	오한
โลเรน	老人
อินเทล	인텔
เอร์นัน	에란
วิ้งซ์	윙
อตทิง	투팅
ทลิ่ง	玲
เกษตริ	에시리
เรนัส	레나
เรกัต	레카
เรินต์	레인
ปลิง	玲
พิโรธ	피로티
ภิเนษ	핀셋
พินัย	피나
พินัย	피나
เอนไซม์	에삼
นมิง	匿名
งมัน	낙만
เงคิ	게키
งอั้ง	센강
มลิง	玲
มิลเล	밀에
มิโช	ミホ
โลไฮ	오하이
เอลลิซ	엘리시
ลกิ้ง	킹
ลดิ้ง	올딩
ไลเด	爱的
กริมั	키리마
เคร็ต	케로
เคอเรน	克仁
อิเรเน	이레네
หรั่ง	하랑
หลิ่ง	玲
ชลิน	チン
ชิง	힝
ฌัช	差出
เวลเล	웰에
ไพนต์	파인
ออร์เฟน	오렌
หรั่ง	하랑
ฮอนโด	혼도
เด็ง	徳永
เอวัง	체왕
เด็ง	엉
เด็ง	엉
เดร็ม	드롬
อัมมัน	암만
ดำดิน	아민
อัลมัส	살맛
อัลเลส	댓
อัลดิส	알디
ไอไม	다이마이
ด้านั้	아가나
ดาร็	다이아로
เสเพล	스펠
ไรตส์	라잇
ออสติน	옷인
ออร์ฮัน	오한
เลเยอร์	乐业
เลมอน	에몬
อิเรเน	이레네
อินเทล	인텔
หวั่ง	황
ฮึง	후벵
จะนะ	傳達
จอร์ดิ	ほり
โฮโช	ほほ
หิรัณ	히란
จาล	하알
ฮันทิ	한티
หังส	항수
ฮันบะ	한바
ฮั่นแ	하나에
ชะมัด	하마
หักอก	하코
ไฮร็	하이로
ไฮเร	하이르
ไฮเน	하이네
จะบัน	하바
ห้าง	하랑
ฮานด์	하안
เอร์นัน	에란
ไอรอน	아이론
บุรณะ	우라나이
บุหลัน	不善
รุจิ	ぶち
โรมัน	로만
ริฏฐิ	리티
เรเนส	렌에
เรนเดอ	人的
เรนัน	稔彦
เรดอน	ήδων
เรเดล	렌델
ระห่ำ	라함
ระเด่น	라덴
บอดี้	보디의
โอ่โถง	소통
ออสติน	옷인
ออร์ฮัน	오한
โบลเด	올덴
เลเยอร์	乐业
ไลเค	아이케
บิมบับ	임박
หาริ	하안리
ห้าง	하랑
เบเรต์	베레타
อบาง	자양
บาทิ	박사팀
บันได	아나이
บาดั	바라다
อัมมัน	암만
ไอไม	다이마이
อะหัง	아항
วารั	와타라
ทุเรศ	투렛
ตัณฑะ	타니타
สสุระ	싸우라
โสพิศ	소피
สินี	신이치
รนิง	리닝
อร์เนิล	네일
เรนัล	레날
รดิเน	디네
อร์เบิน	베인
อร์ไบน์	리바인
อามิส	라잇
ระบบั	아빠
พอลโล	아폴로
พอลโล	아폴로
ปินัน	피난
พันธ์ุ	판트
พันธะ	판타
อนุวัต	女媧
พันตัน	安曇
นนัง	낭
อนฮัง	운항
ง่อง	인공
งอั้ง	인강
อนดิ้ง	엔딩
นบัง	안방
นันธิ	나인티
นานั	나가나
สำลัก	아마코
มินตั๋	민탈
มีนั	미인아
มัลละ	말아
มะฎอน	마동
มะดัน	마이단
อัลไล	الله
เล็ง	樂工
อัลเบร์	일베로
ไลเด	爱的
แและ	갈대아
ลาบั	喇叭
กกะณะ	카나
เกจิ	케치
กอันเด	康德
กัมบะ	암바
กาสะ	카사
ไอรอน	이론에
กะหล่ำ	아함
โดลฟิ	돌이
ด์ไฮม์	하임
จ๋อง	寵
เฉ่ง	称
เชเบ	헤베
ชั่นส์	禪寺
ชัง	暢
จะนะ	ハナ
ไชร์	孩兒
แฉะ	해아
เบเลซ	벨벳
ไบออส	바이엇
แม่ฮ่องสอน	매홍손
นทิเนนตัล	콘티넨탈
นทิเนนตัล	콘티넨탈
อันนะ	안나
ริมั	리마
ไรน์	ライン
ยมัน	野蠻
ยมัล	야말
วิเด	未得
วัง	網
ซอลท์	솔티
ริเค	리케
อรัง	让
ระดะ	라다
โอนเอน	호넨
นอะกิ	나키
หุ่ง	훙
หุหุ	후후
หิติ	シティ
หิมะ	히마
ห่าน	하안
เอ็ง	엉
เองิ	엔기
เดนั	데나
อะไร	아라이
อันนะ	안나
ะงิ	안기
อัมพิ	참피
อัคริ	아카리
อัคคิ	아카키
อะเบล	아벨
อาระ	아라라
ไวน์	와인
โตง	潼
ต์ฮัน	토한
สิ้ง	싱
อส์ไฮ	篩
เซ็ป	섶
โอสึ	도수에
โอโซน	오손
โยคะ	요사
เก้นส์	켄시
อิงิ	營利
อิไล	依賴
เอ็ง	엉
เองิ	엔기
เอลเด	엘데
ชมะ	車馬
อะตอม	아톰
อะสึ	차수에
ะเรน	아렌
ะงิ	안기
ญัง	양에
แยน	얀센
ยมัท	やまと
อะมัล	아말
อักษะ	아카사
อัคคิ	아카키
ไอบะ	아이바
อาระ	아라라
อ่าง	아앙
ยันต์	얀타
อุณา	우나라
ทินั	티나
เถระ	테라
เทนด์	텐도
เปริ	페리
มิ่ง	铭
อิลัม	일람
อิไล	依賴
เฮโล	河洛
โยง	慵
ยมัน	野蠻
ยันต์	얀타
โรเน	로네
ริเด	리드
เรนน์	레논
เรเด	레드
ระเว	라웨이
ว็อลฟ์	월이
อินทุ	인투
อิมัล	이말
อิลัม	일람
วีคั	イカ
วิดิ	外資
หิติ	シティ
หิริ	히리
ฮัลล์	할일
แฮะ	해아
วอล์ด	월데
เวทิ	센티
เองิ	엔기
เอลเด	엘데
เอลเบ	엘베
เอินซ์	에인세
ะเรน	아렌
ะเรน	아렌
ะเระ	아레아
แวนิ	아니
อำเภอ	암프
อัลญะ	알아야
อัลเด	알더
อักโข	아카코
ไอน์ส	아이넷
ไอบะ	아이바
อ่าง	아앙
อาม็	아다모
อามั	아다마
ยกิน	야킨
ยะโส	야소
ญัง	央
อูเร	우우르
ตัช	たち
อรินั	린아
เรทั	레타
เรณิ	레니
เริด	레이다
ระณะ	라나
ระเค	라크
ระกะ	라카
ไรต์	ライト
ไรน์	ライン
โอชะ	お茶
อิงิ	인기
อิมัล	이말
อิเดะ	이데아
โหง่	弘
เองิ	엔기
เอลเด	엘데
อัตถะ	たった
อัลญะ	알아야
ไอน์ส	아이넷
อะดัม	아담
าธิ	パーティ
อาระ	아라라
อาลิ	바알이
เวง	翁
ไวซ์	와힛
ตรอม	타롬
ทกิน	타킨
ตกัล	티칼
ทินั	티나
ติลั	틸다
ทไฮ	拓海
เทิส	테이사
ตบัน	타반
ทะนะ	타나
ตะโก้	타코
สุมะ	すま
สุคิ	スキ
อนุสติ	우티
สตั๊ด	우타다
สตั๊ด	우타다
ซมัน	소만
สลัน	실안
ซิปิ	싶이
สินะ	신아
สดัน	사단
สบัน	세반
ไซน์	사인
ไซด์	사이다
รุบะ	루바
รสิน	리신
อร์ซัล	리살
โรลั	롤라
อร์เนส	리넷
รเนน	리넨
อร์มัส	라맛
รมัน	레만
รกิล	우릴
อร์เคล	리켈
อริยะ	리야
ริมั	리마
ริเบ	리베
อรหัน	리한
อร์ไฮ	熱海
เรทั	레타
อรัง	让
ระณะ	라나
รัลอิ	랄이
แรล	라엘
ระบิ	라비
ระบะ	라바
ปมัน	포만
ภิทั	피타
ภัติ	팥이
ปั้ง	旁
นวิน	네윈
นวัน	나완
นทุก	분투
นทุก	분투
นท้อน	안톤
นริล	우릴
นรี่	オンリー
นพัน	アンパン
โนล์ด	놀다
นนัท	준나
นนัท	준나
นนัน	南岸
นเคล	인켈
นิติ	니티
นิติ	니티
นิษฐ	닛타
นิดั	니다
งมุ	중무
โมนต์	몬타
โมง	몽
มิดิ	미디
เมกิ	메키
เมดั	메다
อมันน์	만엔
มั้ง	盲
มัลล	말일
มะลิ	馬利
ไมด์	마이도
ลมัน	일만
ลิตั	利他
ลิเน	＿
ลิช	立ち
ลดิน	올딘
ลบัน	일반
โขลญ	콜의
กิกั	키카
เคนั	케나
กะวะ	카와
หลิน	虎林
หิ่ง	힝
ฮั้ง	杭
อื่น	学問
โดร์น	도론
ดิเน	디네
เด้นส์	덴시
เดเน	드네
เดนั	데나
ดาน	大安
จู๊	出羽
ชิส	持寺
ฉี	赤い
อบุง	붕
โบง	우봉
บิลั	빌자
ไบย์	白夜
ไบด์	바이두
บัจ	罷黜
บัจ	罷黜
ยุ้ง	융
ทรัน	예란
โยเน	요네
เยลิ	열이
อยดัล	유달
วิธิ	뤼티
วินย	윈의
วิ่ง	윙
วิโล	윌로
วิกิ	위키
เวเด	未得
อูเร	우우르
สุ่ง	숭
สุ่ง	숭
ทซึ	つり
ซึอิ	宿衛
โสติ	소티
ซิปิ	싶이
สิ้ง	싱
สินะ	신아
สหัน	투산
สหัก	屠殺
เซย์อิ	세의
เสโณ	세노
เซง	셍
เซลั	셀카
สั่ง	桑
สอัมส	삼사
รอยัล	리얄
ตรึ	루레이
โรยั	로야
โรทั	로타
ร็สต์	롯타
รอง	蓉
โรมั	로마
โรกิ	로키
โรคั	로카
ริฒิ	리티
ริสซ์	리씨
รอิพิ	리피
ริกั	りか
อเร็น	レオン
เรณิ	레니
เรง	렝
เรเน	렌에
เรเด	레드
รอันท์	란타
รักษ์	라켓
รอะกิ	라키
ระบิ	라비
ระบบ	라삐
ระบะ	라바
อราส	라낫
อราล	라왈
โอโซน	오손
ตรอน	オリオン
โตรด	토루
โอพอล	토폴
โทสะ	통사
โทโช	오호
มัลล	말일
คุมั	쿠마
อิซึ	이수에
อิสระ	이세라
ติเน	인내
อิงิ	인기
ทินั	인차
อีโต้	ビート
โหสถ	홋타
โหนด	혼다
โฮกิ	호키
หิริ	히리
ฮินด์	힌디
ฮิโล	힐로
เฮ็ด	허다
เห้ง	衡
เฮิน	헤인
เฮิล	헤일
เฮดิ	河底
ฮันน์	한인
ฮัลส	할시
ฮัลล์	할일
ไฮส	하이시
ไฮน์	하인
ไหล	하일
แฮร	해라
เอลเด	엘데
อชิน	チン
เจน	沉
อชัน	諂
ไช่	釵
อัตถะ	たった
อะตอม	아톰
ะเรน	아렌
ะเระ	아레아
อัมพิ	참피
ไทร	아미리
อะไม	아마이
อัลญะ	알아야
อัลบะ	알바
อะลัม	알참
อัคริ	아카리
อักโข	아카코
ไอคิ	아이키
ไอบะ	아이바
อะเดล	아델
อาเป	아가페
อ่าง	아앙
าเน	아야네
าณะ	아타나
อากิ	아자키
อาดิ	아바디
ยุ้ง	융
โยง	慵
เยช	夜叉
อยดัล	유달
วินย	윈의
วิดั	위다
เวทั	웨타
เว็น	원
เว่นธ์	問題
เวิ่น	웨인
ไวล์	와일
ไวก์	外科
ว่าน่	와한
วาบ	와랍
อูรุ	우루루
อุตริ	우타리
อุไร	우라이
อุภัย	우파의
ซดุล	수들
ธุระ	투라
ตรอม	타롬
ทรัน	토란
ทรับ	타랍
ทอร์น	토란
โธโล	톨도
ทอล์ก	톨키
โทคิ	トキ
โทเบ	톱에
สถิร	시롭
ติเน	티넥
ทินั	티나
ติลั	틸다
ทิจ	提出
สทัล	토할
เทรล	테릴
เธเน่	텐에
เทมป์	템피
เตกั	테이카
เทิส	테이사
ทะนุ	탄투
ตะละ	탈파
ไทท์	타이토
แทซ	태시
แท่น	탠
แตล	태울
ตัช	たち
ตาร์อ	スター
ธาล	타알
ทาบ	타랍
โซโล่	솔로
โรทั	로타
โรคั	로카
ริมั	리마
เรง	렝
ระยะ	라야
อรัง	让
พอร์น	포룬
โปง	퐁
โปเล	폴에
พิธิ	피티
ศิษย	시샤
พิรุ	譬如
พิริ	피리
ปิณิ	피니
พิง	評
เพนส์	펜사
เปิ้ล	페일
ปะทะ	파타
พัณณ์	판인
ปั้ง	旁
ปัช	パチ
ปาค	パーク
ศวัส	소와
ออร์โธ	오리토
โสภณ	소판
โอชะ	お茶
โซบะ	섭라
นิกซ์	νίκος
เนง	能
ในร	나이리
แนร์	내리
โมกิ	모키
มิทซ์	みつ
เมตส์	մեծ
เมเล	멜레
มะระ	마라
มัณฑ	만타
มันส์	만시
ไมน์	마인
ไมล์	마일
มัช	馬出
มาก้	마아코
ลินส	林寺
ลิเน	＿
ลิบั	禮拜
เล้ง	冷
ลัมะ	喇嘛
ขยุ้ม	큐마
คุรุ	쿠루
คุณั	쿠나
คุมั	쿠마
คุกิ	쿠키
กริม่	카림
ก์เรล	카렐
กรัม	키람
กรัล	카랄
ก็วล	코웰
โคลั	콜카
โกโก้	ここ
โกกิ	코키
กอดั	코다
คิริ	키리
คินด์	킨디
กิโฆ	키코
คิดิ	키디
คิบะ	키바
เกรน	케론
เกรล	케롤
เก้ง	鏗
เคมพ์	켐페
เกล์พ	켈피
กะวะ	카와
กะเร	카레
คะเน	카네
แคร่	카에레
กาล	카알
ศิวิ	시위
สินะ	신주아
อิมัส	입맛
อิไม	이마이
อีโน	이이노
หยัน	和彦
หุ่ง	훙
ฮึย	후에의
หรี่	호리이
โซเซ	호세
โหง่	弘
หมุน	후문
หิติ	シティ
หิริ	히리
ฮิโล	힐로
เหวอะ	헤이와
เหติ	合體
เฮ็ค	허키
เหลย	헬의
เฮิน	헤인
เฮิล	헤일
ฮันต์	한테
ฮันส	한시
ฮันน์	한인
ไหร	孩兒
ไฮน์	하인
ไหม่	하임
ไหล	하일
แฮร	해라
แหล	핼
ห่าน	하안
ฮาม	해암
ฮาล	하알
สนิส	세니
เใน	에나의
เซเด	셈인데
เซลู	스
เอลเบ	엘베
เซคส์	세키쇼
ซินธ์	セイント
เอินซ์	에인세
เอินซ์	에인세
เซเน	세간에
เซดั	세마
ชุท	出土
จุฬ	處理
ชุฟ	觸法
จิร	赤熱
อชิน	チン
จิล	池里
เจม่	車馬
เชิ่	徹子
เชิ่	徹子
เชะ	車馬
จั๋ว	茶屋
ชัร	挿入
อชัน	諂
ศะศิ	아리시
ะเระ	아레아
อะไร	아라이
อะนัส	라낫
อักษะ	아카사
อัคริ	아카리
สะกิ	사케리
ไอน์ส	아이넷
ไอคิ	아이키
แสบ	샙
แอง	앵
แอดิ	애디
อะเดล	아델
อะเบล	아벨
อายั	알아야
าธิ	パーティ
ษัทอะ	사카타
อาระ	아라라
าเน	아야네
อาดิ	아바디
โยธะ	요타
โยคิ	요키
ยมัน	野蠻
อยดัล	유달
เวรุ	웨루
อุภัย	우파의
อุชุ	御厨
โรมั	로마
รึต	肉體
โรเน	로테
โอนเอน	호넨
ออลเด	올드
ออดิโอ	오디오
โอชะ	お茶
อิ้งค์	잉키
อิมัล	이말
อิแม	이마에
อิเดะ	이데아
รบิส	리비시
หยัน	和彦
ฮวง	휭
ฮินด์	힌디
เรสท์	벳토
เรศา	에사
รสัน	러산
เรเน	엔게
เใน	에나의
เรคิ	레키
บัติ	밭이
รอาด	라야
อันนะ	안나
อะนัส	라낫
อัมพิ	참피
รามบุตรี	라브리
อะมัล	아말
อะไม	아마이
อักษะ	아카사
อัคคิ	아카키
อะดัม	아담
อร์บ็อต	라보
อะบี	아비에이
อายั	알아야
าธิ	パーティ
าณิ	아앙이
อาดิ	아바디
อาเบ	아랍에
าบะ	아사바
ยุคิ	ゆき
อุไร	우라이
ลิเน	＿
เจม่	車馬
อัตถะ	たった
แอดั	내다
ยุ้ง	융
โยง	慵
โยเน	요네
ยมัน	野蠻
วิธิ	뤼티
เวเน	웨인에
อุตริ	우타리
พุฒิ	菩提
เปริ	페리
อุชุ	御厨
ตั๊ง	汤
โซมั	소마
ศิริ	시리
รุษย	루셰
โรทั	로타
โรลั	롤라
โรบะ	로바
อริยะ	리야
ริษฐ์	릿토
ริสซ์	리씨
ริ้ง	링
อรินั	린아
เรตต์	レット
เรทิ	레티
เรนน์	레논
เรง	렝
เรคิ	레키
เริน	레인
เริล	레일
ไรด์	라이디
แรน	랜
ระดะ	라다
ระบุ	ラブ
โพสท์	포투
โอโซน	오손
โอพอล	토폴
ออลเด	올드
ออิง	고잉
ออดิโอ	오디오
นึล	누엘
โลเค	漏刻
ลั้ง	朗
อิตัล	이탈
อิไม	이마이
อิลัม	일람
โหลด	홀도
หิริ	히리
เห้ง	衡
เฮิล	헤일
ฮันต์	한테
ฮันส	한시
ฮั้ง	杭
ไหร	孩兒
แฮร	해라
แฮะ	해아
ห่าน	하안
เฟิล	非禮
เอินซ์	에인세
เอเดน	에덴
จุม	畜牧
อะตอม	아톰
ไปล่	파틸
ปะทุ	파투
อะไร	아라이
ไปร	앞이라
อันเต	안테
ผาล	아날
อักษะ	아카사
อัคริ	아카리
อาเป	아가페
าณิ	아앙이
ยุคิ	ゆき
ยะกิ	야키
ยะเค	やけ
วเรน	와렌
วกิ้น	오퀸
วินย	윈의
เวทั	웨타
เวเร	微熱
เว่นส์	웬수
ไวซ์	와힛
ไวน์	와인
ตต้า	타타아
ทซึ	투수에
โตเน	토네
โตเน	토네
โตกั	とか
ตมัน	타만
ทินิ	티니
ติกั	ティカ
เธเน่	텐에
เตโล	텔로
เตกั	테이카
เทิล	테일
ตั๊ง	汤
ตะละ	탈파
ทะกิ	타키
ตะเฆ่	타케
ตัช	たち
ศวิน	쉰
สุวั	수와
ศริน	시린
ซ้อง	誦
โซนั	소나
โซโล่	솔로
โซบะ	소바
สเนส	소넷
สมุส	사뭇
สมุน	시문
ซมิน	소민
สลิน	살인
ซิกั	시카
เส็น	선
ซดัล	세달
สั่ง	桑
สะกิ	サキ
สะกิ	サキ
รย็อล	오룔
รเวล	로웰
อร์เรน	로렌
อร์เรล	로렐
โรยั	로야
ร็สต์	롯타
รอนั	로나
โร้กส์	로콧
โรบะ	로바
อร์เนส	리넷
อร์เนส	리넷
รเนน	리넨
รนัน	汝南
รมัน	레만
รมัน	레만
อร์ไม	로마이
อร์คิน	루킨
รกัน	라칸
อริยะ	리야
ริ้ง	링
อรินั	린아
ริเบ	리베
อรหัน	리한
เรทิ	레티
เรทั	레타
อเร็น	レオン
เร้นท์	렌타
เรนส์	렌시
เรนด์	렌도
เรเค	레커
เร้จ	오레하
เร้จ	오레하
รบิน	ロビン
