zoa	ζωα
karmageddon	αρμαγεδδών
hypermestra	υπερμήστρα
hippodromio	ιπποδρόμιο
hippodameia	ιπποδάμεια
hierosolyma	ιεροσόλυμα
heteroptera	ετερόπτερα
hermoupolis	ερμούπολις
herakleonas	ηρακλεωνάς
herakleitos	ηράκλειτος
herakleides	ηρακλείδες
hellenistes	ελληνιστής
harpokrates	αρποκράτης
geometriske	γεωμετρική
filosofiske	φιλοσοφική
farmageddon	αρμαγεδδών
dalessandro	αλεσσάντρο
cleosthenes	λεωσθένης
chrysaetus	χρυσαετούς
carmageddon	αρμαγεδδών
atoxoplasma	τοξόπλασμα
arthritide	αρθρίτιδες
analfabeto	αναλφάβητος
yekaterina	εκατερίνα
yangonites	αγκωνίτης
wallendorf	άλλεντορφ
tragoudhia	τραγουδια
spanochori	πανωχώρι
scholander	χολάντερ
schartmann	χάρτμανν
radiofonia	αδιοφωνία
polyandra	πολυανδρία
panaflexes	ανάφλεξης
pallotines	αλλοτινές
orthodoxam	ορθόδοξα
ornithine2	ορνιθίνη
monasterii	μοναστήρι
mandernach	άντερναχ
malexander	αλεξαντερ
kannapolis	αννάπολις
hyperbolos	υπέρβολος
hymnologia	υμνολογία
hybristika	υβριστικά
hyakinthos	υάκινθος
hospitalet	οσπιταλέτ
holofernes	ολοφέρνης
hodegetria	οδηγήτρια
hispaniola	ισπανιόλα
hippothous	ιππόθους
hippothoon	ιπποθόων
hippomenes	ιππομένης
hippolytos	ιππόλυτος
hippodromo	ιππόδρομο
hippodamos	ιππόδαμος
hierotheos	ιερόθεος
hieromneme	ιερομνήμη
hieratikon	ιερατικών
hierapytna	ιεράπυτνα
hierapolis	ιεράπολις
hexamilion	εξαμιλίων
hexabiblos	εξάβιβλος
heurematon	ευρημάτων
hesperides	εσπερίδες
hermonassa	ερμώνασσα
hermogenes	ερμογένης
hermeneias	ερμηνείας
hermagoras	ερμαγόρας
herakleios	ηράκλειος
heptanesos	επτάνησος
hellenikos	ελληνικος
hellenikon	ελληνικών
hellanikos	ελλάνικος
helladites	ελλαδίτης
hallendorf	άλλεντορφ
halieutika	αλιευτικά
gilchristi	γκίλχριστ
euangelica	ευαγγέλια
estrategia	στρατηγία
estanislao	στανισλάο
erythrotus	ερυθρούς
elizabeth	ελίζαμπεθ
elisabetha	ελισαβέτα
elektriske	ηλεκτρική
dalesandro	αλεσάντρο
cristiana	χριστιανά
comberland	όμπερλαντ
columbians	ολύμπιανς
chrysoides	χρυσίδης
christine	χριστιανή
catherines	αθερίνες
cannapolis	αννάπολις
batrachus	βατράχους
babylonica	βαβυλωνία
apterygota	πτερυγωτά
alloiosis	αλλοιώσεις
alexanderi	αλεξαντρί
akathistos	καθιστός
aethelstan	έθελσταν
aethelbert	έθελμπερτ
zeltingen	ελτιγκέν
yissachar	ισσάχαρ
xantippe	ξανθίππη
xanthoula	ανθούλα
watkinson	άτκινσον
walbrecht	άλμπρεχτ
waitemata	αιτήματα
vitaliano	ιταλιάνο
vernandes	ερναντές
verlangen	έρλαγκεν
verlangen	έρλαγκεν
vendelman	έντελμαν
thesauru	θησαυρού
telepolis	ελέπολις
sybridion	υβριδίων
schindler	χίντλερ
schermann	χέρμανν
schartman	χάρτμαν
sandillon	αντιλλών
sanderson	άντερσον
romerikes	ομηρικής
randerson	άντερσον
porismata	ορίσματά
pingleton	ίγκλετον
parmenion	αρμενίων
parkesine	αρκεσίνη
paragonia	αραγωνία
papoulias	απουλίας
papandato	απαντάτο
papamichalopoulou	παπαμιχαλόπουλου
papakyriakopoulos	παπακυριακόπουλος
panopolis	ανώπολις
panatrope	ανατροπή
palmeras	παλμέιρας
pallotine	αλλοτινή
palagonia	αλαγονία
ōnakatomi	νακατόμι
onakatomi	νακατόμι
oklahoma	οκλαχόμα
oeterbeek	έτερμπεεκ
nespresso	εσπρέσσο
nespresso	εσπρέσσο
nesenbach	έσενμπαχ
monoplan	μονοπλάνα
molossus	μολοσσούς
mazzolino	μαζολίνο
mathletes	αθλητής
mathesoni	μάθεσον
marmottes	μαρμότες
marittima	μαριτίμα
manthrope	άνθρωπε
manoteras	ανωτέρας
manderson	άντερσον
loureiroi	λουρέιρο
logistik	λογιστικό
leonardoi	λεονάρδο
lasthenes	ασθενής
lanthimos	άνθιμος
landriano	αντριάνο
lamberson	άμπερσον
lamanites	αμανίτης
kypourgos	υπουργός
kongress	κογκρέσσο
klonengan	λόνεγκαν
klearchos	λέαρχος
kemmerich	έμμεριχ
katoliška	κατόλικα
katherina	αθερίνα
kastritsi	αστρίτσι
kanopolis	ανώπολις
kangourou	καγκουρό
kalamanos	αλαμάνος
janderson	άντερσον
isthmius	ίσθμιους
isotroper	ισότροπη
indianus	ινδιάνους
igoumenos	γούμενος
hystaspes	υστάσπης
hyperoche	υπεροχή
hyperenor	υπερήνωρ
hylobates	υλοβάτης
hydraotes	υδραώτης
hortensio	ορτένσιο
hortensia	ορτένσια
hortensia	ορτένσια
hormisdas	ορμίσδας
homotopia	ομοτοπία
homoptera	ομόπτερα
homologia	ομολογία
homerites	ομηρίτες
holobolos	ολόβολος
hollandia	ολλανδία
historiai	ιστορίαι
hispanias	ισπανίας
hippothoe	ιπποθόη
hippothoe	ιπποθόη
hippolito	ιππόλιτο
hippokles	ιπποκλής
hipparion	ιππάριον
hipparete	ιππαρέτη
hiketides	ικέτιδες
hieronymo	ιερώνυμο
hierokles	ιεροκλής
hieroboam	ιεροβοάμ
hetaireia	εταιρεια
hesychian	ησυχίαν
hertziana	ερτζιανά
herodotos	ηρόδοτος
hermiones	ερμιόνης
herakleia	ηράκλεια
henrietta	ενριέττα
henotikon	ενωτικών
hendelman	έντελμαν
hemerobio	ημερόβιο
helleniko	ελληνικο
helladios	ελλάδιος
heliokles	ηλιοκλής
hekataios	εκαταίος
harrison	χάρρισον
harmonike	αρμονική
harmodios	αρμόδιος
hannelore	αννελόρε
handerson	άντερσον
hamaxitos	αμαξιτός
hamasaki	χαμασάκι
haliakmon	αλιάκμων
groundolf	ρούντολφ
grammaton	ραμμάτων
gomerites	ομηρίτες
gendelman	έντελμαν
gaulonite	αυλωνίτη
gallatine	αλλατίνη
floridana	φλοριάνα
fingleton	ίγκλετον
fernandes	ερναντές
fandriana	ανδριάνα
fanderson	άντερσον
eupatria	ευπατορία
estandart	στάνταρτ
erythrops	ερυθρός
endicher	έντλιχερ
eleonorae	ελεονόρα
eleimonas	λειμώνας
ekaterine	κατερίνη
ekaterina	κατερίνα
ekatarina	καταρίνα
eirlandia	ιρλανδία
dalmatica	δαλματία
corazones	ώραζώνης
columbias	ολύμπιας
cleonides	λεωνίδης
clarisses	λαρίσσης
clarissas	λάρισσας
chrysotus	χρυσούς
chronicon	χρόνιων
cemeterio	εμετέριο
catherina	αθερίνα
carapacho	αραπάχο
calamines	αλαμίνης
brainpark	ράινπαρκ
batrachomyomachia	βατραχομυομαχία
balbinosa	βαλβίνος
astigmata	στίγματα
argonite	αραγωνίτη
arginine7	αργινίνη
apsarades	ψαράδες
apologiam	απολογία
apollonia	πολλώνια
apellaios	πελλαίος
anomalus	ανώμαλους
aneratzia	νερατζιά
andersoni	άντερσον
anderseni	άντερσεν
anatomica	ανατομια
anakorite	ανακριτή
allegria	αλληγορία
albertii	αλμπερτίνι
agelastos	γελαστός
agazarian	γκαζαριάν
abyssinia	βυσσινιά
theodorakopoulos	θεοδωρακόπουλος
neuropsychologia	νευροψυχολογία
n-dimethylaniline	διμεθυλανιλίνη
mikroelektronika	μικροηλεκτρονικά
christianopoulos	χριστιανόπουλος
zosterae	ζωστήρα
zelaznyi	ζελάζνυ
zamboula	αμπούλα
zambetti	αμπέττι
zabulon	ζαβουλών
youthman	ουθμάν
yeleazar	ελεάζαρ
yarkandi	αρκάντι
yandinga	αντίγκα
yalamber	αλαμπέρ
xanthias	ανθίας
wysteria	υστερία
wreisner	ρέισνερ
wouralia	ουράλια
waterson	άτερσον
warneton	αρνητών
wariston	άριστων
wandrous	άντρους
walstrom	άλστρομ
wallison	άλλισον
wallaman	αλλαμάν
walfredo	αλφρέδο
vesperia	εσπέρια
vespania	εσπάνια
versilia	ερσιλία
verotika	ερωτικά
venetiko	ενετικό
venetias	ενετίας
varillas	αρίλλας
vandikes	αντίκες
vandalia	αντάλια
vaganian	αγανιάν
vacheron	αχέρων
ustaritz	στάριτζ
uplanden	πλαντέν
undangan	νταγκάν
ukambani	καμπάνι
tzamboni	ζαμπόνι
triunfo	τριούνφο
trematon	ρεμάτων
tranders	ράντερς
tragiske	τραγική
toberman	όβερμαν
timation	ιματίων
tiberias	ιβηρίας
thornton	θόρτον
tethneke	τέθηκε
tenguron	εγκύρων
tellinii	τελλίνι
tarandi	τάρανδοι
taragona	αραγώνα
tagiades	αγιάδης
strabane	τραβάνε
sportman	πόρτμαν
spinello	πινέλλο
spinelli	πινέλλι
spartana	σαρτανά
spartali	παρτάλι
sparkman	πάρκμαν
spansion	πανσιόν
southman	ουθμάν
somalica	σομαλία
solcando	σολάντο
soberman	όβερμαν
slimania	λιμάνια
skandari	καντάρι
sirenas	σειρήνας
sinaloae	σιναλόα
senoches	ενοχές
seirenes	ειρηνης
segetike	ηγετική
seesters	έεστερς
schouten	χούτεν
schobert	χόβερτ
schinkel	χίνκελ
scherman	χερμάν
schenkel	χένκελ
schening	χένιγκ
schendel	χέντελ
schember	χέμπερ
scheller	χέλλερ
schekman	χέκμαν
scheiben	χέιβεν
scheflin	χέφλιν
schatter	χάττερ
scharrer	χάρρερ
scharper	χάρπερ
scharoun	χαρούν
schaller	χάλλερ
sberbank	μπέρμπανκ
sbarbaro	μπάρμπαρο
sathanas	αθανάς
sardella	σαρδέλα
saportae	σαπόρτα
sapiston	άπιστων
sandroni	ανδρόνι
sandlers	άντλερς
sandison	άντισον
sandalia	αντάλια
salonion	αλωνίων
salengro	αλέγκρο
salandra	αλάντρα
sakellaropoulou	σακελλαρόπουλου
roumania	ουμάνια
rosinski	οσίνσκι
romerike	ομηρική
rollande	ολλανδή
rhodiola	ροδιόλα
restoril	εστορίλ
remerton	έμερτον
rastrika	αστρικά
rapolese	απώλεσε
rapeiros	απείρως
randalia	αντάλια
ramirezi	ραμίρεζ
protesto	προεστό
preisner	ρέισνερ
postumo	πόστουμο
portero	πορτιέρο
plousios	λούσιος
plochman	λόχμαν
plesches	λέσχης
plangman	λαγκμάν
pistoria	ιστορία
pistola	πιστιόλα
perrikos	ερρίκος
perillos	ήριλλος
pereirae	περέιρα
penikese	ενίκησε
peliades	ηλιάδες
pelenike	εληνική
pelafina	ελαφίνα
pastoria	αστόρια
parriana	αρριανά
parmenio	αρμενιό
panthous	ανθούς
pangalia	αγκαλιά
pandoras	ανδόρας
pandolfo	αντόλφο
pandelin	αντελίν
pandanas	αντάνας
palmeria	αλμερία
palaiokastritsa	παλαιοκαστρίτσα
otsikita	τσικίτα
otellini	τελλίνι
österlin	στερλίν
oostende	οστένδη
okamotoi	οκαμότο
oenopion	ενώπιον
odysseas	δυσσέας
oblonger	μπλόγκερ
normani	νορμαντί
nkambule	καμπύλη
nathenas	ἀθηνᾶς
nathalia	αθαλία
nanikana	ανίκανα
nanangon	αναγκών
nairobi	ναϊρόμπι
mysteron	υστέρων
mysteria	υστερία
myrianthopoulos	μυριανθόπουλος
mladost	μλάντοστ
mirlande	ιρλανδή
milinski	ιλίνσκι
michalakopoulos	μιχαλακόπουλος
meridano	ηριδανό
menomena	ενωμένα
menippea	ενιππέα
meliades	ηλιάδες
maurelio	αυρήλιο
mathlete	αθλητή
massaria	ασσάρια
martyre	μαρτυρεί
martland	άρτλαντ
martima	μαριτίμα
martensi	μάρτενς
martaban	αρτάβαν
marmaton	αρμάτων
marketou	αρκετού
marketon	αρκετόν
marizona	αριζόνα
maristes	αρίστης
marietta	αριέττα
marciano	μαριάνο
marchias	αρχίας
mapleton	άπλετον
mangista	αγγίστα
mangalia	αγκαλιά
mandelin	αντελίν
mandelas	αντέλας
mandarte	αντάρτη
malstrom	άλστρομ
mallison	άλλισον
malkinia	αλκίνια
malfalfa	αλφάλφα
maleurs	μαλεύρης
maletras	αλετράς
malesina	αλεσίνα
malandra	αλάντρα
makrembolitissa	μακρεμβολίτισσα
madronia	αδρόνια
madones	μαντόνες
logothetopoulos	λογοθετόπουλος
liberica	λιβερία
lesperia	εσπέρια
lebenden	λεβέντη
langites	αγγίτης
landrade	αντράδε
landonis	αντόνις
landonio	αντονιο
landolfo	αντόλφο
landlers	άντλερς
landeros	αντέρως
landeria	αντεριά
landelin	αντελίν
lamberti	λάβερτι
kypselos	υψηλός
kritiki	κριτικαί
kristne	κριστίνε
kristall	κρίσταλ
krasnoperekopsk	κρασνοπερεκόπσκ
kosinski	οσίνσκι
korthiou	όρθιου
kommende	κομμένη
komitat	κομιτάτα
komedia	κομέντια
kolonija	κολονία
knopfler	νόπφλερ
klarissa	λάρισσα
klarides	λαρίδες
kellison	έλλισον
kastoria	αστόρια
karteria	αρτηρία
karomata	αρώματα
karakum	καρακούμ
kaplanes	απλανής
kapitana	καπιτάν
kandleri	κάντλερ
kandemir	αντεμίρ
kambemba	αμπέμπα
kalandra	αλάντρα
kalamii	καλάμιτι
kakrides	ακρίδες
jeremies	ερημιές
jeremias	ηρεμίας
jellison	έλλισον
japetian	απετιάν
jamindar	αμιντάρ
itsandra	τσάντρα
istrouma	στρούμα
istorioa	ιστορία
ismenias	σμηνίας
iskandar	σκαντάρ
irginia	βιργινία
irelands	ρέλαντς
initrode	νιτρώδη
indiaman	ντιαμάν
idromeno	δρώμενο
ibarreto	μπαρρέτο
hyrnetho	υρνηθώ
hyrkania	υρκανία
hymettos	υμηττός
hydrozoa	υδρόζωα
hydaspes	υδάσπης
hydarnes	υδάρνης
hronika	χρονικα
hostmark	όστμαρκ
hosinski	οσίνσκι
homonoia	ομονοια
homiliai	ομιλίαι
hollande	ολλανδή
hoberman	όβερμαν
hispanos	ισπανός
hispalis	ίσπαλις
hippotes	ιππότες
hipponax	ιππώναξ
hipolito	ιπόλιτο
himerios	ιμέριος
hilarios	ιλάριος
hilarion	ιλάριον
hilaeira	ιλάειρα
hexapoda	εξάποδα
hersilia	ερσιλία
heroismo	ηρωισμό
heroides	ηρωίδες
herodion	ερωδιών
hernando	ερνάντο
hermolao	ερμόλαο
hermippe	ερμίππη
hermione	ερμιόνη
herminia	ερμίνια
hermeiou	ερμείου
hermeias	ερμείας
hermanas	ερμάνας
hermanas	ερμάνας
herigone	ηριγόνη
heretika	ερετικά
herakles	ηρακλής
henrieta	ενριέτα
henderon	εντέρων
hemithea	ημίθεα
helsinki	ελσίνκι
hellison	έλλισον
hellenes	ἕλληνες
hellados	ελλάδος‎
heliades	ηλιάδες
hegesias	ηγησίας
heesters	έεστερς
hebraios	εβραίος
heberton	έβερτον
hebdomon	έβδομον
hebdomas	εβδομάς
hartland	άρτλαντ
harteria	αρτηρία
harpagos	άρπαγος
harmodio	αρμόδιο
haristos	άριστος
handzame	αντζαμέ
hamilkar	αμίλκαρ
halmyros	αλμυρός
halimede	αλιμήδη
haichman	άιχμαν
hagrites	αγρίτης
haeredes	αέρηδες
hadriane	αδριανή
hadriana	αδριάνα
haartsen	άαρτσεν
gstirner	στίρνερ
grothman	ρόθμαν
greisner	ρέισνερ
grammene	ραμμένη
gouraios	ουραίος
gothones	οθόνες
goberman	όβερμαν
giosafat	ιωσαφάτ
gilberti	γκίλμπερτ
gerondas	έρωντας
gernando	ερνάντο
georgica	γεωργια
genetika	ενετικά
gazzetta	γαζέττα
gasteria	αστέρια
gartland	άρτλαντ
gandolfo	αντόλφο
ganderia	αντεριά
gambelia	αμπελιά
gallothi	άλλοθι
gallison	άλλισον
galilaea	γκαλιλέα
galenson	αλενσόν
galathea	γκαλατέα
forresti	φόρρεστ
foreston	ορεστών
florides	λωρίδες
floridas	λωρίδας
florenzo	λορένζο
florenus	φλόρενς
ffrangon	φράγκων
fernando	ερνάντο
fenomeno	ηνωμενο
fastrand	άστραντ
fappiano	αππιανό
fairland	άιρλαντ
estoiles	στοΐλης
esteller	στέλλερ
estandar	σταντάρ
espinoza	σπινόζα
esoteria	σωτηρία
eskender	σκεντέρ
eskandar	σκαντάρ
escheria	σχερία
emesenes	μεσηνής
eleonora	λεονώρα
elektor	εκλέκτωρ
eleandro	λεάντρο
ekonomou	κονόμου
ekeryxan	κήρυξαν
ekalesia	καλέσια
eidomene	ιδομένη
eglamour	γκλάμουρ
egionis	βέγιονις
edelman	έντελμαν
echelman	χέλμαν
eberites	βερίτης
drachman	ραχμάν
donofrio	ονόφριο
dikyklos	δικυκλο
destrose	έστρωσε
destini	ντέστινι
desports	εσπόρτς
depaulis	έπαυλις
demetrakopoulos	δημητρακόπουλος
demerson	έμερσον
delirio	ντελίριο
dandrade	αντράδε
dandelin	αντελίν
danaides	αναιδής
damnesia	αμνησία
dallison	άλλισον
dalberto	αλβέρτο
daichman	άιχμαν
crestani	ρεστανί
coupland	ούπλαντ
comberth	όμπερθ
columbio	ολύμπιο
clitoria	λιτόρια
clarissa	λάρισσα
clarisas	λαρισασ
cerillos	ήριλλος
cassaria	ασσάρια
cartland	άρτλαντ
carietta	αριέττα
carabane	αραβανή
capriles	απρίλης
caponera	απόνερα
capleton	άπλετον
capelles	απελλής
capanema	απάνεμα
candiope	αντιόπη
candemir	αντεμίρ
camachos	άμαχος
calstrom	άλστρομ
callison	άλλισον
cainites	αινίτες
cabdella	αβδέλλα
buchneri	μπύχνερ
broussel	ρουσσέλ
broumana	ρουμάνα
brouchon	ρούχων
brossano	ροσσάνο
brombert	ρομπέρτ
brenneri	μπρέννερ
bratland	ράτλαντ
brassell	ράσσελλ
brachman	ραχμάν
bourgois	μπούργος
boreades	ορεάδες
blochman	λόχμαν
biologos	ιολόγος
biologia	ιολογία
bilinski	ιλίνσκι
bernando	ερνάντο
benedeni	μπεντένι
bemerton	έμερτον
battalos	άτταλος
bateleia	ατέλεια
barretos	άρρητος
baronian	αρονιάν
barillas	αρίλλας
bandrika	ανδρικά
bandida	αβαντίδα
banderia	αντεριά
bambola	μπαμπούλα
balsamea	βαλσάμη
balbanes	αλβάνης
balaskas	αλάσκας
balandin	αλαντίν
balamber	αλαμπέρ
bakerman	άκερμαν
bachmani	βάχμαν
ausania	παυσανία
atomaria	τομάρια
atherion	θηρίων
athanase	θανάση
astrella	στρέλλα
astrebla	στρεβλά
asterope	στερόπη
astellas	στέλλας
aspasmos	σπασμός
asomatos	σώματος
asolando	σολάντο
arktiske	αρκτική
arimondi	ριμόντι
aretines	ρητίνης
aramandi	ραμάντι
apolonio	πολώνιο
apolonia	πολωνια
apatrida	πατρίδα
ansambel	άναμπελ
anomaola	ανώμαλα
angelae	αγγελάκη
androutsopoulos	ανδρουτσόπουλος
andreae	ανδρεάδη
andalou	μανδάλου
anagnostopoulos	αναγνωστόπουλος
amoreira	μορέιρα
amoliano	μολιάνο
amerikas	μερικάς
amelinda	μελίντα
amantes	αμανίτης
amandina	μαντινά
amandala	μαντάλα
amachour	αμάχου
alitinos	λίτινος
alfalfae	αλφάλφα
aleister	λέιστερ
aleandro	λεάντρο
alazanas	λαζανάς
alassane	λασσάνη
alagonia	λαγόνια
alabanda	λαβάντα
akanthos	κάνθος
agrimson	γκρίμσον
agrammes	γραμμές
agnostos	γνωστός
agnoston	γνωστόν
agilbert	γκίλμπερτ
ageladas	γελάδας
afilando	φιλανδό
aenarete	ενάρετη
achillis	χίλλις
achilies	χίλιες
achammer	χάμμερ
abranson	μπράνσον
aaronian	αρονιάν
voulgaroktonou	βουλγαροκτόνου
vasilikopoulos	βασιλικόπουλος
theotokopoulos	θεοτοκόπουλος
stylianopoulos	στυλιανόπουλος
strategopoulou	στρατηγοπούλου
strategopoulos	στρατηγόπουλος
polychroniades	πολυχρονιάδης
pneumatomachoi	πνευματομάχοι
pallouriotissa	παλλουριώτισσα
nikolakopoulou	νικολακοπούλου
laurasiatheria	λαυρασιαθήρια
koutloumousiou	κουτλουμουσίου
koukoulopoulos	κουκουλόπουλος
kalogeropoulou	καλογερόπουλου
kalogeropoulos	καλογερόπουλος
gabrielopoulos	γαβριηλόπουλος
frangokastello	φραγκοκάστελλο
ekklesiazousai	εκκλησιάζουσαι
cinematografia	κινηματογραφία
christoforides	χριστοφορίδης
christoforakos	χριστοφοράκος
boulgaroktonos	βουλγαροκτόνος
archistrategos	αρχιστράτηγος
apotelesmatika	αποτελεσματικά
apostolopoulos	αποστολόπουλος
andriakopoulos	ανδριακόπουλος
andragathemata	ανδραγαθήματα
alexandropolis	αλεξανδρόπολις
aganaktismenoi	αγανακτισμένοι
zouaoua	ουάουα
zongolopoulos	ζογγολόπουλος
zolorin	ολόριν
zlatina	λατίνα
zionide	ιωνίδη
zimbala	ιμπάλα
zenetos	ενετός
zelmira	ελμίρα
zelliot	έλλιοτ
zeidane	είδανε
zeichen	είχεν
zastron	άστρων
zaratos	άρατος
zanskar	άνσκαρ
zannone	αννώνη
zaniolo	άνιολο
zandile	αντιλέ
zanders	άντερς
zamunda	αμύντα
zamboni	αμπόνι
zambona	άμβωνα
zaltman	άλτμαν
zaitian	αιτίαν
zagoria	αγόρια
zafeiropoulou	ζαφειροπούλου
zacharo	άχαρο
zacharopoulos	ζαχαρόπουλος
zabelas	αβελάς
yzerman	ζερμάν
ystoria	στορία
younous	ούνους
ymagier	μάγιερ
yenisei	ενισέι
yelenas	έλενας
yekaterinodar	εκατερίνονταρ
yefendi	εφέντι
ychange	χάγκε
yaounde	άουντε
yandera	άνδηρα
yamarna	αμάρνα
yakamas	ακάμας
xstrata	στράτα
xindian	ίντιαν
xandros	ἀνδρὸς
xandria	άντρια
xanders	άντερς
xananas	ανανάς
woromia	ορόμια
woltman	όλτμαν
wolfert	όλφερτ
wolbers	όλμπερς
wokanda	οκάντα
wistron	ίστρον
wistman	ίστμαν
windson	ίντσον
windous	ινδούς
windies	ινδίες
westher	εσθηρ
werthan	ηρθαν
wengert	έγκερτ
weltzin	έλτζιν
weisner	έισνερ
weirton	έιρτον
weichen	είχεν
wattala	αττάλα
watkins	άτκινς
wathena	αθή­να
warsame	αρσάμη
wapella	απέλλα
wannita	αννίτα
wandrei	αντρέι
waltzer	άλτζερ
waltman	άλτμαν
waltair	αλτάιρ
walston	άλστον
walster	άλστερ
wallach	αλλάχ
waleses	άλεσης
walbert	άλμπερτ
wakamba	άκαμπα
waisman	άισμαν
waisler	άισλερ
waimata	αίματα
