zumi	ずみ
dagana	ダガナ
dafu	ダフ
chori	チョリ
chonburi	チョンブリ
choku	チョク
chimachima	ちまちま
chihi	チヒ
chenmo	チェンモ
chaun	チャウン
charita	チャリタ
chama	チャマ
chaba	チャバ
burada	ブラダ
bungei	ブンゲイ
boze	ボゼ
borei	ボレイ
bika	ビカ
biju	ビジュ
bihoku	びほく
bette	ベッテ
beso	べそ
barato	バラト
banai	バナイ
bakku	ばっく
bainii	バイニー
ayumi	あゆみ
aven	アヴェン
auri	アウリ
auretta	アウレッタ
auma	アウマ
ashika	アシカ
aruba	アルバ
arayashiki	アラヤシキ
araku	アラク
arado	アラド
appare	あっぱれ
aori	あおり
anza	アンザ
anuu	アヌー
anaza	アナザ
anan	アナン
aisha	アイシャ
agu	アグ
agan	アガン
aegina	アエギナ
adan	アダン
acha	アチャ
abiba	アビバ
abei	アベイ
khachatourian	ハチャトゥリアン
mesopotamica	メソポタミア
sarayashiki	アラヤシキ
orongorongo	ロンゴロンゴ
monteagudo	モンテアグード
yekaterina	エカテリナ
takanezawa	あかねざわ
sorafenib	ソラフェニブ
sapientiam	サピエンティア
ōyamatsumi	ヤマツミ
otonawanda	トナワンダ
omotenashi	もてなし
nishimatsu	イシマツ
khirokitia	ヒロキティア
innocenti	インノチェンティ
ikimashita	キマシタ
franchetti	ランチェッティ
adamantina	アダマンティン
yeremenko	エレメンコ
wuyontana	ウヨンタナ
whangaroa	ハンガロア
watsonii	ワトソニー
wakatsuki	あかつき
wakamatsu	アカマツ
wagatsuma	アガツマ
tshibanda	シバンダ
thankachi	ハンカチ
tatsuhiko	あつひこ
tamarani	たまらない
takatsuki	あかつき
takamatsu	アカマツ
sogdiana	ソグディアナ
shirohata	ヒロハタ
shirakawa	ひらかわ
shenshan	身繕い
schonchin	チョンチン
sapateiro	サパテロ
quenderin	ウェンデリン
pika-pika	ぴかぴか
oyamazaki	やまざき
orinpikku	りんぴっく
oinopion	オイノピオーン
nishizawa	いしざわ
nishizaki	イシザキ
nishizaka	イシザカ
nishiyama	イシヤマ
nishimura	イシムラ
nishimoto	イシモト
nishikawa	イシカワ
nishihara	イシハラ
nipponica	ニッポニア
ninoshima	イノシマ
nakamatsu	アカマツ
nagatsuma	アガツマ
miminashi	イミナシ
metaurus	メタウルス
matadero	マタデーロ
marakashi	アラカシ
mangurian	アングリアン
kottaboon	オッタボーン
komunista	コムニタ
kishizawa	いしざわ
kishimoto	イシモト
kikushima	イクシマ
khakamada	ハカマダ
kawakamii	カワカミ
katsuhiko	あつひこ
kapitana	カピタニア
kakamegae	カカメガ
jakumetsu	アクメツ
izzuddin	イッズッディーン
itsutsuji	ツツジ
isonokami	そのかみ
ishibashi	しばし
isahakyan	サハキャン
ipurupuru	ぷるぷる
horizonti	オリゾンティ
horizonte	オリゾンテ
horizonte	オリゾンテ
hishikawa	イシカワ
hinoshima	イノシマ
hieronimu	イエロニム
herensuge	エレンスゲ
henrietta	エンリエッタ
heeringen	エーリンゲン
hatsuhiko	あつひこ
hasegawai	はせがわ
grotteria	ロッテリア
gradisson	ラディッソン
ghassania	ハッサニア
frumenti	フルメンティ
fremontii	レモンティー
fishikawa	イシカワ
eridanus	エリダヌス
ekaterini	カテリニ
ekaterine	カテリネ
ekaterina	カテリナ
ekatarina	カタリナ
djandoubi	ジャンドゥビ
dharahara	ハラハラ
desutoron	エストロン
dekimachi	エキマチ
darwinii	ダルウィニー
chavaria	チャヴァリア
charietto	ハリエット
cemeterio	エメテリオ
brachetto	ラチェット
benedicta	ベネディタ
bajamonte	アジャモンテ
aurantia	アズランティア
ashibetsu	しべつ
anatomica	アナトミア
amangochi	マンゴチ
amenominakanushi	アメノミナカヌシ
aguasukarientesu	アグアスカリエンテス
zhisheng	ひ生
zhennan	真ん丸
zentatsu	エンタツ
yoshioki	おしおき
yasutora	アストラ
yasumaru	アスマル
yamagami	アマガミ
yamadori	アマドリ
yamabiko	アマビコ
yakimoto	あきもと
wuorinen	ウォリネン
waizuman	アイズマン
wabenaki	アベナキ
vuorinen	ウォリネン
verotika	エロティカ
vemerana	エメラナ
variante	アリアンテ
vannette	アンネッテ
ushijima	シジマ
uridasu	取りだす
udaigiri	だいぎり
uchizaki	ちざき
trigonia	リゴニア
tregatta	レガッタ
tramonto	ラモント
tramonto	ラモント
tramonti	ラモンティ
torakusu	オラクス
tokuyama	オクヤマ
todoroki	オドロキ
tioranda	イオランダ
theranda	ヘランダ
thanneri	ハンネリ
teverina	エヴェリナ
tchepone	チェポネ
tatariya	アタリヤ
taranchi	アランチ
tangara	タンガロア
takimoto	あきもと
takaishi	アカイシ
takahata	アカハタ
takahara	アカハラ
taikatsu	アイカツ
suranari	ウラナリ
suematsu	ウエマツ
suberosa	スベロア
sridatta	日だった
spiridon	ピリドン
spinotti	ピノッティ
sonozaki	おのざき
smaranda	マランダ
skandera	カンデラ
simonii	シモニー
shisheng	ひ生
shimushu	ヒムシュ
shikkaku	ひっかく
shauriya	シャリヤ
shattari	ハッタリ
sharabha	シャラバ
severina	エヴェリナ
setsuden	せつえん
sentenza	エンテンザ
sasakawa	アサカワ
sarakawa	アラカワ
sarakata	あらかた
santonio	アントニオ
sanjirou	アンジロウ
sakimoto	あきもと
sakazaki	あかざき
sagrada	サグラダ
ryuuzaki	ゆうざき
ryukichi	ユキチ
rufinus	ルフィヌス
rittetsu	いってつ
revenson	エヴェンソン
rekusasu	エクサス
reicher	レイチェル
ramburii	らぶりぃ
puraanam	プラーナ
proterra	ロテッラ
prassana	ラッサナ
pochinko	オチンコ
pikopiko	イコピコ
pheronia	ヘロニア
peruana	ペルダナ
pereirae	ペレイラ
pariante	アリアンテ
paramida	アラミダ
pandorea	アンドレア
paionian	アイオニアン
padinton	アディントン
outamaro	ウタマロ
otonashi	トナシ
ōokayama	オカヤマ
onitsuka	ニツカ
ōnakatsu	なかつ
okitsune	キツネ
okamotoi	オカモト
ohigashi	ひがし
ofuruton	フルトン
obayashi	バヤシ
numidica	ヌミディア
norihime	おりひめ
nkarahia	カラヒア
nishidai	イシダイ
nikkatsu	いっかつ
ngerende	ゲレンデ
ngaitana	ガイタナ
ndakaaru	ダカール
nasution	アスティオン
narayan	ナラヤナ
nannette	アンネッテ
nanimaru	アニマル
namagiri	あまぎり
nakazawa	あかざわ
nakahata	アカハタ
nakahara	アカハラ
motohira	おとひら
motohime	おとひめ
morrison	モリソン
morigami	オリガミ
montanae	モンタナ
meekeren	エーケレン
mataram	マタラム
masuteru	アステル
martima	マリティマ
marizona	アリゾナ
mariotto	アリオット
marietti	アリエッティ
marietta	アリエッタ
mannette	アンネッテ
mangonia	アンゴニア
mafumadi	アフマディ
machadoi	マチャド
loffenau	オッフェナウ
lingotto	インゴット
lauretta	アウレッタ
laurenti	アウレンティ
kyushiro	ユシロ
kyukichi	ユキチ
kyousuke	ヨウスケ
kusunoki	ウスノキ
kurukuru	ウルクル
kukkonen	ウッコネン
koyanagi	おやなぎ
koyamada	オヤマダ
kotagiri	おたぎり
kiyotake	イヨタケ
khomeini	ホメイニ
khinchin	ヒンチン
khatanga	ハタンガ
khashuri	ハシュリ
kenjeran	エンジェラン
kazumasu	アズマス
kawamori	アワモリ
katsurae	カツラ
karataka	あらたか
karakum	カラクム
kantaria	アンタリア
kaneesha	アネーシャ
kanazawa	あなざわ
kakimoto	あきもと
jonetsu	ジョウネツ
jinjian	ジァンジァン
januari	ジャヌアリオ
janthina	ジャンティナ
janeesha	アネーシャ
jananiya	アナニヤ
itoshima	トシマ
ishizuka	しづか
ishimoto	しもと
ishimaru	始まる
ishiguru	シグル
ishigure	しぐれ
ishibumi	シブミ
ipitanga	ピタンガ
ichiriki	チリキ
ichihara	ちはら
ichigaya	チガヤ
ichibata	ちば拓
iamarino	あまりの
humaniti	ウマニティ
honorato	オノラト
honorati	オノラティ
honathan	ホナタン
hideharu	イデハル
herigone	エリゴネ
hassani	ハッサニア
harrison	ハリソン
hanazawa	あなざわ
haavikko	アーヴィッコ
grisenko	リセンコ
gretchen	レッチェン
gratteri	ラッテリ
goputika	オプティカ
gokayama	オカヤマ
gnatasha	ナタシャ
gnanette	ナネッテ
gheranda	ヘランダ
georgii	ゲオルギイ
gazzetta	ガゼッタ
garbani	ガルバニ
ganjuran	アンジュラン
furakawa	ウラカワ
fumihiko	うみひこ
frauenau	ラウエナウ
franchon	ランチョン
etrigan	エトリガン
etiopica	エティオピア
eshinbun	しんぶん
entomon	デントモン
ekaterin	カテリン
dzurinda	ズリンダ
dontario	オンタリオ
djotodia	ジョトディア
deverina	エヴェリナ
dantonio	アントニオ
daijingu	アイジング
crosetti	ロセッティ
chishima	ひしま
chijutsu	チウッ
chereene	ヘレーネ
chaucha	チャウチャウ
charissa	ハリッサ
chanuman	ハヌマン
chananya	ハナンヤ
centerra	エンテッラ
carietta	アリエッタ
carenado	アレナド
caratori	アラトリ
camarero	アマレロ
brunetto	ルネット
brunetta	ルネッタ
brujini	ビルジニ
brossano	ロッサノ
bringen	ベリンゲン
brigetta	リゲッタ
branigan	ラニガン
brandon	ブランドン
branchon	ランチョン
branche	ブランチェ
botterii	ぼってり
borbonia	ボロニア
bhawaiya	ハワイヤ
benedeni	ベネデン
bendito	ベンディット
bassani	バッサーニ
baronian	アロニアン
barbaro	バルバロ
barazani	アラザニ
baramada	アラマダ
atsumori	つもり
ashurian	シュリアン
ashizuri	しずり
ashitaro	シタロ
asakichi	サキチ
arosetta	ロセッタ
antiguae	アンティグア
amoretto	モレット
amoreira	モレイラ
amoreena	モレーナ
amoranto	モラント
amirante	ミランテ
amerindo	メリンド
amasakku	マサック
amarinda	マリンダ
amantes	アマンテス
amaboko	かまぼこ
akiyoshi	キヨシ
akitsune	キツネ
akatsuki	カツキ
akamusi	アカムシ
akamatsu	カマツ
adorada	アドラーダ
adeniken	デニケン
adamiani	ダミアニ
abashiri	バシリ
aaronian	アロニアン
kapingamarangi	カピンガマランギ
gerogerigegege	ゲロゲリゲゲゲ
zubaida	ウバイダ
zhoukou	ほうこう
zhanran	はんらん
zhakata	ハカタ
zebrina	ゼビナ
zatoria	アトリア
zariran	アリラン
zanfini	アンフィニ
zanetto	アネット
zanette	アネッテ
zanetta	アネッタ
zamorin	アモリン
zakani	ザクアニ
zagaria	アガリア
yuganda	ウガンダ
yuenchi	ウェンチ
yosogai	オソガイ
yoshimi	おしみ
yoshiki	オシキ
yoshida	オシダ
yerofei	エロフェイ
yenisei	エニセイ
yefendi	エフェンディ
yedisan	エディサン
yasooka	アソーカ
yashima	アシマ
yashika	アシカ
yashida	アシダ
yareena	アレーナ
yan-shu	ヤンシュ
yanshin	あんしん
yakusho	アクショ
xindian	インディアン
xaragua	アラグア
wreeden	レーデン
wratten	ラッテン
woromia	オロミア
worochi	おろち
wokanda	オカンダ
witchen	イッチェン
windigo	インディゴ
wharepu	ハレプ
whakari	ハカリ
watsuki	アツキ
washizu	アシズ
washita	あした
wanjiru	案じる
wanguri	アングリ
wangari	暗がり
wanette	アネッテ
wamuran	アムラン
waitete	アイテテ
waipara	アイパラ
waimaru	アイマル
waikawa	アイカワ
waikare	アイカレ
wageman	アゲマン
wachira	あちら
waabano	アーバノ
vtoraya	トラヤ
vrooman	ローマン
vreeden	レーデン
voronko	オロンコ
virunga	イルンガ
viriamu	イリアム
vinessa	イネッサ
vinchon	インチョン
vettore	エットレ
versuta	ヴェスタ
vergin	ヴェリギン
verdugo	ヴェルゴ
venuta	ヴェンスタ
ventana	ヴェンター
variete	アリエテ
varetto	アレット
varenka	アレンカ
varadin	アラディン
vanisha	アニシャ
vanetta	アネッタ
vanessa	アネッサ
vagenda	アゲンダ
vachira	あちら
uwajima	ワジマ
utataki	たたき
utamaru	タマル
utakata	タカタ
urunana	ルナナ
urukuwa	ルクワ
uribana	リバナ
urantia	ランティア
upanama	パナマ
unozawa	ノザワ
unosuke	ノスケ
unigate	ニガテ
umutara	ムタラ
umataro	マタロ
umasaka	まさか
umariya	マリヤ
ujiteru	撃てる
ujigawa	ジガワ
ugayafukiaezu	ウガヤフキアエズ
uchini	忽ちに
uberaba	ベラバ
tzanata	ザナタ
tuengen	ウェンゲン
ttokkyo	とっきょ
tsuzuki	すずき
tsuyama	スヤマ
tsuwano	スワノ
tsutomu	ストム
tsurumi	スルミ
tsuruma	スルマ
tsuruga	スルガ
tsunako	スナコ
tsumaru	速まる
tsukuru	スクル
tsukumo	スクモ
tsukasa	スカサ
tsubura	スブラ
tsubota	スボタ
tsubame	スバメ
tshadda	シャッダ
tsedaka	セダカ
trouton	ロウトン
troiden	ロイデン
trittin	リッティン
tritten	リッテン
trikken	リッケン
trezona	レゾナ
treveri	レヴェリ
treeman	レーマン
tradebe	ラデベ
tottori	おっとり
toshimi	おしみ
toshiki	オシキ
torres	トッレス
toretto	オレット
torenko	オレンコ
toranj	トランジ
tonetti	オネッティ
tokutan	オクタン
tokushi	オクシ
tokuchi	オクチ
tokoshi	オコシ
tohoku	トーホク
toguchi	オグチ
tobashi	オバシ
tobana	トウバナ
tjararu	ジャラル
timonen	イモネン
tiguana	イグアナ
tiessen	イェッセン
tiengen	イェンゲン
tiberia	イベリア
thiruda	ヒルダ
thimena	ひめな
thessen	ヘッセン
themuru	ヘムル
thaniya	ハニヤ
thangai	ハンガイ
thamudi	ハムディ
thamama	ハママ
thabana	ハバナ
teuren	テクレン
tetsuko	えつこ
teterin	エテリン
teteria	エテリア
teneria	エネリア
tendara	エンダラ
temerin	エメリン
temeria	エメリア
taurion	アウリオン
tatsuya	アツヤ
tatsuta	アツタ
tatsumi	あつみ
tarooma	アローマ
tarinat	タリナ
tarichi	ありち
tarasha	アラシャ
taranta	アランタ
tarango	アランゴ
taranda	アランダ
taramea	アラメア
tarakan	アラカン
tarakai	アラカイ
tarabin	アラビン
tapuria	アプリア
tanzawa	あんざわ
tanken	タニケン
tanisha	アニシャ
tangari	暗がり
tamotsu	アモツ
tamanda	アマンダ
takemikazuchi	タケミカズチ
takechi	アケチ
takashi	あかし
takaroa	アカロア
taishin	アイシン
tairyan	アイリャン
tairiku	アイリク
tadorna	タドラ
tadashi	アダシ
tachara	アチャラ
syamaka	ヤマカ
suttana	スタナ
suruchi	ウルチ
suprana	スパナ
supaari	ウパーリ
sunchon	ウンチョン
sucharu	ウチャル
subashi	ウバシ
suanshu	サンシュ
stoumen	トゥメン
stonton	とんとん
stieren	ティエレン
statton	タットン
starion	タリオン
starina	タリナ
staraya	タラヤ
stanyan	タニャン
speravi	セラヴィ
speeton	ペートン
sparano	パラノ
spankin	パンキン
spadoro	パドロ
sotiria	オティリア
soteria	オテリア
sorokko	オロッコ
soriana	オリアナ
soposan	お婆さん
sobria	ソベリア
soberin	オベリン
sneferu	ネフェル
smashin	麻しん
smashie	マシェ
smaraka	マラカ
skurida	クリダ
skarure	カルレ
skapara	カパラ
skankin	かんきん
skandia	カンディア
skainan	カイナン
sjansen	ジャンセン
sitchin	イッチン
sinmora	インモラ
sindima	インディマ
sindika	インディカ
sindian	インディアン
sinchon	インチョン
sinagua	イナグア
simoni	シモニ
sidonia	イドニア
siberia	イベリア
sibanda	イバンダ
shuwang	シュワン
shousha	ほうしゃ
shoshin	ほしん
shomeri	ホメリ
shizuru	ひずる
shizumu	ヒズム
shitara	ヒタラ
shishou	ひしょう
shishio	ひしお
shiruko	ヒルコ
shirota	ヒロタ
shiroka	ひろか
shirato	ひらと
shirase	ひらせ
shiraki	ひらき
shiragi	ひらぎ
shiraga	ひらが
shindou	ヒンドゥ
shinchi	ヒンチ
shimokitazawa	しもきたざわ
shimizu	ヒミズ
shimeko	ヒメコ
shimai	シェマイ
shikuma	ヒクマ
shigeta	ヒゲタ
shibana	ひばな
sherida	ヘリダ
shenchi	ヘンチ
sheerin	ヘェリン
sheeren	ヘーレン
sheepen	ヘーペン
shauman	ハウマン
sharuno	ハルノ
sharawi	ハラウィ
sharan	シャオラン
sharama	ハラマ
sharada	ハラダ
shaohao	ハオハオ
shanzui	ハンズィ
shannen	ハンネン
shangyu	ハンギュ
shakari	ハカリ
shakara	ハカラ
shabari	ハバリ
shabana	ハバナ
shabaki	ハバキ
severin	エヴェリン
setsuko	えつこ
serissa	エリッサ
serenoa	エレノア
serenia	エレニア
serebii	エレビー
sendara	エンダラ
semeria	エメリア
scusami	スサミ
schoppa	チョッパ
schitsu	チツ
schirra	チッラ
scherie	チェリエ
schemin	チェミン
schawan	茶わん
scharon	チャロン
scharin	チャリン
saveiro	アヴェイロ
sauroposeidon	サウロポセイドン
saurani	アウラニ
satsuki	アツキ
sassari	あっさり
sarwada	サワダ
sarason	アラソン
sarasan	アラサン
sarante	アランテ
saranta	アランタ
saranda	アランダ
saranai	サラーイ
sarakan	アラカン
sarabia	アラビア
saraban	アラバン
santore	アントレ
santoni	アントニ
sansoni	アンソニ
sankuru	アンクル
sankore	アンコレ
sangari	暗がり
sandora	アンドラ
sandoni	アンドニ
sandaka	アンダカ
saikawa	アイカワ
saihara	あいはら
saiburi	アイブリ
saharon	アハロン
sageman	アゲマン
sachiko	アチコ
saamaan	アーマーン
ryushin	ユシン
rusutsu	ウスツ
rusata	ルサティア
rukusenburugu	ルクセンブルグ
rowanae	ロワーエ
rotaria	オタリア
roseana	オセアナ
rokison	オキソン
rohita	ロシタ
rodessa	オデッサ
riveria	イヴェリア
ringen	イリンゲン
riessen	イェッセン
richini	イチニ
richika	イチカ
rheinau	ヘイナウ
retsuko	えつこ
renchen	エンチェン
remondo	エモンド
regioun	レギオン
regeren	レーレン
ratasha	あたしゃ
rashida	アシダ
raniero	アニエロ
randoni	アンドニ
ramosa	アラモサ
rajani	ラジアニ
rabirii	アビリー
rabiche	ライチェ
qureshi	ウレシ
quetton	ウェットン
quentin	ウェンティン
qritani	リタニ
qattara	あったら
qabacha	アバチャ
provini	ロヴィニ
protten	ロッテン
pritani	リタニ
prinzen	リンゼン
presson	レッソン
pressen	レッセン
premera	レメラ
pratti	プラッティ
pratten	ラッテン
prasuti	ラスティ
pramuka	ラムカ
potamoi	オタモイ
popayan	オパヤン
pooraka	おおらか
pomonia	オモニア
poketto	オケット
pojaman	オジャマン
poente	ポテンテ
pobjeda	ポベダ
pitchin	イッチン
pisano	ピサーノ
piperi	ピペリン
pinchon	インチョン
pimeria	イメリア
phureja	プレジャ
pherusa	ヘルサ
pheiton	ヘイトン
pheidon	ヘイドン
phaidon	ハイドン
petoria	エトリア
perush	ペルシャ
peretto	エレット
pendino	エンディノ
penchen	エンチェン
pechina	エチナ
pazande	アザンデ
pasukan	アスカン
pashia	パシラ
pasetto	アセット
paroria	アロリア
parlare	パラレ
parinda	アリンダ
parikia	アリキア
pariani	アリアニ
paramar	パラマ
paraman	アラマン
paraiso	アライソ
paragua	アラグア
paradou	アラドゥ
paradin	アラディン
panzani	アンザニ
panshin	あんしん
panjeri	アンジェリ
panette	アネッテ
panetta	アネッタ
panessa	アネッサ
pandore	アンドレ
pajeros	パジェロ
paionia	アイオニア
padurii	パウリー
pachuta	アチュタ
øyungen	ユンゲン
oyashio	ヤシオ
oyakoba	ヤコバ
ovenden	ヴェンデン
ōtsuchi	つち
otsuchi	つち
otonari	となり
ōtomari	トマリ
otatara	タタラ
otakusa	タクサ
osensei	せんせい
osechen	セチェン
orikata	リカタ
orianka	オリアナ
oregina	レギナ
operaia	ペライア
öpengin	ペンギン
opatoro	パトロ
oparara	パララ
onyanko	ニャンコ
onozaki	のざき
oniyama	ニヤマ
ōnaruto	ナルト
ominato	ミナト
ominami	ミナミ
omasuyo	ますよ
omaruru	マルル
omariya	マリヤ
omarion	マリオン
omarama	マラマ
omagari	マガリ
omadore	マドレ
okuzaki	くざき
okutono	クトノ
okunchi	くんち
ōkouchi	こうち
okishio	キシオ
okimoto	キモト
okenian	ヶ年
okawara	カワラ
okanari	かなり
okamiya	カミヤ
okajima	カジマ
okafuji	カフジ
oishida	いしだ
ōimachi	イマチ
ohanyan	ハニャン
ogihara	ギハラ
ōfunato	ふなと
ofunato	ふなと
odorama	ドラマ
odonata	どなた
odessan	デッサン
odaawaa	ダーワー
ochetto	チェット
obukuro	ブクロ
oborona	オボロン
obispo	オビスポ
ōatsugi	アツギ
nyamata	ヤマタ
nukkari	うっかり
nottawa	オッタワ
noranda	オランダ
nogushi	おぐし
noguchi	オグチ
nobadia	オバディア
nivara	ニヴァラ
nitanju	イタンジュ
nisshin	いっしん
nishino	イシノ
nishida	いしだ
nishaan	イシャーン
niijima	イイジマ
niessen	イェッセン
nichiko	イチコ
nichiki	イチキ
ngungun	グングン
nerissa	エリッサ
nereson	エレソン
ndongou	ドンゴウ
natuna	ナトゥナ
natsumi	あつみ
natsuko	アツコ
natsuki	アツキ
natasha	あたしゃ
narooma	アローマ
narissa	アリッサ
narinda	アリンダ
naranda	アランダ
naraito	アライト
naraido	アライド
naotake	アオタケ
naoharu	アオハル
nanette	アネッテ
nanetta	アネッタ
nandaka	アンダカ
namaraa	アマラー
nakachi	アカチ
naikara	アイカラ
naharon	アハロン
nagasau	ながす
myazawa	ヤザワ
myamoto	ヤモト
muzeum	ムゼウム
mutsumi	ウツミ
muralha	ムラハ
muganda	ウガンダ
mshindi	シンディ
mshatta	シャッタ
mottama	オッタマ
motoori	オトーリ
motchan	オッチャン
moshiri	お飾り
morongo	オロンゴ
morinda	オリンダ
moriana	オリアナ
moretto	オレット
morden	モルデン
morcha	モラチャ
morando	オランド
mookini	おおきに
moodian	オーディアン
monetti	オネッティ
mkindia	キンディア
mitsuwa	イツワ
mitsumi	イツミ
mitsuki	イツキ
mitsuji	いっ祭
mirigan	イリガン
mirando	ミラノ
minteri	インテリ
minochi	いのち
minimia	ミニマ
mimosae	ミモサ
mikemen	イケメン
michiyo	いちよ
michiya	イチヤ
michiru	イチル
michiko	イチコ
michiba	イチバ
metter	メッテル
messene	エッセネ
merione	メリオン
meriani	メリアン
menoken	エノケン
menchen	エンチェン
medison	エディソン
mechina	エチナ
mchinji	チンジ
mbororo	ボロロ
mbaraki	バラキ
mbaraka	バラカ
mbagira	バギラ
mazuria	アズリア
mattara	あったら
matsuya	アツヤ
matsumi	あつみ
matsuko	アツコ
matsuki	アツキ
matouba	アトゥバ
mataano	アターノ
massari	あっさり
masorin	アソリン
mashita	あした
mashimo	アシモ
mashima	アシマ
masetto	アセット
maschii	マチー
maruzen	アルゼン
maruchi	アルチ
marshi	マロシ
marroni	マロニ
marotta	アロッタ
maronia	アロニア
marmuru	マムル
marissa	アリッサ
marisha	アリシャ
mariora	アリオラ
marinko	アリンコ
marinda	アリンダ
marieta	アリエタ
marichi	ありち
mariani	アリアニ
maretto	アレット
maressa	アレッサ
marengo	アレンゴ
marazan	アラザン
maratta	アラッタ
marashi	アラシ
marasha	アラシャ
maranoa	アラノア
maranda	アランダ
marakai	アラカイ
maragua	アラグア
maragon	アラゴン
maraamu	アラーム
manjeri	アンジェリ
manisha	アニシャ
manguri	アングリ
mangeri	アンゲリ
manetto	アネット
manette	アネッテ
manetta	アネッタ
maneiro	アネイロ
mandoni	アンドニ
manbasa	アンバサ
mamusha	アムシャ
mamatsu	アマツ
mamatay	ママタ
mamanti	アマンティ
mamadou	アマドゥ
mamacha	アマチャ
makusha	アクシャ
maionia	アイオニア
maihara	あいはら
maguayo	アグアヨ
magento	アゲント
magaria	アガリア
maderia	アデリア
machte	マチェテ
machiko	アチコ
maackii	マーキー
lumiera	ウミエラ
loteria	オテリア
lotaria	オタリア
lorinda	オリンダ
loriana	オリアナ
loretto	オレット
loreena	オレーナ
lopango	オパンゴ
lokanda	オカンダ
limachi	イマチ
liganga	イガンガ
liberia	イベリア
leshara	エシャラ
lenchen	エンチェン
layachi	あやち
laveran	アヴェラン
laurion	アウリオン
lattara	あったら
latessa	アテッサ
latasha	あたしゃ
lashara	アシャラ
larissa	アリッサ
laranda	アランダ
lanisha	アニシャ
langada	アンガダ
landore	アンドレ
lanchei	アンチェイ
lamuria	アムリア
lamanda	アマンダ
lagenda	アゲンダ
lageman	アゲマン
ladaria	アダリア
kyuukou	ゆうこう
kyonggi	泳ぎ
kyamate	ヤマテ
kwangya	ワンギャ
kwaaman	ワーマン
kushinadahime	クシナダヒメ
kushan	クシャナ
kurichi	ウリチ
kureshi	ウレシ
kundina	ウンディナ
kumuran	ウムラン
kukuruz	ククル
krutein	ルテイン
krusei	クルセイ
krupina	ルピナ
krossen	ロッセン
krooman	ローマン
kresson	レッソン
krenken	けんけん
kreevin	レーヴィン
kreesha	レーシャ
kreegan	レーガン
kratina	ラティナ
kranke	カランケ
koushi	コルシ
koujie	コルジエ
