zya	زيا
santanae	سانتانا
sansanan	أنساناً
samartha	أمارتها
samantha	أمانتها
salmalia	المالیة
sagrada	ساغرادا
rastaman	أستامان
qallahat	اللاهات
pashtany	أشتاني
parakhya	أراخيا
palmarsh	المارش
palamara	الأمارة
nashland	أشلاند
namaland	أمالاند
nallalam	اللآلام
nakhshab	اخشاب
maynardi	ماينارد
martland	أرتلاند
manthara	انتحارًا
manmatha	أنماطها
mandryka	أندريكا
maltanka	التانكا
malayans	ألايانس
malayala	الايالة
malamala	الأمالى
liinamaa	إِنَّمَا
lalbazar	البازار
kwanyama	وانياما
kasahara	أساهارا
kanthaka	انتهاكا
kamratna	امرأتنا
kambarka	امباركة
kalawan	كالألوان
kalasala	الاسالة
kalantan	الانتان
kalakala	الأكالة
kalabhra	الأبهرى
kahraman	أهرامان
ikalahan	كالاهان
hawraman	أوراماً
hartland	أرتلاند
hamaland	أمالاند
halmstad	المصطاد
halbarad	البَرَد
grayland	رايلاند
gnatasha	ناتاشا
gartland	أرتلاند
ganharan	أنهاراً
flambard	لامبارد
fawakhir	أواخِر
fastrada	استرادا
falashah	الاصحاح
estandar	ستاندار
elnathan	لناثان
djakarta	جاكارتا
dikhtyar	إختيار
dalkinty	الكِنتي
dalayman	الأيمان
cathbath	اثباته
cartland	أرتلاند
caltrans	الترانس
calimala	الإمالة
calantha	الانثى
bisharat	إشارات
bharatha	حاراتها
bhajatha	حاجاتها
bashkala	اشكالا
ballaban	اللَّبَن
balkhash	الخاصه
balhisar	الحِصار
balastra	الأسترة
bakhtyar	اختيار
bakhtiar	اختیار
babraham	أبراهام
astrakan	ستراكان
anastasy	ناستاسي
amandala	ماندالا
al-thani	الثانی
al-siyar	السِّيَر
al-shifa	الصحیفة
al-qamar	القَمَر
allaqat	اللاقمات
al-hikam	الحِكَم
al-hazmi	الحازمی
al-harba	الهاربة
al-ghayb	الغايب
al-gharb	الغارب
alfarata	الفارطة
aldabrae	ألدابرا
alcanzar	الأنظار
al-bilad	البِلاد
al-athar	ألأثار
al-ansab	الأ‌نساب
al-amsar	الأمصار
al-absar	الابصار
akhaldan	خالداً
adamiani	آدامیان
aasharya	أشاريا
zwitsal	وإتصال
zitlala	إطلالة
zimbala	إمبالا
zhakata	هاكاتا
zarthan	أرثاً
zarkana	أركانا
zandman	اندمان
zaltman	التمان
zakhara	آخَرَ
zakarya	أكاريا
zaghawa	أغاوا
žabljak	أبلجاك
yukaba	يُكْتَبَ
yinshan	إنشاً
yanshan	أنشان
yalafar	الآفار
yakhsha	أخصها
xananas	أناناس
xanalys	أناليس
xamanha	أمانها
xalatan	الأتان
wishart	إشارت
winland	إنلاند
wikrama	إكراما
whyland	هيلاند
waynman	اينمان
warland	أرلاند
wanshan	أنشان
waltman	التمان
waltham	التهام
walstad	الستاد
walsman	السمان
walsham	الشّام
walrand	الراند
walkara	الكـارة
waljama	الجاما
waldram	الدرام
waldman	الدمان
waldham	الدهام
walbran	البران
walbank	البانك
walanda	الأندى
wabasha	أباشا
visayas	إساياس
vinatha	إناثا
vikrama	إكراما
vatsala	اتصالا
vathana	آذانا
vastara	آستارا
vasabha	اصابها
vardhan	أردهان
varadha	ارادها
vantara	أنتارا
valsava	الساڤا
vallila	اللیلة
valkila	الكِلى
valjala	الجالا
valfajr	الفاجر
valdman	الدمان
valasna	الأسنة
valafar	الآفار
vakhsha	أخصها
uthmani	ثمانِ
utakata	تاكاتا
úrusula	رُسُلًا
unashta	ناشطا
umansky	مانسكي
udayana	دايانا
ubaydah	بايضاح
twynham	وينهام
turbato	تُربَط
tsratha	تراثًا
tsfanya	صفانية
tishtar	إشتار
tharman	هارمان
thalwyl	هالويل
thalman	هالمان
thabana	هابانا
tashman	أسهماً
tarbaby	أربابي
taranda	اراندا
tarakan	أراكان
tarabal	أرابال
tanusha	أنُشأ
tanthar	أنتحار
tantara	أنتارا
tangara	تانارا
tamblyn	أمبلين
tambark	امبارك
tambaba	امبابة
tamanda	أماندا
talyfan	أليفاً
talnakh	الناخ
talmhan	المهان
talmash	الماسح
talmark	المارك
tallard	اللأرض
talghat	الغات
talawah	الأواه
talanam	الأنام
talalay	الآلاي
tabaran	أباران
szulman	ظُلماً
switala	وإطالة
swatara	واتارا
strathy	تراثي
stranks	ترانكس
straban	تراباً
starsky	تارسكي
stakman	تاكمان
sraghna	راغنا
smartha	مارثا
slimani	لِمَنِ
slayman	لايمان
slayana	لايانا
slansky	لانسكي
skyland	كيلاند
skaryna	كآرينا
sinkara	إنكارا
shrayer	حرائر
shiran	شیروان
sharman	هارمان
sharama	حَرَّمَ
sharada	هارادا
sharaba	هارابا
shantha	هانثا
shamlan	حاملان
shalman	هالمان
shakyan	حاكياً
shakman	حاكماً
shadyan	هادياً
shabana	هابانا
sawalha	أوَّلها
sathya	ساتشيا
sathmar	اثمار
saswata	اصواتا
sastha	سياستها
sasmaka	أسماكًا
sarwada	ساوادا
sarmany	أرماني
sarmada	أرمادا
sardant	اردانت
sarawak	أراواك
saranda	اراندا
sarakan	أراكان
saradha	ارادها
santhal	انتحال
santara	أنتارا
sanshan	أنشان
sanjana	أنجانا
sandras	أندراس
sandrad	أندراد
sandmat	انضمَّت
sanatha	اناثا
samiran	امیران
sambala	أمبالا
samarth	أمارته
samalan	آمالاً
salzman	الزّمان
saltram	الترام
saltman	التمان
saltash	الطاش
saltany	التاني
saltans	التأنس
salmawy	المآوي
salmana	المانى
sallama	اللاما
salkhad	الخاض
salhany	الحاني
saldana	الدانا
salazar	الأزار
salamna	الامنى
salamin	الأمین
salaman	الآمان
salakan	الأكان
sakarya	أكاريا
sadarat	ادارات
sadanha	أدانها
saamana	آَمَنَ
rishaba	إشابة
rinland	إنلاند
rayland	ايلاند
rathman	اثمان
rastadt	اصطادت
rashman	أسهماً
rashkan	أشكان
ranjani	رانجان
ranjana	أنجانا
ramsayi	رامساي
rajmala	اجمالى
qinshan	إنشاً
qantara	أنتارا
psystar	سيستار
psalmyn	سالمين
plansky	لانسكي
pashhur	أشهُر
parwana	أروانا
parkman	أركمان
parkany	أرکاني
palstra	السترة
palsmar	الصمار
palsars	السارس
palmway	المواي
palmrya	ألمرية
palghat	الغات
palghar	ألغار
palatyn	الآتين
palasta	الأسطا
palanas	الاناس
palamar	الأمار
paladar	ألادار
palabay	ألاباي
padarth	ادارته
ottawan	تطاوان
othmany	ثماني
othmani	ثمانِ
otatara	تاتارا
otakara	تاكارا
östrand	ستراند
ostrand	ستراند
omarama	ماراما
olasana	لاسانا
olansky	لانسكي
olamina	لَمِنَ
okayama	كاياما
ọbatala	باتالا
obatala	باتالا
nymylan	يميلان
nkwanta	كوانتا
nighman	إغمان
nayland	ايلاند
natalya	أطاليا
nasmyth	أسميته
nashyan	أشيان
narwana	أروانا
narsala	ارسالة
narmada	أرمادا
nararat	أراراط
naranda	اراندا
nanshan	أنشان
namtara	أمطارًا
namghar	أمغار
nalanda	الأندى
nakhwan	اخوان
myazawa	يازاوا
muntjak	مُنتجة
mthatha	ذاتها
mlimani	لِمَنِ
mishrak	إشراك
mishaqa	إسحاقة
minshan	إنشاً
midrakh	إدراكه
midgham	إدغام
mbaraka	باراكا
maymana	ايمانا
mayland	ايلاند
matlala	أطلالة
mathari	آثارِ
mathara	آثارا
mastani	استانی
maslama	اسلامى
mashaba	أصحابة
masalha	أسألها
marwaha	أرواحًا
martyre	مارتير
marthan	أرثاً
marshak	ارشاك
marshad	أرشاد
marland	أرلاند
markman	أركمان
mariana	مارانا
marhaba	ارهابا
maranda	اراندا
maradta	أرادتا
mantyka	أنتيكا
mansana	انسانة
mangham	انغام
mandras	أندراس
manbasa	أنباسة
manasha	أناسها
mamalik	مَالِك
mamalan	آمالاً
malwana	الوانا
maltman	التمان
malthas	التحاس
malsham	الشّام
mallary	اللاري
mallala	اللالا
mallaha	اللَّهَ
malkhas	الخاص
malkata	الكاتا
malkara	الكـارة
malinka	الإنكا
malikat	مالكات
malhata	الحاطة
malhana	الحانة
malgham	الغام
maldras	الدراس
malbank	البانك
malatya	الاتية
malatha	الاذى
malarky	الأركي
malanda	الأندى
malakal	الأكال
malahat	الآهات
maladar	ألادار
malabry	الأبري
makhtar	اخطار
makhaya	آخايا
majabat	اجابات
mahwash	احواش
madrash	أضراسه
madarsa	ادارسة
madalyn	أدالين
madalya	أضاليا
llamara	لأمارة
lithman	إثماً
linthal	إنتحال
linkara	إنكارا
linhart	إنهارت
libyana	إبيانة
layland	ايلاند
lathmar	اثمار
lathian	لآذان
lashara	اشارة
larkana	أركانا
laranda	اراندا
lanshan	أنشان
lansana	انسانة
langham	انغام
landrys	آندريس
lamanda	أماندا
lallafa	اللافة
lalkaka	الكاكا
lalbagh	الباغ
lakland	أكلاند
ladrada	أدرادا
kyrkan	كيركمان
kwasman	واسماً
kshyama	شياما
krymsky	ريمسكي
knanaya	نانايا
klayman	لايمان
klallam	كلالام
kimbark	إمبارك
khlakha	هلاكها
khayman	هايمان
khatmat	هاتمات
khasala	حَصَلَ
khandan	هاندان
khalid	خَالِد
khaldan	هالدان
khaghan	هاغان
khaghan	هاغان
kayatha	آياتها
kayaran	كياران
kawkawa	أوكاوا
kathryn	أثرين
kathman	اثمان
kathari	آثارِ
kathara	آثارا
kashtha	اشتهى
kartano	كارتان
kartala	أرتالا
karmany	أرماني
karmada	أرمادا
karkata	أركاتا
karakan	أراكان
kanyana	أنيانا
kanthal	انتحال
kantara	أنتارا
kandyan	انديان
kandhar	اندحار
kamrath	امرأته
kambala	أمبالا
kalynda	أليندى
kalmand	ألماند
kalkman	الكمان
kalkhas	الخاص
kalkara	الكـارة
kalisky	الإسكي
kalinka	الإنكا
kalilah	الإلاه
kalhara	الحارة
kalhana	الحانة
kalatha	الاذى
kalakan	الأكان
kalabha	الابهة
kalabaw	ألاباو
kabiana	كابانا
jinshan	إنشاً
jimbala	إمبالا
jawzjan	اوزجان
jawshan	أوشان
jawhara	اوهارا
jathran	أثران
jathara	آثارا
janghwa	أنغوا
jandyra	أنديرة
janatha	اناثا
jamtara	أمطارًا
jamarat	أمارات
iyasada	ياسادة
itzamna	تزامنا
ithamar	ثامار
iswaran	سواراً
istrana	سترانا
ishrath	سهراته
ishrana	سهرانة
ishhara	شهارة
ishbara	شبارة
isfahan	سفاحاً
isayama	ساياما
isawiya	سَوِيًّا
isandra	ساندرا
infana	إنفانتا
imahama	ماهاما
iftitah	إفتتاح
ibraham	براهام
hyndman	يندمان
hyakuni	يَكُنِ
hramada	رامادا
hrabar	غرابار
highman	إغمان
haywald	ايوالد
hawksly	اوكسلي
hataman	أتامان
haskard	أسكارد
hashman	أسهماً
haryana	آريانا
harshad	أرشاد
harmand	أرماند
harmada	أرمادا
harlani	هارلان
harland	أرلاند
haraldi	هارالد
harakan	أراكان
hanshan	أنشان
hanhart	انهارت
hananya	أنانيا
hamara	غامارا
halstad	الستاد
halsman	السمان
halsard	السارد
halnaby	النابي
hallila	اللیلة
hallard	اللأرض
halfdan	الفدان
halfaya	الفاية
halbuna	البُنى
halayla	الأيلى
halaula	الأُلى
halafta	الافتا
haghani	أغانِ
habshan	أبشان
ḥabasha	أباشا
gwythyr	ويثير
gramdan	رامدان
glyfada	ليفادا
glazman	لازماً
glandwr	لاندور
ghatfan	هاتفاً
gharyan	هاريان
ghanada	هَنَّدَ
gayland	ايلاند
gawhara	اوهارا
garthan	أرثاً
garmany	أرماني
ganshan	أنشان
ganhara	انهارا
ganghwa	أنغوا
gandhar	اندحار
gananda	أناندا
gambala	أمبالا
gallard	اللأرض
galinka	الإنكا
galdana	الدانا
galatyn	الآتين
galarza	الأرزة
galardi	الأرضِ
galanda	الأندى
galahad	الآحاد
gadarat	ادارات
frydman	ريدمان
frayman	رايمان
fraksha	راكشا
flandry	لأندري
flamina	لَمِنَ
finaghy	إناغي
farshad	أرشاد
farsala	ارسالة
farland	أرلاند
faranda	اراندا
faralya	اراليا
famata	فَمَاتَ
falstad	الستاد
fallyna	الليّنة
fallata	اللاتى
falbala	البالة
falanka	الأنكا
eswaran	سواراً
estanys	ستانيس
estafan	ستافان
esfahan	سفاحاً
emathla	ماثلة
ellaman	للأمان
elisala	لإسالة
elbasan	لباساً
elathan	لآذان
elaraby	لارابي
ejanyan	جانياً
einhart	إنهارت
earland	أرلاند
ealadha	الأضحى
eadward	ادوارد
dirgham	إرغام
dinsana	إنسانى
dharama	حَرَّمَ
dhanada	هَنَّدَ
dataman	أتامان
darshak	ارشاك
darland	أرلاند
darkman	أركمان
dambala	أمبالا
dalwhat	الوحات
dalmata	المآتة
dalmada	المادة
dalkurd	الكُرد
dalilah	الإلاه
dalhana	الحانة
dalazar	الأزار
dalanda	الأندى
dalanas	الاناس
dalamar	الأمار
dalaman	الآمان
dalalat	الالآت
clayman	لايمان
cimbala	إمبالا
chasman	حاسماً
charysh	هاريش
charman	هارمان
chantha	هانثا
chandan	هاندان
chaland	هالاند
chalaka	هَلَكَ
cathryn	أثرين
cathaya	أثاية
cathari	آثارِ
castara	آستارا
castana	أستانا
cashtal	أشتال
cashman	أسهماً
carmany	أرماني
carland	أرلاند
carakan	أراكان
cantara	أنتارا
canatha	اناثا
calynda	أليندى
calmady	المادي
callawy	اللاوي
callary	اللاري
callard	اللأرض
callamy	اللامي
calindy	الإندي
calibra	الإبرة
caldara	الضّارة
calawah	الأواه
calavar	الآڤار
calanda	الأندى
calamar	الأمار
calafat	الآفات
calabra	الأبرة
calabay	ألاباي
brykman	ريكمان
brayman	رايمان
brandti	براندت
brandon	براندن
brandal	راندال
bradama	راداما
blansky	لانسكي
biyaban	إياباً
bishara	إشارا
bisayas	إساياس
bisayah	إساياه
birgham	إرغام
bhashya	حاشيةٌ
bharara	حَرارة
bhandan	هاندان
bhamala	حَمَلَ
bhaktha	هاكذا
bhagwan	بهاوان
bayswan	بأسوان
bawshar	أوشار
batsam	باقتسام
bathyra	أثيرة
bathari	آثارِ
bashaba	أصحابة
barthal	ارتحال
barland	أرلاند
barkman	أركمان
barghar	أرغار
bardhan	أردهان
barbaro	باربار
barbare	باربار
baranya	أرانيا
baranda	اراندا
banyana	أنيانا
banjara	أنجارا
banhart	انهارت
bangham	انغام
balyans	أليانس
baltard	الطارد
baltans	التأنس
balsham	الشّام
balsara	السارة
balsamo	بالسام
balrama	الرامة
balmbra	المبرة
balmaha	الماحى
ballila	اللیلة
ballard	اللأرض
ballamy	اللامي
ballala	اللالا
balkman	الكمان
balkhan	الكهان
balijas	الإجاص
balfanz	الفانز
baldaya	الداية
balbina	البِنى
balbard	البارد
balazar	الأزار
balaska	الأسكا
balardi	الأرضِ
balakan	الأكان
baladah	الأداه
bakhtar	اخطار
baghras	أغراس
baghani	أغانِ
badkhal	أدخال
babakan	أباكان
azahara	زاهارا
ayasaka	ياساكا
awratha	وراثة
awardan	وأرضاً
attawan	تطاوان
athalya	طحالية
atalaya	تالايا
ataklan	تآكلاً
aswaran	سواراً
åstrand	ستراند
astrand	ستراند
astrada	سترادا
asimina	سیمینة
ashurah	شُرّاح
ashtara	شطارة
ashkhar	اشهار
ashghal	شغال
asharak	شارَك
ashamat	شاماتٌ
asayama	ساياما
asamiya	سَمِيًّا
ásaland	صالاند
asaland	صالاند
aryadan	رياضاً
arambys	رامبيس
arabiya	رَبِّيَ
arabika	رَّبِّكَ
anynana	نينانا
antalya	نتاليا
andalan	نضالاً
anandyn	ناندين
amsbary	مسباري
amandla	ماندلا
alzamon	الزَّمن
al-wala	الوالى
althara	لطهارة
al-tayr	الطاير
al-qasr	القاصر
al-qarn	القَرْن
al-qama	القامة
al-nahw	النَّحو
al-nafs	النَفس
al-masa	الماصة
almanya	لمانيا
allardi	الأرضِ
allaman	للأمان
al-hind	الهِند
alhawl	الحلاول
alhakam	الاكام
al-darj	الدارج
alasdar	لأصدار
al-aqsa	الأقصى
alamans	لامانس
alamana	لأمانة
al-ahad	الآحاد
alagar	الأغار
akmyrat	كميرات
akhyana	خيانة
akhada	الخاضة
akashat	كاسحات
adrasta	دراستة
adorada	أدرادا
adamany	داماني
adalara	دالارا
abrahma	براهمة
abraham	براهام
abarsal	بأرسال
abafana	بافانا
aakhiri	آخِرِ
arthashastra	أرثاشاسترا
ʾakbar	اكبار
ztrans	ترانس
zrada	زرالدة
zonata	زناتة
znamya	نامية
zmanda	ماندى
zlatar	لاطار
zlatan	لاتان
zisman	إسمان
zirara	إرارة
zintan	إنتان
zinman	إنمان
zimrah	إمرأه
zimara	إمارة
zilahy	إلاهي
zhatay	هاتاي
zhalta	حالتة
zbirka	بِركة
zaysan	ايسان
zaynal	أينال
zaydan	أيضاً‏
zawila	أوإلى
zawada	أوادا
zatyka	آتيكا
zatara	اطارا
zardan	اردان
zarbah	ارباح
zarama	أراما
zarafa	آرافا
zanyar	أنيار
zanjan	أنجان
zandra	أندرا
zanata	أناتا
zanana	أنَّنا
zamrah	أمرأه
zamata	أماتا
zaman	نظامان
zamama	أمامَ
zaltas	الطاس
zalmay	المَي
zalman	ألمان
zalata	الَّتى
zakhir	آخِر
zakhar	أخَّر
zakary	أكاري
zaitha	اِذا
zaidan	أیضاً
zafran	افران
zadran	أدران
zadara	ادارة
zabyan	أبيان
zabran	أبران
zablan	أبلان
žabkar	ابكار
zabdas	أبداس
zabaykalsky	زابايكالسكي
zabadi	آبادی
zababa	ابابا
yllana	للأنا
ylanan	لانان
yizhar	إزهار
ybrant	برانت
yawana	أوانا
yathar	اثار
yatala	أتالا
yashar	أصهار
yasawa	أساؤا
yartha	أرثا
yarsan	أرسان
yarman	ارمان
yarkas	أركاس
yardna	أردنا
yarada	أراضى
yanza	نيانزا
yanyan	آنياً
yanmar	انمار
yandyr	أندير
yandry	اندري
yandra	أندرا
yanaka	أناكا
yanada	أنادا
yamaya	امايا
yamat	تيامات
yamata	أماتا
yamash	أماش
yamara	أمارة
yamana	امانا
yamama	أمامَ
yamada	أمادا
yaltah	التاه
yalman	ألمان
yalata	الَّتى
yalaha	ألاها
yajnya	أجنية
yahmad	احماد
yahata	احاطة
yaghma	اغمى
yaghan	أغانٍ
yafran	افران
yadana	أدانا
xintan	إنتان
xayata	اياتا
xantha	انتحى
xandra	أندرا
xanana	أنَّنا
xaldin	الدین
xalbal	البال
wybark	يبارك
witham	إتهام
wisman	إسمان
winman	إنمان
winata	إناطة
wilmar	إلمار
wilman	إلمان
widman	إدمان
widawa	إداوة
wharam	حَرَم
whalan	حالاً
wayman	أيمان
wayans	ايانس
wayana	أيانا
waubay	أُبَيّ
watkyn	أتكين
wathar	اثار
watara	اطارا
wassan	أسساً
washta	أشتا
washam	اسهام
wasana	أسانا
wasala	أصالةً
waryas	أرياس
warsan	أرسان
warndt	أرندت
warman	ارمان
warham	أرحام
wardyn	اردين
wardak	ارداك
warbah	ارباح
warays	أرايس
warakh	أرَّخ
waraka	اراكة
wanyan	آنياً
wantha	انتحى
wansan	انسان
wankar	أنكار
wanhal	انهال
wandre	واندر
wanati	وأنتِ
wanata	أناتا
wanaka	أناكا
wamala	آمالا
walzak	الزاك
walwyn	الوين
walsum	السُم
walska	ألسكا
walsin	السِّنّ
walshs	الشص
walsby	الصبي
walras	الرّأس
walram	الرام
wallan	اللان
wallam	اللام
wallal	اللآل
walham	الهام
walata	الَّتى
walaru	والآر
walaqa	الآقا
waksal	اكسال
wakrah	اكراه
wakhan	أخاً
wakaya	أكايا
wahram	أحرام
wahdah	اهداه
wadman	ادمان
wadkar	آدكار
wadhwa	أضحوا
wadala	أدالا
wabana	أبانا
vrbata	رباطًا
vranja	رانجا
vlasta	لَسْتَ
vladan	لادان
vizard	إزارد
viyana	إيانا
vithar	إثار
vitara	إطارًا
vitala	إطالة
visman	إسمان
viskan	إسكان
vishal	إسهال
visala	إسالة
virani	ایرانی
vintry	إنتري
vindry	إندري
vinata	إناطة
vimata	إماتة
vimara	إمارة
vimala	إمالة
vilmar	إلمار
viljam	إلجام
vikram	إكرام
vikman	إكمان
vidmar	إضمار
vibram	إبرام
vayama	ايامة
vatard	أتارد
vataha	أتاحة
vastra	أسترة
vastar	أستار
vassan	أسساً
vaskan	اسكان
vashya	آشيا
vashta	أشتا
vasama	أسامة
vasala	أصالةً
vartan	ارتان
vardha	أردها
vardan	اردان
vardal	اردال
varady	ارادي
varadi	أراضِ
vanyas	انياس
vanyar	أنيار
vankar	أنكار
vanhal	انهال
vandam	انضام
vanaya	أنايا
vanand	اناند
valtra	ألترا
valtin	التین
valtat	التات
valsin	السِّنّ
valsan	ألسان
valsah	الساح
valsad	الصاد
valmur	المُر
valmar	المار
vallat	اللات
vallam	اللام
vallah	اللّٰه
valjak	الجاك
valisk	الإسك
valdra	الدرأ
valday	الداي
valdar	الضار
vakyas	اكياس
vajram	اجرام
vahram	أحرام
vahdat	أحدات
vadhya	أضحية
vadama	ادامة
vadala	أدالا
vaaraa	أَرَى
utsman	تسمان
utsawa	تساوى
uthra	عُذرًا
uthman	طهمان
uthani	ثانِ
uthama	ثَمَّ
utayba	تايبا
ustad	تُصطاد
ushari	شَرِّ
ushant	شانت
usabha	سابحة
urzana	رزانة
urwand	رواند
urshan	رشان
urmana	رمانا
urjala	رجالًا
urbani	ربانی
urbaba	ربابة
uranya	رانية
uradyn	راضين
unshin	نشین
ungara	نگارا
undara	نضارة
umtata	مطاطة
ulyana	ليانا
ulthar	لثأر
uljana	لجانا
uliana	لِأنَّ
ulanhu	لأنهُ
ukamba	كامبا
uintah	إنتاح
uhlman	حلماً
udayan	دايان
udasan	داسان
ubila	قُبِلَ
ubayda	بأيدى
ubadya	باديا
tystad	يصطاد
tylman	يلمان
tyatya	يأتيا
tyalla	ياللى
twyman	ويمان
twilly	وإللي
twatwa	وأتوا
twardy	واردي
twanna	وأننا
tuzhi	تُظهِر
tsyang	سيانگ
tsinan	سِنّاً
tsalka	سالكًا
tsahar	سَحَر
tsadra	صادرًا
trysta	ريستا
tryfan	ريفان
trybal	ريبال
trwyth	رويث
trashi	رأسهِ
trampa	طرامة
trajan	راجان
trahan	راهان
toranj	ترانج
tobana	طبانة
tlalam	لالام
tizard	إزارد
tishby	إشبي
tishah	إصحاح
tirkan	إركان
tintah	إنتاح
tilman	إلمان
tidman	إدمان
thyaka	حياكة
thuras	حُراس
thuban	حُباً
thayet	حائط
thayer	حائر
thayan	هايان
thawra	هاورا
thanda	هاندا
thamby	هامبي
thamar	هامار
thaman	هامّاً
thamal	حَمَل
thalys	هاليس
thalna	حالنا
thalia	حالیا
tchuan	چان
taytay	ايتاي
tayran	ايران
taynal	أينال
tayama	ايامة
tawkar	اوكار
tawila	أوإلى
tawara	أوارة
tawana	أوانا
tawada	أوادا
tatrys	أتريس
tathya	اذية
tathra	أثرة
tatham	أتهام
tatary	أتاري
tatamy	أتامي
tataka	آتاكا
tasman	اسمان
tasaka	أساكا
tarzan	أرزان
taryba	اريبا
taryam	اريام
tarsha	آرشى
tarsah	أرساه
tarman	ارمان
tarjan	ارجان
taridi	تَرِد
tarhan	ارهان
tardan	اردان
tarbat	أربات
tarban	اربان
tarata	أراتا
tarama	أراما
taraki	أراكِ
taraka	اراكة
tanzan	أنزان
tanzam	أنظام
tanyas	انياس
tantan	انتان
tantal	انتال
tansar	أنصار
tankar	أنكار
tanjay	انجاي
tandyn	أندين
tandya	أندية
tanara	اٍنارة
tanana	أنَّنا
tanala	أنالا
tanakh	أناخ
tanaka	أناكا
tanahu	أنَهُ
tamyra	أميرة
tamlyn	املين
tamdya	أمضيا
tamaya	امايا
tamara	أمارة
tamana	امانا
talysh	أليش
talwyn	الوين
taltsy	التسي
taltal	التال
talsma	الصمة
talqan	القان
talmay	المَي
tallil	اللیل
tallha	اللهَ
talhuq	الحُق
talhah	الحاح
talfan	ألفاً
talfah	الفاه
talaus	الأُس
talath	آلاته
talarn	الارن
talara	الارا
talana	الآنَ
talamh	ألامه
talama	الأمّة
talala	الآلى
taksal	اكسال
takhta	آختى
takhar	أخَّر
takaya	أكايا
tajhat	اجهات
taisha	طاشا
tahsas	أحساس
tahala	أهالى
taghma	اغمى
tadman	ادمان
tadara	ادارة
tabrar	ابرار
tabgha	ابغى
tabart	أبارت
tabara	آبارا
tabada	آبادة
szalay	زالاي
sytsma	يتسمى
systém	سيستم
synthi	ينتهِ
switha	وإذا
swinny	وإنني
swilly	وإللي
swayam	وايام
swatar	وأطار
swardt	وأردت
swarby	واربي
swanti	وأنتِ
swanny	وانني
swally	واللي
swalla	واللا
swadha	واضحًا
stwlan	طولان
strynt	ترينت
strnad	طرناد
strama	طرامة
strakh	تراخ
strahm	تراحم
sthal	ستحاول
sthala	ثالة
stasys	تأسيس
staryk	تاريك
starye	طارئ
starky	تاركي
starke	ستارك
stanky	تانكي
stakhr	تأخر
sratha	رأتها
snyman	نيمان
slyman	ليمان
sliman	لِمَنْ
slatan	لاتان
slaman	لأمان
skyray	كيراي
skyman	كيمان
skylar	كيلار
skydan	كيدان
skulan	كُلاً
skrant	كرانت
skirth	كإرث
skanda	كاندا
skadar	كادار
skaana	كَانا
siyala	إيالة
siyaha	إيّاها
sitrah	إطراح
sitjar	إتجار
sithar	إثار
sitara	إطارًا
sitala	إطالة
sisman	إسمان
sisala	إسالة
sirwan	إروان
sirani	ایرانی
