zita	زیتا
anania	آنانیا
amrah	امراه
amlak	املاک
amhara	امهارا
allahi	اللَّهِ
alin	الین
alik	آلیک
albina	آلبینا
aisha	آیشا
ahlam	احلام
ahkam	أحکام
agilis	آگیلیس
agan	اگان
afran	افران
adia	آدیا
adan	ادان
abda	ابدا
abbala	آب‌بالا
aard	اَرد
xiangjiang	یانگژیانگ
warlingham	آرلینگهام
upritchard	پریچارد
sankaranti	سانکرانتی
ramprakash	امپراکاش
mirabillis	میرابیلیس
liangjiang	یانگژیانگ
khalilabad	خلیل‌آباد
darwinisme	داروینیسم
adamantina	ادمانتینا
abramowitz	آبرامویتز
wladislaw	لادیسلاو
warminski	آرمینسکی
spinglish	پینگلیش
sakishima	آکیشیما
pritchard	ریچارد
nishikawa	ایشیکاوا
nishihara	ایشیهارا
nasirabad	اسیرآباد
nakanishi	آکانیشی
miranshah	ایرانشاه
militarii	میلیتاری
masharati	اشاراتی
marittima	ماریتیما
marianism	آریانیسم
kiangning	یانگنینگ
kawashima	آواشیما
kawakamii	کاواکامی
kapitana	کاپیتان‌ها
jiangning	یانگنینگ
islamabad	سلام‌آباد
iskandari	سکانداری
hishikawa	ایشیکاوا
gatlantis	آتلانتیس
fishikawa	ایشیکاوا
fandriana	آندریانا
ekatarina	کاتارینا
drainland	راینلاند
dalmatica	دالماتیا
basilaris	باسیلاری
bakhtiari	اختیاری
australia	استرالیا
antingham	نتینگهام
al-tawila	التاویلا
al-buldan	البُلدان
al-aqalim	الاقالیم
al-akhbar	الأخبار
zigzagia	زیگزاگی
zhaishan	های‌شان
zabadani	ابادانی
yinglish	اینگلیش
yildirim	ایلدیریم
yazirian	آزیریان
yalagala	الاگالا
whartman	هارتمان
warnfrid	ارنفرید
vinglish	اینگلیش
varmanas	ارماناس
valianti	آلیانتی
vaishakh	آیشاخ
ubaldini	بالدینی
tinglish	اینگلیش
tiantian	یانتیان
thapari	چاپاری
tanglish	انگلیش
talamini	الامینی
takitani	آکیتانی
takikawa	آکیکاوا
takasaki	آکاساکی
striplin	تریپلین
stranski	ترانسکی
stanglin	تانگلین
spalatin	پالاتین
spaiping	پایپینگ
skanawan	کاناوان
sharland	هارلاند
shariman	هاریمان
sharapan	هاراپان
sharabha	شراب‌ها
shainman	هاینمان
sawatari	آواتاری
sasakawa	آساکاوا
sasahara	آساهارا
sarantis	آرانتیس
sarakawa	آراکاوا
santanas	آنتاناس
santanae	سانتانا
salmabad	الم‌آباد
ramsland	امسلاند
qashqai	قاشق‌های
plitmann	لیتمانن
platania	لاتانیا
plantara	پلانتار
pastinha	آستینها
pariaman	آریامان
palatchi	ال‌اچ‌ای
otaishan	تایشان
osidarta	سیدارتا
oshitani	شیطانی
oshinski	شینسکی
ōmishima	میشیما
ohigashi	هیگاشی
nazarian	آزاریان
milimani	ایلیمانی
mazirian	آزیریان
mawatari	آواتاری
mashbash	آش‌باش
mashaghi	آشاغی
martima	ماریتیما
marstrap	آرستراپ
marakana	آراکانا
manakara	اناکارا
maanshan	اَنشان
liinamaa	إِنَّمَا
laskaris	آسکاریس
laskarid	آسکارید
lashkari	اشکاری
langland	انگلاند
lamberti	لامبرتی
labangan	آبانگان
kwariani	واریانی
kristall	کریستال
kiplingi	کیپلینگ
kinglish	اینگلیش
kilimani	ایلیمانی
kazarian	آزاریان
kastrati	استراتی
kashkari	اشکاری
kasahara	آساهارا
karzakan	آرزاکان
kantaria	آنتاریا
kankaria	آنکاریا
kanglish	انگلیش
kanchil	کانچیل
kamanita	آمانیتا
kalakala	الاکالا
kaiwara	کاپیوارا
jinjian	جینجیانگ
jhalawar	هالاوار
jhaishan	های‌شان
janglish	انگلیش
istriani	ستریانی
ispahani	سپاهانی
iskandar	سکان‌دار
ishikari	شیکاری
ingarani	نگارانی
ikalahan	کالاهان
ibrahimi	براهیمی
hsinking	سینکینگ
hirpinia	ایرپینیا
hiranand	ایران‌اند
hinglish	اینگلیش
hawraman	اورامان
harantis	آرانتیس
hangland	انگلاند
hamirani	امیرانی
hamilkar	آمیلکار
hailsham	آیلشام
hadriani	ادریانی
hadriana	آدریانا
graziani	رازیانی
gratianæ	گراتیان
grandham	رانده‌ام
gnatasha	ناتاشا
gilberti	گیلبرتی
finglish	اینگلیش
fastrand	استراند
fastrada	استرادا
falastin	الاستین
eskandar	سکان‌دار
eminabad	میناباد
elbasani	لباسانی
ebrahimi	براهیمی
easwaran	اسواران
eadwardi	ادواردی
djakarta	جاکارتا
dharmata	هارماتا
darwnian	آرونیان
darwinii	داروینی
daghlian	آغلیان
challand	هاللاند
calimani	الیمانی
calabria	آلابریا
brigadas	ریگاداس
brandman	راندمان
brandham	رانده‌ام
blindman	لیندمان
bartizan	آرتیزان
barhatch	ارهاچ
baranski	ارانسکی
bandida	باندیداس
bakhtyar	اختيار
bakhtiar	اختیار
bakhtari	اخطاری
baishakh	آیشاخ
badshah	بادشاهی
babraham	ابراهام
astriata	استراتا
ashliman	شلیمان
ashirbad	شیرباد
armandii	آرمانیِ
aranthai	رانت‌های
ansambel	انسامبل
andamani	ندامانی
amirabad	میرآباد
amandala	ماندالا
al-walad	الوالاد
al-thani	الثانی
al-shifa	الصحیفة
allaqat	العلاقات
alemania	آلمانیا
aldabrae	آلدابرا
alcanzar	الانظار
al-athar	الاطهار
alaskana	الاسکان
al-ansab	الأنساب
al-amsar	الامصار
alakshmi	لاکشمی
alaikum	عَلَیْکُمْ
al-absar	الابصار
aghartha	غارتها
adamiani	دامیانی
adalstan	دالستان
abstrait	استرایت
zlatina	لاتینا
zhitian	هیتیان
zhaling	هالینگ
zhakata	هاکاتا
zebrina	زبرینا
zaraias	آرایاس
zanjani	انجانی
zangara	آنگارا
zandian	آندیان
zakhara	آخَرَ
zakaria	آکاریا
zabdani	آبدانی
yitzhaq	یتزحاق
yitshak	ایتسهاک
yashida	آشیدا
yarling	ارلینگ
yarlang	ارلانگ
yanshin	انشین
yanshan	آنشان
yangbin	انگبین
yandina	آندینا
yandian	آندیان
yalanji	الانجی
xindian	ایندیان
xiandai	ای‌اندای
xandria	آندریا
xananas	آناناس
winstar	اینستار
win.rar	وین‌رار
wingham	اینگهام
whigham	هیگهام
whatcha	هاچا
watling	اتلینگ
wasatch	اس‌اچ
warneri	وارنری
warland	ارلاند
warkari	آرکاری
warisan	آریسان
warinis	آرینیس
wardman	اردمان
wanshan	آنشان
wangari	انگاری
wangara	آنگارا
walwari	الواری
waltrip	التریپ
waltham	آلتهام
waltari	التاری
waltair	آلتایر
walsman	السمان
walsham	الشام
walfrid	الفرید
waldrin	آلدرین
waldman	الضمان
waldini	الدینی
waldham	الدهام
waksman	آکسمان
wakatsi	اکاتسی
waititi	آی‌تی‌تی
waisaka	آیساکا
waikawa	آیکاوا
wahlman	اهلمان
wagrain	اگراین
wagneri	واگنری
wadland	ادلاند
wabasha	آباشا
vrashka	راشکا
vishala	ایشالا
vastral	آسترال
vastara	آستارا
vasanth	آسانته
vartika	آرتیکا
varsham	آرشام
varisti	آریستی
variana	اریانا
vardhan	اردهان
varakin	اراکین
varadhi	اراده‌ای
vantara	آنتارا
vandian	آندیان
vandali	اندالی
valtari	التاری
valiani	آلیانی
valfrid	الفرید
valdris	الدریس
valdrin	آلدرین
valdman	الضمان
valania	الانیا
valamir	الأمیر
uwimana	ویمانا
uwajima	واجیما
utagawa	تاگاوا
úrusula	رُسُلًا
upanama	پاناما
ungarin	نگارین
ungaran	نگاران
unashta	ناشتا
umilani	میلانی
umanath	ماناته
ujigawa	جیگاوا
ubaldis	بال‌دیس
tzanata	زاناتا
tsipras	سیپراس
tshimpi	شیمپی
tshanda	شاندا
trumani	رُمانی
trabitz	رابیتز
titalia	ایتالیا
tishtar	ایشتار
tirania	ایرانیا
tinkari	اینکاری
tiantai	یانتای
tianjin	یان‌جین
thatawi	هاتاوی
tharman	هارمان
thalman	حالمان
thaili	چایلی
thagard	هاگارد
thabana	هابانا
tatlian	آتلیان
tatfrid	اتفرید
tatanga	اتانگا
tashrih	تشریح
tashman	اشمان
tashlin	اشلین
tashian	اشیان
tarling	ارلینگ
tarjani	ارجانی
tarichi	تاریحی
tariang	آریانگ
tariana	اریانا
taranta	آرانتا
tarandi	تاراند
taranda	آراندا
tarakan	آراکان
tarabal	آرابال
tapling	اپلینگ
taparan	آپاران
tanzman	آن‌زمان
tantrik	انتریک
tanthar	انذار
tantara	آنتارا
tankara	آنکارا
tangari	انگاری
tangara	آنگارا
tangara	آنگارا
tamiami	ام‌ای‌ام‌ای
tamarii	آماریِ
tamanda	آماندا
tamaiti	ام‌آی‌تی
talwars	آلوارس
talmash	الماسه
talisia	آلیسیا
talhami	الهامی
talbani	البانی
talanam	الأنام
takashi	آکاشی
taishan	ﺍیشان
taijian	آی‌جی‌ان
taiamai	آی‌ام‌آی
tahiana	احیانا
taftani	افتانی
tabrizi	آبریزی
tablian	آبلیان
tabarka	آبارکا
tabaran	آباران
szilard	زیلارد
swithin	ویثین
swining	وینینگ
swatara	واتارا
swargas	وارگاس
swandal	واندال
strinka	ترینکا
strahan	طراحان
starski	تارسکی
stardis	تاردیس
spartak	پارتاک
sparsha	پارس‌ها
sparkia	پارکیا
spadman	پادمان
smiljan	میلجان
smashin	ماشین
smartin	مارتین
smartha	مارثا
slipman	لیپمان
slimani	لِمَنِ
slatina	لاتینا
slangir	لانگیر
skildar	کیلدار
skhirat	خیرات
skawina	کاوینا
skapara	کاپارا
skandia	کاندیا
sinista	اینیستا
singham	اینگهام
sindika	ایندیکا
sindian	ایندیان
siliana	ایلیانا
shuwang	شوآنگ
shiting	هیتینگ
shishan	هیشان
shirwan	هیروان
shirima	هیریما
shiraki	هیراکی
shiling	هیلینگ
shikhar	هیخار
shibhi	شیبهای
shibai	شیبانی
sharman	هارمان
shardin	هاردین
sharama	حَرَّمَ
sharada	هارادا
shanian	حانیان
shanhai	هان‌های
shangri	هانگری
shamlan	حاملان
shamian	حامیان
shalman	حالمان
shakman	حاکمان
shaiman	هایمان
shabana	هابانا
schlank	شلانک
scalata	سالاتا
sawatch	اواچ
sawarta	اوارتا
sathmar	اثمار
sastram	استرام
sastha	سیاستها
sasanid	اسانید
sarwada	ساوادا
sartika	آرتیکا
sarmada	آرمادا
sariang	آریانگ
sargand	ارگاند
sarawan	آراوان
sarawak	آراواک
saranta	آرانتا
saranda	آراندا
saranai	سارانی
sarakan	آراکان
santini	آنتینی
santing	انتینگ
santhal	انتحال
santara	آنتارا
sanshan	آنشان
sangiin	آنگیین
sangari	انگاری
sandrin	اندرین
sandras	آندرآس
sampati	امپاتی
sampath	آمپاته
samiran	امیران
šamiram	امیرام
sambala	امبالا
samarth	امارث
samarai	ام‌آرآی
samanar	امانار
samalas	ام‌ال‌اس
salzman	الزمان
saltair	آلتایر
salmana	آلمانى
salitis	الیتیس
salisha	آلیشا
saliman	الیمان
salians	الیانس
saldina	الدینا
saldana	الدانا
salazar	آلازار
salaria	الاریا
salamin	الأمین
salaman	الامان
saladin	آلادین
sakaria	آکاریا
saikawa	آیکاوا
saihara	آیهارا
sahlman	اهلمان
sagasta	آگاستا
sadighi	آدیغی
sadarat	ادارات‌
sabdhan	آب‌دهان
sabbagh	آب‌باغ
romilia	ομιλία
ringmar	اینگمار
ringham	اینگهام
ringens	رینگنس
rhalina	هالینا
rhagada	هاگادا
rempart	رمپارت
rastila	استیلا
raskina	اسکینا
rashman	اشمان
rashkan	اشکان
rashida	آشیدا
rasalas	اس‌ال‌اس
rartian	آرتیان
ranjani	انجانی
ranjani	انجانی
raniran	انیران
randisi	اندیسی
randian	آندیان
ramling	آملینگ
ramblin	امبلین
ramaria	آماریا
ralstin	آلستین
ralitsa	الیتسا
rakitin	اکیتین
rajmala	اجمالا
rajbari	اجباری
radiaki	ادیاکی
qazaria	آزاریا
qatrani	آترانی
qashish	آشیش
qantara	آنتارا
qadiani	ادیانی
println	رینتلن
primiti	ریمیتی
pridham	ریدهام
platini	لاتینی
plastik	لاستیک
pisatis	ایساتیس
pintcha	اینچا
pimpala	ایمپالا
pelamis	پلامیس
payeras	آئراس
patmian	اتمیان
patling	اتلینگ
patchin	اچین
pastini	آستینی
pasiani	آسیانی
pashali	اسهالی
parwana	آروانا
parshin	آرشین
parning	آرنینگ
parmita	آرمیتا
parling	ارلینگ
parkham	آرخام
parkari	آرکاری
parisii	پارسیِ
parians	آریانس
pariani	آریانی
paramar	آرامار
parakin	اراکین
papalis	آپالیس
papafis	آپافیس
panzani	آنزانی
panthay	انتهاي
pantani	انتانی
panshin	انشین
pandian	آندیان
panasas	ان‌اس‌اس
panania	آنانیا
pamilia	امیلیا
palmira	المیرا
palatia	الاتیا
palapat	آلاپات
palanan	آلانان
pagania	آگانیا
padrini	آدرینی
padgham	ادغام
otaking	تاکینگ
opalina	پالینا
omrania	مرانیا
ominami	می‌نامی
ōmikami	میکامی
omikami	میکامی
omarama	ماراما
olasana	لاسانا
olamina	لامینا
okarian	کاریان
okanari	کاناری
okajima	کاجیما
oishida	ایشیدا
ohanian	حانیان
ohanami	هانامی
oglinda	گلیندا
ogalala	گالالا
obarski	بارسکی
oakhart	اکهارت
oakbank	آکبانک
nsakala	ساکالا
nkwanta	کوانتا
nkandla	کاندلا
nishida	ایشیدا
ndizani	دیزانی
nazaria	آزاریا
nasrani	آسرانی
nasmith	اسمیث
nasatir	اساطیر
narwana	آروانا
narsinh	آرسینه
narmada	آرمادا
naristi	آریستی
nararat	آرارات
naranda	آراندا
narakis	آراکیس
napatan	آپاتان
nanshan	آنشان
nankana	انکانا
nandrin	اندرین
nandika	اندیکا
namwisi	ام‌وی‌سی
namling	آملینگ
namblin	امبلین
namasia	آماسیا
namadgi	آمادگی
naldini	الدینی
nalapat	آلاپات
nalanji	الانجی
nakrani	اکرانی
nakhwan	اخوان
naishan	ﺍیشان
naguila	ناگیلا
muralha	مرال‌ها
msasani	ساسانی
mlimani	لِمَنِ
mirando	میراند
minstar	اینستار
minimia	مینیما
milward	ایلوارد
miliana	ایلیانا
mbaraka	باراکا
mazhari	اظهاری
mazatan	آزاتان
mawtini	اوتینی
mathari	آثارِ
matfrid	اتفرید
matawai	اتاوای
matanga	اتانگا
mastras	استراس
mastini	آستینی
mastani	استانِ
maslama	اسلامى
maskara	اسکارا
mashikh	آشیخ
mashian	اشیان
martius	مارتیس
martika	آرتیکا
marstal	ارستال
marsnik	آرسنیک
marskin	ارسکین
marsham	آرشام
marshak	آرشاک
marshad	ارشاد
marling	ارلینگ
marland	ارلاند
markham	آرخام
marjani	ارجانی
mariti	مارینتی
marista	اریستا
marinha	آرین‌ها
marians	آریانس
mariani	آریانی
mariang	آریانگ
mariana	اریانا
marashi	آراشی
maranda	آراندا
maramis	ارامیس
mantani	انتانی
manjiri	انجیری
manjang	آنجانگ
manimal	انیمال
manga-i	مانگای
mandrin	اندرین
mandria	آندریا
mandras	آندرآس
mandika	اندیکا
mandazi	اندازی
manapat	آناپات
mamilia	امیلیا
mamanti	امانتی
mamalik	ممالیک
mamaldi	آمالدی
malwani	الوانی
malsham	الشام
mallaha	اللَّهَ
malkins	الکینس
malkhas	الخاص
malkani	آلکانی
mališan	مالیان
malikat	الیکات
malians	الیانس
maliani	آلیانی
maldini	الدینی
malbars	آلبارس
malatia	الاتیا
malasar	ال‌اس‌آر
malamir	الأمیر
malalai	الالای
makrani	اکرانی
makhtar	اختار
mainali	آینالی
maihara	آیهارا
mahlman	اهلمان
maganda	اگاندا
madrina	آدرینا
lstria	لیستریا
llanina	لانینا
lingvam	لینگام
lindarw	این‌دارو
liminha	ایمین‌ها
liliana	ایلیانا
laziali	لازیال
lazaria	آزاریا
lawigan	آویگان
latmian	اتمیان
latisha	آتیشا
lathmar	اثمار
latchaw	اچ‌او
lastras	استراس
lastiri	استیری
laskari	اسکارِ
lashari	اشاری
larkham	آرخام
lariang	آریانگ
laranda	آراندا
lanting	انتینگ
lansink	انسینک
lanshan	آنشان
langila	آنگِلا
langara	آنگارا
landrin	اندرین
lamghan	امغان
lamblin	امبلین
lambani	آمبانی
lamarsh	آمارش
lamanda	آماندا
lalwani	الوانی
lallage	αλλαγή
lalbagh	الباغ
lalania	الانیا
lakhani	آخانی
laishan	ﺍیشان
ladrada	آدرادا
kwasman	وآسمان
ksanian	سانیان
kristne	کریستن
krishan	ریشان
kraning	رانینگ
kotlina	کتلینا
kiwanis	یوآنیس
kiwanda	یواندا
kitashirakawa	کیتاشیراکاوا
kishida	ایشیدا
kirwani	ایروانی
kingham	اینگهام
khlakha	هلاخا
khirkan	هیرکان
khilari	هیلاری
kharazi	هارازی
khandan	هاندان
khampti	هامپتی
khamish	حامیش
khamani	هامانی
khaling	هالینگ
khalidi	هالی‌دی
khaghan	کاغان
kazania	آزانیا
kawkawa	اوکاوا
katlian	آتلیان
katisha	آتیشا
kathrin	آذرین
kathiri	اثیری
kathari	آثارِ
katchal	اچ‌ال
katanga	اتانگا
kaskari	اسکارِ
kashtin	اشتین
kashtha	اشتها
kashkar	اشکار
kashish	آشیش
karzai	کارزاری
kartika	آرتیکا
kartano	کارتان
karmada	آرمادا
karkata	ارکاتا
karinas	آریناس
kariang	آریانگ
karamis	ارامیس
karakis	آراکیس
karakan	آراکان
karaim	کارهایم
kanthal	انتحال
kantara	آنتارا
kanshin	انشین
kankara	آنکارا
kanjani	انجانی
kanibal	آنیبال
kandika	اندیکا
kandali	اندالی
kanalit	آنالیت
kamrat	کامراتا
kampili	امپیلی
kaminia	امینیا
kamikaz	آمیکاز
kambala	امبالا
kamasan	ام‌اس‌ان
kamalia	آمالیا
kalmand	آلماند
kalkman	آلکمان
kalkhas	الخاص
kalkani	آلکانی
kaliman	الیمان
kalhara	الحارة
kalbani	البانی
kalazan	آلازان
kalatch	ال‌اچ
kalasan	آلاسان
kalasam	ال‌اس‌ام
kalamii	کالایی
kaizawa	آیزاوا
kaishan	ﺍیشان
kaisaks	آیساکس
kaiafas	آی‌اف‌اس
kahlman	اهلمان
kabiana	کابانا
jianwen	جیان‌ون
jawzjan	اوزجان
jawshan	اوشان
jawhara	اوهارا
jathran	آذران
jashari	اشاری
janssi	장씨
janshin	انشین
jangdan	انگدان
jangali	انگالی
janabai	آنابای
jamling	آملینگ
jaminan	امینان
jamarat	امارات
jalanan	آلانان
jakaria	آکاریا
jagatai	آگاتای
jabatan	اباتان
ithamar	ذَمار
italiae	ایتالیا
itakagi	تاکاگی
iswaran	سواران
ispida	هیسپیدا
ispahan	سپاهان
isinais	سینایس
ishwari	شواری
ishumar	شُمار
ishtim	پیشتیم
ishmail	شمایل
isfahan	صفاهان
isandra	ساندرا
ingrami	اینگرام
infana	اینفانتا
inakari	ناکاری
imigran	میگران
imandra	ماندرا
imahama	ماهاما
ilarian	لاریان
ilaaha	إِلَٰهًا
ikhwans	خوانس
ikhwani	خوانی
igangan	گانگان
i̇brahim	براهیم
ibraham	براهام
ibatans	باتانس
ibarski	بارسکی
ibariki	باریکی
ibariki	باریکی
iarwain	ارواین
histrix	هیستری
histria	ایستریا
hisshi	هیساشی
hingwar	اینگوار
hingham	اینگهام
hindsii	هندسیِ
hilaria	ایلاریا
hawting	اوتینگ
hawrani	آورانی
hawrami	اورامی
hataman	آتامان
hasting	استینگ
haskala	اسکالا
hashman	اشمان
hashian	اشیان
hasanid	اسانید
haryana	آريانا
harshad	ارشاد
harmand	آرماند
harmada	آرمادا
harlani	هارلان
harland	ارلاند
harkham	آرخام
hariana	اریانا
harhart	ارهارت
harding	اردینگ
haraldi	هارالد
harakan	آراکان
hantili	آنتیلی
hanshin	انشین
hanshan	آنشان
handrin	اندرین
handlan	اندلان
handali	اندالی
hanania	آنانیا
hamling	آملینگ
hamblin	امبلین
halwani	الوانی
halsman	السمان
haladin	آلادین
haidian	آی‌دی‌ان
haghani	اغانی
hadrian	آدریان
hadamar	آدامار
habshan	ابشان
habdank	آبدانک
ḥabasha	آباشا
gwatkin	واتکین
grisman	ریسمان
grishma	ریشما
grimani	ریمانی
grazian	رازیان
granth	گرانت‌ها
grankin	رانکین
gramshi	رامشی
gnistan	نیستان
gmirkin	میرکین
gminski	مینسکی
glinski	لینسکی
glashan	لاشان
gjilani	جیلانی
gharazi	هارازی
ghalain	هالاین
ghaiman	هایمان
gengsta	گنگستا
gazaria	آزاریا
gawhara	اوهارا
gawasis	اوآسیس
gaustad	اُستاد
gastria	استریا
gastank	آستانک
gaspart	اسپارت
gaspari	اسپاری
gaspais	اسپایس
gasking	اسکینگ
gashlin	اشلین
garmani	ارمانی
garmani	ارمانی
garling	ارلینگ
garinii	گارینی
garhart	ارهارت
gargani	ارگانی
gardman	اردمان
gardish	اردیش
garding	اردینگ
garbani	گارانی
garanta	آرانتا
ganshi	گرانشِ
ganshan	آنشان
ganjlik	آنجلیک
ganjami	انجامی
ganhara	آن‌هارا
gandria	آندریا
gananda	آناندا
gamling	آملینگ
gamblin	امبلین
gambiri	امبیری
gambala	امبالا
galtaji	التاجی
galiani	آلیانی
galgani	الگانی
galfrid	الفرید
galéria	گالریا
galeata	گالاتا
galdina	الدینا
galdana	الدانا
galatna	الاتنا
galatia	الاتیا
galasti	ال‌اس‌تی
galardi	الارضی
galani	گالوانی
galanis	آلانیس
galanin	آلانین
galahad	الآحاد
gadarat	ادارات‌
gabtali	ابطالِ
gabrial	ابریال
furlang	فرلانگ
friskin	ریسکین
frankin	رانکین
frankei	فرانکی
fraksha	راکشا
flandin	لاندین
flamina	لامینا
flajani	لاجانی
fizika	فیزیکال
fitalia	ایتالیا
firmian	یرمیان
fingals	اینگالس
fawkham	اوکهام
fawaris	اواریس
fauskar	اُسکار
fatshan	آتشان
fastrak	استراک
farshad	ارشاد
farling	ارلینگ
farland	ارلاند
farinas	آریناس
faranda	آراندا
fantini	آنتینی
falsafi	الصافی
faldini	الدینی
fahlman	اهلمان
fabrizi	آبریزی
fabijan	آبیجان
etchart	چارت
etalita	تالیتا
etajima	تاجیما
eswaran	سواران
esfahan	صفاهان
epishin	پیشین
elatina	لاتینا
egilmar	گیلمار
egilman	گیلمان
ebrahim	براهیم
eashing	اشینگ
earsham	آرشام
earling	ارلینگ
earland	ارلاند
earhart	ارهارت
eargasm	ارگاسم
ealfrid	الفرید
eagling	اگلینگ
eadward	ادوآرد
dramani	رامانی
draisin	رایسین
dragnar	راگنار
djibril	جیبریل
dilward	ایلوارد
diliana	ایلیانا
diahman	یاهمان
dharwad	هارواد
dharama	حَرَّمَ
destini	دستینی
dawlish	اولیسه
dataman	آتامان
dashnak	آشناک
darshak	آرشاک
darmani	ارمانی
darland	ارلاند
darkhan	آرخان
darians	آریانس
daramar	آرامار
dapalis	آپالیس
danjiri	انجیری
danilin	آنیلین
danglis	انگلیس
damghan	امغان
dambala	امبالا
damatis	آماتیس
damalas	ام‌ال‌اس
dalmada	آلمادا
dalkhai	الک‌های
dalisan	الیسان
dalazar	آلازار
dalawas	الاواس
dalaman	الامان
dakhani	آخانی
dahlman	اهلمان
dahiana	احیانا
dagbani	آگبانی
dadrian	آدریان
dadiani	ادیانی
dabbala	آب‌بالا
dabbagh	آب‌باغ
crisman	ریسمان
craigan	رایگان
clarisa	لاریسا
claflin	لافلین
cianjin	یان‌جین
ciamaga	یاماگا
chrabri	هرابری
chingis	هینگیس
chingam	هینگام
chilkat	هیلکات
charman	هارمان
charkin	هارکین
charish	هاریش
chardin	هاردین
chandan	هاندان
champa	چامپا
chalpin	هالپین
chaldia	هالدیا
chalbha	حالبها
chaland	هالاند
chalain	هالاین
chaiman	هایمان
cathari	آثارِ
catch22	اچ۲۲
castlin	استلین
castila	استیلا
castara	آستارا
castang	استانگ
castana	آستانة
cassiar	اس‌سی‌آر
caspias	اس‌پی‌اس
caspiar	اس‌پی‌آر
caspari	اسپاری
caslari	اسلاری
cashtal	اشتال
cashman	اشمان
cashian	اشیان
çarshia	ارشیا
carmita	آرمیتا
carling	ارلینگ
carland	ارلاند
carinas	آریناس
carians	آریانس
cariani	آریانی
cariaga	آریاگا
carhart	ارهارت
carawan	آراوان
cararas	آرآراس
carakan	آراکان
canzani	آنزانی
cantini	آنتینی
cantara	آنتارا
cangali	انگالی
candian	آندیان
canadia	آنادیا
camranh	آمرانه
campath	آمپاته
caminia	امینیا
caminha	آمین‌ها
caminal	آمینال
camilia	امیلیا
cambria	امبریا
camaria	آماریا
calkins	الکینس
calista	الیستا
calisia	آلیسیا
caliman	الیمان
caldini	الدینی
caldina	الدینا
calatia	الاتیا
calabai	آلابای
cairina	اِرینا
caidian	آی‌دی‌ان
caiafas	آی‌اف‌اس
brisman	ریسمان
briskin	ریسکین
brankin	رانکین
brandti	براندی
brandon	براندن
brandal	راندال
bramani	رامانی
bradman	رادمان
blizard	لیزارد
blitman	لیتمان
blinman	لینمان
blinkin	لینکین
blandin	لاندین
bistain	ایستاین
biranit	ایرانیت
bingham	اینگهام
biasini	یاسینی
bhringi	هرینگی
bhiwani	حیوانی
bhandan	هاندان
bernama	برنامة
bawshar	اوشار
bawdwin	اودوین
bathari	آثارِ
batanga	اتانگا
bastaki	استاکی
baskali	اسکالی
baskala	اسکالا
basiana	آسیانا
basati	باسماتی
barzani	ارزانی
barthal	ارتحال
barsali	ارسالی
barling	ارلینگ
