zumi	ずみ
ganon	가논
ganji	感じ
gangjeomgi	강점기
gange	강에
gaika	가이카
gaeb	갭
fenbu	分布
faran	法然
fabao	法寶
eya	에야
eunhaeng	은행
etal	에탈
erya	爾雅
erin	에린
eran	에란
eona	어나
eno	엔오
enno	엔노
eig	에익
edelman	에델만
dukati	두카티
duben	読本
dowi	도위
doseong	도성
dongfang	東方
dogyeong	도경
dodi	도디
dimibang	디미방
desio	데시오
dera	데라
deng	等
dazu	大足
dazhuan	大篆
dayo	다요
dayi	大儀
dani	단이
damon	다몬
damin	담인
dake	だけ
dagana	다가나
dafu	達夫
daewang	대왕
dade	大德
cuco	추초
chenmo	沈黙
carye	차례
campa	참파
bujang	부장
budang	不當
bowuyuan	博物院
borei	보레이
boog	보옥
bongji	봉지
bonga	본가
bika	비카
biju	비주
biang	비앙
beso	베소
bakku	バック
bailan	白蘭
ayumi	あゆみ
atul	아툴
asiya	아시야
asio	아시오
aruba	아루바
aring	아링
ariel	아리엘
arado	아라도
apni	앞니
apen	앞엔
antan	安曇
annae	안내
angri	앙리
andino	안디노
anan	아난
ammon	암몬
amman	암만
amhara	암하라
amado	아마도
alme	앎에
albina	알비나
albano	알바노
aishi	哀史
aimei	曖昧
agu	악우
agan	아간
adu	아두
adan	아단
abiba	아비바
abei	아베이
abdul	압둘
abdu	압두
aag	아악
neungyanggun	응양군
mesopotamica	메소포타미아
kilimanjaro	킬리만자로
jjajangmyeon	자장면
cenerentola	체네렌톨라
myeongseong	영성
imyeonggwan	명관
hwangryeong	왕령
gyeongseong	영성
gwangmyeong	왕명
zhongzhong	弘中
zhongzheng	弘正
zhongliang	洪亮
zhongchuan	洪川
zhongchang	弘昌
zhengchang	恒常
yekaterina	에카테리나
ssangseong	상성
sieberiana	시베리아나
sakuragawa	아쿠라가와
rosenbergi	로센베리
pyeongyang	영양
ongryugwan	옥류관
ōmandokoro	만도코로
oatakebune	아타케부네
nakayamai	나카야마의
myeongjong	영종
myeongdong	영동
kamagasaki	아마가사키
hyeonjeong	연정
hellenikos	ελληνικός
hasegawai	하세가와의
gyeongsong	영송
gyeongsang	영상
gyeongjong	영종
gyeonggang	영강
gwangseong	왕성
dongnyeong	옹녕
chalkidiki	할키디키
adamanteus	아다만트
zimperium	임페리움
zhongxing	红星
zhongxian	紅線
zhongming	弘明
zhongjing	홍징
zhonggong	홍공
zhongcang	홍창
zhengzhou	橫軸
zhengyang	衡陽
zhengping	衡平
zhengchun	恒春
zhanjiang	漢江
zhangzhou	杭州
yeremenko	에레멘코
xingzhan	幸長
xiānsheng	新盛
wakatsuki	あかつき
tsangyang	상양
tongzong	同種
tongjeong	옹정
takatsuki	あかつき
ssangyong	상용
songjeong	옹정
soberana	소베라니아
shuncheng	混成
shukugawa	후쿠가와
shouguang	後光
shiroyama	히로야마
shirosaki	히로사키
shirokawa	히로카와
shirokane	히로카네
shirohata	히로하타
shirakawa	히라카와
shirahata	히라하타
shinomori	히노모리
shinohara	히노하라
shibayama	히바야마
shengzhou	橫軸
shengyang	衡陽
shengping	衡平
shengjing	横井
shaosheng	好生
shannahan	한나한
shancheng	漢城
sapateiro	사파테로
sakaigawa	아카이가와
ryanggang	양강
redentor	레덴토레
pyonggang	용강
pyeongsan	영산
pyeonghwa	영화
pika-pika	피카피카
ōnakatomi	나카토미
onakatomi	나카토미
okamotoi	오카모토의
ogawajima	가와지마
nansangwa	안산과
nakamichi	나카미치
myeongran	영란
mungyeong	운경
motorola	모토롤라
mikimotoi	미키모토
marittima	마리티마
malgassa	맑았다
maaesamjonbulsang	마애삼존불상
lansangan	안산간
kyongsang	용상
kyeongsin	영신
khakamada	하카마다
kawakamii	카와카미
kapitana	카피타니아
kakamegae	카카메가
jhonggang	홍강
jeongeom	정염
jannanin	장난인
jangseong	앙성
idangdang	당당
hyoryeong	요령
hyeongpil	영필
hwangsong	왕송
heonseong	언성
gyeonjeon	연전
gyeongsun	영순
gyeongsan	영산
gyeongnam	영남
gyeonghan	영한
gwangyang	望洋
gwangjong	왕종
gimnasio	김나시온
geumseong	음성
geumjeong	음정
gaegyeong	애경
emiliano	에밀리아노
ekaterini	카테리니
ekaterine	카테리네
ekaterina	카테리나
ekatarina	카타리나
dongseong	옹성
desideri	데시데리아
dalmatica	달마티아
daegyeong	애경
chuandeng	幻燈
chongxian	紅線
chongming	弘明
chongkong	홍콩
cheonsang	헌상
chengzhou	橫軸
chengyang	衡陽
chengtian	横田
changzhou	杭州
changyang	항양
changtian	航天
changgong	항공
chancheng	漢城
chaeryong	해룡
byeongsin	영신
bu-sajang	부사장
bongseong	옹성
bhutamata	후타마타
alongshan	龙山
alemania	알레마니아
akatarawa	카타라와
akagiyama	카기야마
agatamori	가타모리
zongyao	重要
zhuoshui	活水
zhuoming	活命
zhujiang	虎將
zhucheng	湖城
zhuanghe	黄河
zhoushan	後山
zhongyun	홍윤
zhongyou	弘祐
zhongyan	弘彦
zhongxin	弘信
zhongwei	宏伟
zhongshu	弘樹
zhongsan	홍산
zhongjia	홍지아
zhongdao	弘道
zhezheng	賀正
zhenning	헨닝
zhennan	正南
zhengyan	横顔
zhaoling	號令
zhanxuan	寒暄
zhanqiao	韓僑
zhancang	한창
zhaishan	海山
zaltieri	알티에리
yumesaki	우메사키
yumemiya	우메미야
yuankan	元康
yansheng	安勝
yangyang	앙양
yancheng	安成
yanagawa	아나가와
yamasaki	아마사키
yamamoto	아마모토
yamakawa	아마카와
yamagami	아마가미
yakimoto	아키모토
xingwang	인광
xingjing	잉징
xingdong	잉동
xhamadan	하마단
wansheng	安勝
wangtong	앙통
wancheng	安成
wamariya	아마리야
wakamaru	아카마루
waizhuan	外患
wabenaki	아베나키
verotika	에로티카
valtonen	알토넨
ubaldini	발디니
tsingtao	싱타오
tsinghai	싱하이
tokuyama	오쿠야마
tokimasa	오키마사
todoroki	오도로키
tibetana	티베탄
tibetain	티베탄
thongcha	紅茶
theodoro	허도로
temporia	엠포리아
tarabini	아랍인이
tamamori	아마모리
takiyama	아키야마
takimoto	아키모토
takikawa	아키카와
takigawa	아키가와
takatani	아카타니
takasaki	아카사키
takamine	아카미네
takakage	아카카게
takahito	아카히토
takahata	아카하타
takagawa	아카가와
taishang	愛上
suan-shu	算術
sinhaeng	인행
singende	신겐에
simpsoni	심포니
silseong	일성
siktuna	시카투나
sigyeong	이경
sibjaida	입자이다
shuxiang	互相
shuwang	朔望
shuiguan	会館
shuguang	湖广
shucheng	湖城
shuangye	荒野
shouzhen	後陣
shoushan	後山
shoulong	後龍
shinjiro	힌지로
shengyan	横顔
shaoling	號令
shaofang	豪放
shanyang	漢陽
shanwang	한왕
shantang	漢唐
shannara	한나라
shangjin	항진
shanggan	항간
shandong	한동
shalmali	할말이
shahanga	하한가
serveuse	세르세
serikawa	에리카와
schulian	初恋
sasamoto	아사모토
sasakura	아사쿠라
sasakawa	아사카와
sasahara	아사하라
sasagawa	아사가와
sarianna	아리안나
sarakawa	아라카와
sanxiang	安乡
santonio	안토니오
santanae	산타나
sansheng	安勝
sanjiang	安江
samseong	암성
sakimoto	아키모토
sakimori	아키모리
sakihisa	아키히사
sakahito	아카히토
sakagawa	아카가와
sakagami	아카가미
ryugyong	육용
rotokawa	오토카와
romanen	로만은
rlobsang	롭상
risaburo	이사부로
ringjing	잉징
reuteri	르테리에
raineyi	라이너의
pyongsan	용산
pyeongan	연간
pungyang	웅양
primario	리마리오
plangman	浪漫
pinarayi	이나라의
pereirae	페레이라
pasamiya	아사미야
parisii	파리시의
parihara	아리하라
palmeria	알메리아
pakaraka	아카라카
outamaro	우타마로
otaishan	台山
ootomari	오토마리
ōomuraji	오무라지
ōokayama	오카야마
omeishan	眉山
ohigashi	ひがし
obayashi	ばやし
obangame	반감에
ōasahiko	아사히코
nyangani	양안이
numidica	누미디아
noryeong	오령
norimura	오리무라
norimoto	오리모토
norihime	오리히메
nomoghan	오목한
nominato	오미나토
nisiyama	이시야마
ninjaman	인자만
ningjing	잉징
ningdong	잉동
ninagawa	이나가와
ngandong	간동
narinaga	아리나가
narimori	아리모리
narihito	아리히토
narihiro	아리히로
nanzheng	安政
nanxiang	安乡
nanimaru	アニマル
nanguang	安廣
nanchuan	安川
nancheng	安成
namagiri	아마기리
nakatani	아카타니
nakasawa	아카사와
nakasako	아카사코
nakamaru	아카마루
nakahata	아카하타
nakagawa	아카가와
nakagami	아카가미
najariya	아자리야
nagginda	아낀다
nagasau	나가사쿠
myingyan	英彦
myeongju	영주
myeongji	영지
murasaki	우라사키
muramoto	우라모토
munjeong	운정
motonari	오토나리
motohime	오토히메
morrison	모리손
morimura	오리무라
morimoto	오리모토
morigami	오리가미
montanae	몬타나
moldowan	올도완
miyanaga	이야나가
miryeong	이령
minimia	미니미와
minagawa	이나가와
menteur	멘트로
mayahana	아야하나
masataro	아사타로
masamoto	아사모토
masajiro	아사지로
masahiro	아사히로
masahiko	아사히코
martima	마리티마
marinen	마린은
marianna	아리안나
marciano	마리아노
mandeure	안드레
mancheng	安成
makihito	아키히토
makaraka	아카라카
longwang	옹왕
lingqian	陵寢
lanxiang	安乡
lansheng	安勝
lancheng	安成
kwentong	文通
kweiyang	웨이양
kwanyama	완야마
kuwajima	우와지마
kuramoto	우라모토
kumemura	우메무라
koyamada	오야마다
kotagiri	오타기리
kominato	오미나토
koenige	쾨니그
kobukuro	오부쿠로
kitagawa	이타가와
kisaburo	이사부로
kiriyama	이리야마
kikujiro	이쿠지로
khomeini	호메이니
khamyang	함양
khamenei	하메네이
kawamori	아와모리
kasahara	아사하라
karatani	아라타니
kanegawa	아네가와
kanayama	아나야마
kanagawa	아나가와
kakimoto	아키모토
kakamega	아카메가
kaiwara	카시와라
jungsang	웅상
joryeong	오령
jolokia	졸로키아
johannae	조한나
jisaburo	이사부로
jipyeong	이평
jinjian	진지한
jinheung	인흥
jingwang	인광
jingjing	잉징
jingdong	잉동
jilderim	일데림
jhaishan	海山
italiae	이탈리아에
itabashi	拓跋氏
ishizuka	しずか
ishimaru	始まる
isangrim	상림
isangile	산길에
ihwajang	화장
hyujeong	유정
hyeongje	영제
hyakumonogatari	햐쿠모노가타리
hwanghae	왕해
horimoto	오리모토
hongmeia	紅梅
honathan	호나탄
hirokawa	이로카와
hinokuma	이노쿠마
hinohara	이노하라
hikayats	히카얏
heuglini	흑인이
heremita	에레미타
hellados	ελλάδος
helenae	헬레나에
hayasaki	아야사키
hayakawa	아야카와
harimoto	아리모토
harihara	아리하라
hanseong	안성
hannibal	안니발
hanjiang	安江
hanedae	한세대
hancheng	安成
hamasaki	아마사키
gyeongpo	영포
gyeongju	영주
gyeonggi	영기
gyeongbu	영부
gwanghae	왕해
gwanggyo	왕교
gunnari	군내리
grisenko	리센코
grandini	란디니
goryeong	오령
gongwang	옹왕
gonggwan	옹관
gokayama	오카야마
gneiting	內庭
gisaburo	이사부로
geumgwan	음관
genryaku	엔랴쿠
garbani	가라바니
gannibal	안니발
ganmani	간만의
galtieri	알티에리
furakawa	우라카와
fujikawa	우지카와
franconi	란초니
farahani	아라한이
fanzheng	安政
fancheng	安成
faliraki	알이라키
eusiyama	우시야마
etiopica	에티오피아
esoteria	소테리아
erandini	란디니
emeishan	眉山
edentata	덴타타
earendel	아렌델
dontario	온타리오
dongwang	옹왕
dogyeong	오경
dingdong	잉동
daragang	아라강
dantonio	안토니오
danjiang	安江
danielii	다니엘이
dangyang	앙양
dangriga	앙리가
damnesia	암네시아
dalseong	알성
dalmatie	알마티에
daejeong	애정
chuxiong	虎雄
chuangye	荒野
chongzhi	弘治
chongyun	홍윤
chongyan	弘彦
chongxi	崇信
chongwen	洪昷
chongshu	弘樹
chongshi	弘世
chongseo	홍서
chongren	弘仁
chongjin	홍진
chongjia	홍지아
chonburi	촌부리
chengyan	横顔
chengwen	恆溫
checheng	鶴城
chanuman	하누만
changung	한궁
changjin	항진
changhai	航海
changgan	항간
changeon	한건
chanfang	漢方
chandani	한단이
chandali	한달이
canguro	창으로
byeonhan	연한
bupyeong	우평
bulbosa	불보살
branobel	라노벨
brandini	란디니
bouseman	오우세만
boryeong	오령
boltoni	볼턴이
bingaman	인가만
bhintada	힌타다
bhansali	한살이
bhandari	한다리
barinaga	아리나가
barbaro	바로바로
baramoto	아라모토
baozang	保障
bansheng	安勝
bandida	반도이다
banaayi	바나나의
balbanes	알바넷
asinina	자신이나
arorangi	로랑이
antiguae	안티구아
anningae	아닌가에
amoreira	모레이라
al-badan	알바단
al-arabi	알아라비
alaikum	알라이쿰
akiyoshi	きよし
aigasaki	이가사키
adoniran	돈이란
adeodato	데오다토
adeniken	데니켄
aaronson	아론손
aaltonen	알토넨
namhansanseong	남한산성
hunminjeongeum	훈민정음
daedongyeojido	대동여지도
dadohaehaesang	다도해해상
bakemonogatari	바케모노가타리
zubenelgenubi	주벤엘게누비
zouzhou	歐洲
zoonami	오오나미
zongbyi	宗義
zmiinyi	미인의
zingaro	인가로
zhuzhou	湖州
zhuxian	護憲
zhushan	湖山
zhoushu	後述
zhongyi	홍의
zhongxi	洪憙
zhongwu	洪武
zhongqi	紅旗
zhongmu	홍무
zhongli	弘曆
zhonghu	洪湖
zhonghe	弘和
zhongfa	弘法
zhongdu	홍두
zhongan	弘安
zheyuan	河原
zhenglu	横路
zhengi	政司
zhenghe	恒河
zhedong	河東
zhaowen	好文
zhanshu	漢書
zhanran	한란
zhanlin	翰林
zhangyi	항의
zhangye	한계
zhanguo	韓国
zhangke	항케
zhaneta	하네타
zhakata	하카타
zhaiwei	하이웨이
zenshu	貞淑
zelmira	엘미라
zangara	안가라
zaiyuan	愛媛
yuseong	우성
yunsong	운송
yunques	雲雀
yungang	운강
yundang	운당
yukikai	유키아이
yuganda	우간다
ysidoro	시도로
youzhou	歐洲
youyang	歐陽
yondan	요나단
yinjing	인징
yingtan	잉탄
yingong	인공
yeonpyo	언표
yeolmae	얼마에
ychange	嫦娥
yaozhou	奥州
yaohui	藥水
yanyuan	安原
yanyong	安永
yantian	岸田
yanshan	鞍山
yanqing	安慶
yanping	안핑
yanning	安宁
yanming	安明
yanjing	安靜
yanhong	安弘
yangang	앙앙
yanfang	安房
yandong	安東
yandang	안당
yananyi	아난의
yanakie	아나키에
xunyang	운양
xubuntu	우분투
xuanlun	旋律
xiushan	이웃한
xinyong	인용
xinyang	인양
xinjing	인징
xingbei	잉베이
xingang	인강
xindian	인디안
xaragua	아라구아
wuchsen	武臣
wringin	링인
woromia	오로미아
wingina	인기나
windoga	인도가
windigo	인디고
windang	인당
wilkins	윌킨
wileman	일에만
wilden	윌든
whilden	힐덴
whelden	헬덴
whatuni	하툰이
whakari	하카리
wenzhu	溫州
weigong	위공
washita	あした
warisan	아리산
wanzhen	安貞
wanyong	安永
wanxian	安县
wantipa	안티파
wanshan	鞍山
wanquan	安全
wanping	안핑
wanning	安宁
wannapa	안나파
wangara	안가라
wanding	안딩
wancang	안창
waltari	알타리
waldini	알딘이
walaru	왈라루
waisaka	아이사카
waikawa	아이카와
vasanti	아산티
variete	아리에테
variana	아리아나
varamin	아람인
vaporia	아포리아
vanning	安宁
vangjel	앙젤
vandino	안디노
vanding	안딩
vandali	안달이
valtera	알테라
valtari	알타리
vagenda	아겐다
uwajima	와지마
utawarerumono	우타와레루모노
utamaru	타마루
utakata	타카타
utagawa	타가와
usingen	신겐
urubici	루비치
urarina	라리나
upanama	파나마
umingan	민간
umigame	미감에
umetaro	메타로
umenari	메나리
umataro	마타로
umasaka	마사카
umariya	마리야
ukigawa	키가와
ujisato	지사토
ujikimi	지킴이
ujihiro	지히로
ujigawa	지가와
udoneri	도네리
udayana	다야나
udaiyan	代言
udagawa	다가와
ubangui	板櫃
ubabini	바비니
tsuzuki	すずき
tsuribe	수립에
tsubura	수부라
tsongmo	송모
tsirang	시랑
tsikata	시카타
tsikada	시카다
tsedong	세동
tsedaka	세다카
tsarong	사롱
tsangpo	상포
tsakane	사카네
trumani	투마니
trukese	루케세
trojane	로잔에
trodeon	로던
trianon	리아논
trengwa	렌과
tremona	레모나
traiman	라이만
tradebe	라데베
torosa	톨로사
toonami	오오나미
tonnara	온나라
tongjin	옹진
tonggol	통고
tolkein	올케인
tmimata	미마타
tinyang	인양
timbang	임방
tileman	일에만
tijigja	이직자
tihanyi	이하늬
tiguana	이구아나
tiberia	이베리아
thorong	호롱
thirona	히로나
thimena	히메나
theroni	헤론이
tharani	하라니
thangam	항암
thangai	한가이
thanasi	하나시
thamrin	함린
thalman	할만
thaketa	하케타
thaenae	해내
thadeus	하듯
thabane	하반에
thabana	하바나
teuren	트랜
teumman	음만
tetsuko	えつこ
teseida	에세이다
tendara	엔다라
tempelj	템펠
teitoku	에이토쿠
teitaro	에이타로
teijiro	에이지로
tchuan	笹川
tcheng	土城
tariana	아리아나
tarasio	아라시오
taranda	아란다
tarakan	아라칸
tarakai	아라카이
taracua	아라추아
tarabin	아랍인
tapanes	아파넷
tanyong	安永
tanyang	安陽
tansang	안상
tannaka	안나카
tanjung	안중
tanjong	안종
tangara	안가라
tangara	안가라
tandang	안당
tambong	암봉
tamasna	아맛나
tamanda	아만다
talparo	알파로
talbani	알바니
takutai	아쿠타이
takaroa	아카로아
taiyuan	愛媛
taisha	台山
taishan	愛山
taijiro	아이지로
taewang	애왕
taejong	애종
tabbara	아빠라
tabbagi	압박이
swinton	윈톤
swining	위닝
swinge	쉬운게
swatara	와타라
svetoga	세토가
suyeong	우영
suteri	수트리
suoshuo	所属
sunjang	운장
sundang	운당
stieren	티에렌
stempel	템펠
steding	特定
starane	타라네
stalman	탈만
srichan	日産
spungin	풍인
spindel	핀델
spilman	필만
speroni	페론이
sperion	페리온
spengel	펜겔
spanton	판톤
spandan	판단
spadoro	파도로
soriana	오리아나
sordida	소리다
sonjuku	온주쿠
songjin	옹진
songbag	옹박
sohyang	오향
snelson	넬손
šmulian	木蓮
smashin	マシン
smaraka	마라카
slancio	산치오
skirian	키리안
skandia	칸디아
skalmen	칼멘
skainan	카이난
sjenica	제니차
sireni	세이렌이
sinong	신봉
sinjong	인종
singoli	인골이
singida	인기다
singani	인간이
sindona	인도나
sindika	인디카
sindian	인디안
simonis	심온이
simonii	심온이
simbang	임방
sicangu	이창우
siberia	이베리아
sibanda	이반다
shuxian	護憲
shuwang	후왕
shutaro	후타로
shushen	護身
shushan	湖山
shuming	呼名
shujing	壷井
shuinan	후이난
shoushi	後世
shotoku	호토쿠
shojuro	호주로
shoeman	회만
shiting	히팅
shiruko	히루코
shirota	히로타
shiroka	히로카
shirase	히라세
shiraki	히라키
shiraka	히라카
shiragi	히라기
shiraga	히라가
shinano	히나노
shinaga	히나가
shimura	히무라
shimeko	히메코
shimai	始まり
shikuma	히쿠마
shexian	和县
sheshan	鶴山
shelden	헬덴
shearin	헤아린
shearim	헤아림
sharuno	하루노
sharawa	하라와
sharada	하라다
shaoshi	号室
shaohao	하오하오
shanyin	漢音
shanxue	漢學
shantal	한탈
shanson	한손
shanshu	漢書
shanren	漢人
shannan	한난
shanmin	한민
shanlin	翰林
shankou	漢口
shanian	한이안
shanhua	漢化
shangyu	한규
shangyi	항의
shanguo	韓国
shangri	항리
shangha	항하
shandon	한돈
shamsun	함순
shamong	함옹
shalman	할만
shalini	할인이
shakuru	하쿠루
shakari	하카리
shaitel	하이텔
shaiman	하이만
shahani	하한이
shagawa	하가와
shagang	하강
shabana	하바나
seungju	응주
seungga	응가
seukei	에스케이
setsuko	えつこ
setoni	세토나이
sesban	셋방
seonggyungwan	성균관
sentoku	엔토쿠
sendara	엔다라
seligen	세이겐
seitaro	에이타로
seiroku	에이로쿠
seinte	세인트
seguido	세기도
segetum	세금
scindia	친디아
schitsu	持つ
schawan	茶碗
scenici	센이치
scandia	찬디아
saseong	아성
sarwada	사와다
sarasan	아라산
saranda	아란다
sarakan	아라칸
sarabia	아라비아
sanyang	安陽
santoni	안톤이
santing	안팅
santero	안테로
sansoni	안소니
sanshan	鞍山
sanraku	안라쿠
sanquan	安全
sanqing	安慶
sanping	안핑
sanming	安明
sanmina	안미나
sanjuro	안주로
sanjugo	안주고
sanjaya	앉아야
saniora	아니오라
sanigaj	산이가
sanhani	안하니
sanhaji	안하지
sanfang	安房
sandora	안도라
sandoni	안도니
sandong	安東
sandino	안디노
sancai	善才
sanbona	안보나
sanbang	안방
sanabel	아나벨
sampang	암팡
saikawa	아이카와
saihara	아이하라
saharon	아하론
sagrada	사라다
sagamie	아가미에
ryutaro	유타로
ryusaku	유사쿠
ryotaro	요타로
ryosaku	요사쿠
rusata	루사티아
runyang	운양
rondane	온다네
romansu	오만수
rodessa	오뎃사
ringen	링은
rinaldo	이날도
rimbang	임방
rimando	이만도
rihanna	이한나
rhetian	鶴田
retsuko	えつこ
remanei	레만이
reiten	레이튼
regioun	레기온
rebelde	레벨에
rapeman	앞에만
raoping	奥平
ranjani	란잔
raniran	아니란
randoni	안도니
ramsayi	라사의
rajani	라잔의
raganya	아가냐
quanzhi	圈子
quahada	우아하다
qritani	리타니
qinyang	인양
pyongbu	용부
pyongan	永安
pyenson	옌손
pungsan	웅산
pritani	리타니
prinsen	린센
prinsen	린센
primada	리마다
premini	레미니
prabang	라방
posolmi	오솔미
pontang	온탕
pompona	포모나
pomonia	오모니아
polding	올딩
poente	포텐테
pobjeda	포베다
pisaura	이사우라
piriyai	피리의
pirangi	이랑이
pinguin	인구인
phutana	후타나
phodong	호동
phanyul	한율
phangan	한간
phabang	하방
peseiro	에세이로
pesando	에산도
peruana	페루나
perjuro	페루로
perenyi	에렌의
perdone	페론에
perawan	에라완
peirene	에이렌에
pecina	프치나
passani	앗사니
pasinya	아시냐
pariani	아리아니
paramin	아람인
paragua	아라구아
pantana	안타나
panowie	판위에
panjeon	안전
pangkalpinang	팡칼피낭
pandore	안도레
pandino	안디노
pandang	안당
pampang	암팡
pamiri	팔미리
pajeros	파제로
paewang	애왕
paduana	아두아나
oyakoba	야코바
oyakawa	야카와
otonari	となり
ōtomari	토마리
otojiro	토지로
otogami	토가미
otatara	타타라
otapawa	타파와
otakara	타카라
osireon	시런
osensei	센세이
orikata	리카타
orihito	리히토
orianka	오리아나
oregina	레기나
oraria	올라리아
orabona	라보나
öpengin	ペンギン
oparina	파리나
opalina	팔이나
onogoro	노고로
onogawa	노가와
oniyama	니야마
ōnaruto	ナルト
onagawa	나가와
omurai	오무라지
ominato	미나토
ominami	미남이
ōmikami	미카미
omikami	미카미
omariya	마리야
omarion	마리온
olseni	올슨이
oliusha	流沙
ōkouchi	こうち
okomura	코무라
okimoto	키모토
okeniyi	케니의
okayama	카야마
okawara	카와라
okanari	かなり
okamura	카무라
okamiya	카미야
okamada	카마다
okakura	카쿠라
okajima	카지마
ojojona	조조나
oishida	いしだ
ōharano	하라노
ohanian	한이안
ohanami	하나미
ogihara	기하라
ogelman	겔만
ogawara	가와라
odorama	ドラマ
odokuro	도쿠로
odawara	다와라
odamura	다무라
odaline	달인에
ocampan	참판
obering	베링
nyungan	융안
nyikang	義康
nyangyu	양유
nyamata	야마타
nsubane	수반에
notopia	오토피아
nosuke	노스케
noryang	오량
noriega	오리에가
noranda	오란다
nobadia	오바디아
nkwanta	콴타
njudung	주둥
niushan	이웃한
nishida	いしだ
niijima	이이지마
ngungun	군군
ngawang	가왕
ngawana	가와나
ngarigo	가리고
neumman	음만
ndongou	東欧
narangi	아랑이
naranda	아란다
nanyuan	安原
nanyang	安陽
nanxian	安县
nanwang	안왕
nantero	안테로
nanshan	鞍山
nanquan	安全
nanping	안핑
nanning	安宁
nankang	안캉
nanjung	안중
nanjing	安靜
nanjaya	앉아야
nangang	앙앙
nanfang	安房
nandino	안디노
nancang	안창
namasia	아마시아
naldini	알딘이
nakamon	아카몬
naishan	愛山
naharon	아하론
nadayi	나디아의
myungin	융인
myeonje	연제
myamoto	야모토
murison	우리손
mundine	운디네
muganda	우간다
msimang	시망
motoman	오토만
morlani	모란이
moriana	오리아나
mookini	오오키니
mongaku	온가쿠
mondoro	온도로
mondago	온다고
moesica	모에시아
mkukuta	쿠쿠타
mkindia	킨디아
misanga	이상아
mirigan	이리간
mirando	이란도
mirando	이란도
minyong	인용
minoura	이노우라
minochi	いのち
minjung	인중
minimo	미니모이
mingtan	잉탄
mingeon	인건
mindoro	인도로
mindong	인동
mimosae	미모사
mikemen	이케멘
miitomo	이이토모
merione	메로네
meriani	메리안
mensen	멘슨
mennini	엔닌이
mekongi	멍이
meitoku	에이토쿠
meiroku	에이로쿠
meijiro	에이지로
medison	에디손
mbaraki	바라키
