zya	זיא
ishrath	שראתה
hefneri	הֶנְרִי
harshad	ארשאד
harmand	ארמאנד
harlani	הארלאן
harhart	ארהארט
haraldi	האראלד
hanyang	אניאנג
hantsch	אנצח
hanshan	אנשאן
halvard	אלוארד
gharyan	האריאן
gengsta	גנגסטא
garmany	ארמאני
garhart	ארהארט
ganshan	אנשאן
galvany	אלבאני
fynshav	ינשאו
flandry	לאנדרי
farshad	ארשאד
fanyang	אניאנג
evesham	וְשָׁם
estanys	סטאניס
elmasry	למאסרי
elgrand	לגראנד
elesham	לְשָׁם
earhart	ארהארט
dragnar	ראגנאר
davtyan	אוטיאן
danyang	אניאנג
chatman	האטמאן
charysh	האריש
charlyn	הארלין
chandan	האנדאן
chalsty	האלסטי
carmany	ארמאני
carhart	ארהארט
caorach	אֹרַח
cagatay	אגאטאי
bhandan	האנדאן
bartsch	ארצח
bardhan	ארדהאן
balyans	אליאנס
balvany	אלבאני
balsham	אלשאם
avraham	בראהאם
avantar	ואנטאר
åstrand	סטראנד
astrand	סטראנד
ashtart	שתארת
ashover	שׁוֹבֵר
ashlyns	סהלינס
ashavan	שאבאן
arshtat	רשטאט
archman	רחמאן
arabati	רַבָּתִי
alvvays	לבואיס
al-tayr	אלטאיר
al-qasr	אלקאסר
almasry	למאסרי
adarang	דאראנג
acheres	חֶרֶשׂ
aashram	אשראם
candravarman	אינדראוארמאן
ztrans	טראנס
zravan	ראבאן
zhengi	זֶנגִי
zharyq	האריק
zborot	בּוֹרוֹת
zaysan	איסאן
zaynal	אינאל
zaydan	אידאן
zauber	אוּבֶּר
zardan	ארדאן
zarchy	ארחי
zamrah	זָרָה
zalman	אלמאן
zalaga	אָלָגָ
zachry	אחרי
zachor	אָחוֹר
yvaral	באראל
ystads	סטאדס
yerushalaim	יְרוּשָׁלַ‍ִם
ychsma	חסמא
yashuv	אָשׁוּב
yashar	אשאר
yarsan	ארסאן
yarman	ארמאן
yanyan	אניאן
yandyr	אנדיר
yandry	אנדרי
yamat	יאמאטו
yalman	אלמאן
yadgar	אדגאר
xsynth	סינטה
wytham	יטהאם
wystan	יסטאן
wyndal	ינדאל
wydysh	ידיש
wsynth	סינטה
wheler	הֶלֶר
wayman	אימאן
washam	אָשָׁם
waryas	אריאס
warsan	ארסאן
warndt	ארנדט
warman	ארמאן
wardyn	ארדין
wanyan	אניאן
wansan	אנסאן
wangan	אנגאן
walham	אלהאם
walach	אלאח
waksal	אכסאל
wahram	אהראם
wadard	אדארד
vyshla	ושלא
volny	ווֹלקני
volles	ווֹלֶס
vlachy	לאחי
virgas	ורגאס
venaim	וְאִם
vatard	אטארד
vastra	אסטרא
vaskan	באסאן
varlan	ארלאן
vargal	ארגאל
vardry	ארדרי
vardan	ארדאן
varann	בראנן
vanyas	אניאס
vanand	אנאנד
vamsha	אמשא
vallat	אללאת
vallah	אללאה
valdra	באדרא
valach	אלאח
vahram	אהראם
ustads	סטאדס
ushant	שאנט
usedom	סְדוֹם
uravan	ראבאן
uradyn	ראדין
uniti	אוּנִיטִי
umtata	מטאטא
umayma	מאימא
umanak	מאנאך
ulvang	לואנג
ullans	ללאנס
ulfran	לפראן
uhland	הלאנד
ugstad	גסטאד
tyndal	ינדאל
tynagh	ינאגה
tvastr	ואסתר
tsagan	סאגאן
tryfan	ריפאן
trenet	רֶנְט
treach	רֵיחַ
travvy	ראווי
thyard	היארד
thayan	האיאן
thamar	האמאר
thaman	הָמָן
thalys	האליס
tesher	אֶשֶר
tayran	איראן
taynal	אינאל
tauber	אוּבֶּר
tatvan	אטואן
tatham	אתהאם
tatary	אטארי
tasman	אסמאן
tasanh	אסאנה
tarsah	ארסאה
tarnas	ארנאס
tarman	ארמאן
tarlan	ארלאן
tardan	ארדאן
tanyas	אניאס
tantal	אנטאל
tansar	אנסאר
tanega	אנְגָ
tandyn	אנדין
tamlyn	אמלין
talysh	אליסה
talvaz	אלבאז
talvar	אלבאר
taltsy	אלצי
talqan	אלקאן
talfan	אלפאן
talang	אלאנג
talaga	אָלָגָ
taksal	אכסאל
taitay	אִתַּי
tairus	אִירוּס
taelon	אֵלוֹן
syvash	יואש
systém	סיסטם
sylvia	סילוא
sychta	יחטא
svartz	בארטז
svalan	באלאן
stvari	סטואר
straff	סטראפ
stevel	תֵּבֵל
stavns	טאונס
staryk	תאריך
starns	טארנס
starna	טארנא
stardy	טארדי
stalts	תאלץ
speyer	פְּיֶר
snyman	נימאן
smelek	מֶלֶך
smekal	מְכָל
slyman	לימאן
slarch	לארח
slaman	לאמאן
skyvan	כיואן
shvarn	הבארן
shtart	הטארט
shradh	הראדה
shoham	הוֹהָם
shiran	שראן
shayma	האימא
shayan	האיאן
shayam	הַיָּם
shayad	הַיָּד
shavar	האואר
shavah	הָבָה
shatan	האתאן
sharky	הארכי
sharim	הָרִים
sharah	הָרָה
sharaf	האראפ
shaqe	שָׁקֶר
shanyn	האנין
shanes	הַנְס
shamon	הֲמוֹן
shamar	האמאר
shalyn	האלין
shalev	הַלֵּב
shadar	הָדָר
sfarad	פאראד
schull	חוּלל
schram	חראם
schart	חארט
schams	חאמס
schady	חאדי
schaan	חאאן
sayran	איראן
savvas	אוואס
savary	אבארי
savart	אבארת
sauber	אוּבֶּר
satyan	אטיאן
sastry	אסתרי
saryan	אריאן
sarsan	ארסאן
sarmas	ארמאס
sarman	ארמאן
sarazm	אראזם
sarath	אראטה
sanyas	אניאס
sansar	אנסאר
sansan	אנסאן
sandry	אנדרי
sanath	אנאטה
sanand	אנאנד
samart	אמארת
samant	אמאנת
samand	אמאנד
salyan	אליאן
salvat	אלואט
salvan	אלבאן
saltar	אלטאר
salman	אלמאן
sallah	אללאה
saldus	אלדוּס
salaga	אָלָגָ
sadhan	אדהאן
sadans	אדאנס
ryvang	יואנג
rovani	וֹבַנִי
renhet	רֶנְט
rayyan	אייאן
raynal	אינאל
rayman	אימאן
raydan	אידאן
ravdan	אבדאן
ravary	אבארי
rauman	אוּמַן
rauber	אוּבֶּר
ratnas	אטנאס
ratham	אתהאם
rastas	אסטאס
rasham	אָשָׁם
ransan	אנסאן
rangan	אנגאן
ramsha	אמשא
ramnas	אמנאס
ramaty	אמאטי
ramath	אמאטה
ramans	אמאנס
ralang	אלאנג
rachiv	אָחִיו
qflash	פלאסה
qartas	ארטאס
qarsan	ארסאן
qalası	קאלאס
pyvart	יוארט
pyrard	ירארד
ptavvs	טאובס
psalty	סאלטי
prymas	רימאס
prevel	רֶבֶל
pregel	רֶגֶל
prayes	רַיְס
pratts	ראטצ
plytas	ליטאס
pleven	לְבֶן
pleket	לֶכֶת
playan	לאיאן
platyn	לאטין
platts	לאטץ
planty	לאנטי
planky	לאנכי
plaman	לאמאן
plachy	לאחי
phylas	הילאס
phayam	הַיָּם
pharms	הארמס
pharas	האראס
phanes	הַנְס
pflash	פלאסה
payran	איראן
paynal	אינאל
paulem	אוּלְם
pastra	אסטרא
pashal	אשאל
pasang	אסאנג
parvat	ארבאט
parvan	ארבאן
partas	ארטאס
parnas	ארנאס
parmys	ארמיס
parmly	ארמלי
parman	ארמאן
parlan	ארלאן
parkay	ארכאי
parath	אראטה
pantal	אנטאל
panart	אנארת
paltar	אלטאר
palman	אלמאן
palarm	אלארם
palang	אלאנג
paladr	אלאדר
palach	אלאח
paiven	אִבְן
pairis	אִירִיס
padrys	אדריס
padams	אדאמס
ovtsyn	וצין
otaman	טאמאן
ostrat	סטראת
oshman	שמאן
orech	אוֹרֵח
ordyan	רדיאן
oratov	רָטֹב
oratan	ראטאן
ónavas	נאבאס
omelek	מֶלֶך
olynth	לינטה
olstad	לסטאד
olshan	לשאן
olland	ללאנד
ollamh	ללאמה
olayan	לאיאן
olands	לאנדס
olamam	לאמאם
ogryns	גרינס
odhran	דהראן
ochard	חארד
nieder	נֶדֶר
ngurah	גוּרָה
ngaran	גאראן
ngalam	גאלאם
nesher	אֶשֶר
nayyeh	נאייה
nayman	אימאן
navras	אוראס
nauman	אוּמַן
nataly	אטאלי
nastas	אסטאס
nasha	נָשָׁא
nashar	אשאר
nasham	אָשָׁם
narval	ארבאל
narash	אראש
narach	אראח
nangan	אנגאן
nanfan	אנפאן
nameri	אָמֶרִי
namath	אמאטה
nalvar	אלבאר
naltar	אלטאר
nafsha	אפשא
nachor	אָחוֹר
myslym	יסלים
mereke	אֶרֶךְ
mdash	מדיאש
maysan	איסאן
maynas	אינאס
maylam	אילאם
maydan	אידאן
matyas	אטיאס
matnas	אטנאס
matham	אתהאם
mastas	אסטאס
mastan	אסטאן
masqal	אסקאל
masnad	אסנאד
masman	אסמאן
maslar	אסלאר
mashav	אשאב
mashar	אשאר
masham	אָשָׁם
masang	אסאנג
maryan	אריאן
marvyn	ארוין
marvan	ארבאן
martyn	ארטין
martas	ארטאס
marshi	מארש
marsan	ארסאן
marnas	ארנאס
marmas	ארמאס
marlys	ארליס
marlyn	ארלין
marlan	ארלאן
marios	מָרִיס
marhrt	ארהרט
margen	מָגֵן
marfak	ארפאך
marets	אָרֶץ
mardan	ארדאן
marash	אראש
marach	אראח
manych	אניח
manyas	אניאס
mangan	אנגאן
manesh	מאנסה
mandry	אנדרי
manays	אנאיס
mamand	אמאנד
malyan	אליאן
malvar	אלבאר
malman	אלמאן
mallat	אללאת
mallah	אללאה
malham	אלהאם
malayi	מאלאי
malard	אלארד
malang	אלאנג
makram	אכראם
mairis	אִירִיס
mahşer	מַהֵר
magath	אגאטה
madnan	אדנאן
machte	מאחת
lytham	יטהאם
lyrata	ליראת
lyndal	ינדאל
lynagh	ינאגה
llazar	לאזאר
lhamon	הֲמוֹן
levnad	לְבָד
lesher	אֶשֶר
lekhet	לֶכֶת
lechat	אֶחָת
laysan	איסאן
lavsan	אוסאן
lavras	אוראס
lauman	אוּמַן
lauber	אוּבֶּר
latyan	אטיאן
latham	אתהאם
lashly	אשלי
lashar	אשאר
lasham	אָשָׁם
l-asan	לאסאן
larman	ארמאן
largay	ארגאי
larath	אראטה
laqant	אקאנת
lanyan	אניאן
lantal	אנטאל
lansch	אנסח
langer	לאנגר
langan	אנגאן
landry	אנדרי
lakyah	אכיאה
lakish	אָכִישׁ
kysyy	כיסויי
kyohan	יוֹהַן
kvatch	ואטח
kvasha	ואשא
kvaran	באראן
kuveni	וּבְנִי
kushan	כשאן
kromah	רוֹמָה
kregel	רֶגֶל
kravan	ראבאן
kramat	רָמַת
krafts	ראפצ
knoten	נֹתֵן
kmarts	מארץ
kleven	לְבֶן
klavan	לָבָן
khayam	הַיָּם
khavar	האואר
khatan	האתאן
khashm	האשם
kharsh	הארש
kharms	הארמס
kharas	האראס
khants	האנץ
khamar	האמאר
khaman	הָמָן
khalam	האלאם
khadur	הָדוּר
khadam	הַדָּם
kesher	אֶשֶר
kazaly	אזאלי
kayvan	איבאן
kavadh	אבאדה
katyal	אתיאל
kastan	אסטאן
kasman	אסמאן
kasgar	אסגאר
karval	ארבאל
karsan	ארסאן
karlyn	ארלין
karlan	ארלאן
karcha	ארחא
karaly	אראלי
kanysh	אניסה
kanyas	אניאס
kangly	אנגלי
kanaly	אנאלי
kamysh	אמיש
kamsha	אמשא
kamath	אמאטה
kalvan	אלבאן
kalray	אלראי
kallat	אללאת
kallah	אללאה
kalang	אלאנג
kalady	אלאדי
kalach	אלאח
kairis	אִירִיס
jaymay	אימאי
jayman	אימאן
javary	אבארי
jastas	אסטאס
jaslyn	אסלין
jashar	אשאר
jarvys	ארביס
jarvan	ארבאן
jarman	ארמאן
jarchy	ארחי
jarash	אראש
jarach	אראח
jansch	אנסח
jalach	אלאח
jairus	אִירוּס
jagath	אגאטה
jaelon	אֵלוֹן
jachym	אחים
iuvene	וּבְנֵי
itamar	טאמאר
italys	טאליס
istvan	סטבאן
isnart	סנארט
isinay	סִינָי
ishvar	שבאר
ishtar	שתאר
ishran	שראן
ishman	שמאן
ishkan	שכאן
ishfaq	שפאק
ishant	שאנט
ishani	שָׁנִי
ishaan	שָׁאן
isaman	סאמאן
isadar	סַדָּר
isaaqs	סָָקס
iravan	ראבאן
iqamah	קָמָה
inyang	ניאנג
intrag	נטראג
ingary	נגארי
inadyn	נאדין
imlach	מלאח
imaran	מאראן
imants	מאנץ
ímaldr	מאלדר
ilyang	ליאנג
ilmars	למארס
illyan	לליאן
ilands	לאנדס
iftach	פתאח
huaman	הָמָן
hrozná	הרוֹזן
hraban	רַבָּן
hesher	אֶשֶר
hereke	אֶרֶךְ
hayyan	אייאן
hayvan	איבאן
haynal	אינאל
hayman	אימאן
hayday	אידאי
havren	האורן
havrat	אבראת
havran	אוראן
hauman	אוּמַן
hatvan	אטואן
hatar	האטארי
haslar	אסלאר
haslam	אסלאם
hashem	הָהֵם
hasham	אָשָׁם
hasami	האסאם
harvan	ארבאן
hartas	ארטאס
harmas	ארמאס
harman	ארמאן
harlyn	ארלין
harlan	ארלאן
hardys	ארדיס
hardan	ארדאן
harcha	ארחא
haorah	אוֹרָה
hansch	אנסח
hansan	אנסאן
hangan	אנגאן
hanfan	אנפאן
hamlyn	אמלין
hamath	אמאטה
hamarn	המארן
hamara	האמאר
hamamı	האמאם
halvar	אלבאר
halman	אלמאן
ḥallah	אללאה
hallah	אללאה
halkyn	אלכין
halfan	אלפאן
halard	אלארד
haiven	אִבְן
hagath	אגאטה
haftar	אפטאר
gurath	גראטה
gtsang	צאנג
grevel	רֶבֶל
grenet	רֶנְט
grayes	רַיְס
gratus	גראץ
grasty	ראסטי
granth	ראנטה
graman	ראמאן
grabot	רַבּוֹת
gnarls	נארלס
glomar	לוֹמַר
glazar	לאזאר
glavny	לאבני
glavan	לָבָן
glanda	לאנדא
gladys	לאדיס
ghanza	האנזא
ghandy	האנדי
ghalfa	האלפא
ghadar	הָדָר
gesher	אֶשֶר
gerets	אֶרֶץ
gereke	אֶרֶךְ
gayman	אימאן
gavras	אוראס
gavinu	אָבִינוּ
gauber	אוּבֶּר
gasman	אסמאן
gaslyn	אסלין
garvan	ארבאן
garvah	ארואה
garman	ארמאן
garlan	ארלאן
garcha	ארחא
ganshi	גאנש
gansch	אנסח
ganah	גִיאָנָה
gamlyn	אמלין
gameru	אָמְרוּ
gamans	אמאנס
galyan	אליאן
galvan	אלבאן
galtar	אלטאר
galman	אלמאן
galfan	אלפאן
galard	אלארד
galani	גאלאן
galang	אלאנג
galaga	אָלָגָ
galadh	אלאדה
galach	אלאח
gaetan	אֵיתָן
gadlys	אדליס
fryman	רימאן
frevel	רֶבֶל
frenet	רֶנְט
fregel	רֶגֶל
frants	ראנצ
förlag	פרלאג
flynas	לינאס
flatts	לאטץ
fhardy	הארדי
fflach	פלאח
faynan	אינאן
favart	אבארת
fauber	אוּבֶּר
fasman	אסמאן
farsan	ארסאן
farman	ארמאן
farlan	ארלאן
fardan	ארדאן
fanfan	אנפאן
fandry	אנדרי
falman	אלמאן
fallah	אללאה
evylan	בילאן
evazan	באזאן
evarts	בארץ
evalyn	באלין
estang	סטאנג
essary	ססארי
eslary	סלארי
eshman	שמאן
esalas	סאלאס
ershad	רשאד
ernald	רנאלד
enavot	נָבוֹת
emarat	מאראט
elymas	לימאס
elvran	לוראן
elstar	לסטאר
elshan	לשאן
elmars	למארס
elland	ללאנד
elgart	לגארט
eldath	לדאטה
elazar	לאזאר
ekerem	כֶּרֶם
ehrman	הרמאן
edvard	דוארד
echrys	חריס
échard	חארד
echard	חארד
eastry	אסתרי
earman	ארמאן
ealham	אלהאם
eadgar	אדגאר
dytham	יטהאם
dmytry	מיטרי
dhayah	הָיָה
dhasty	האסטי
desher	אֶשֶר
derfor	דְּרוֹר
dayyan	אייאן
dayvan	איבאן
dayman	אימאן
daylam	אילאם
davyth	אויטה
davidi	דָּוִיד
davats	אבאצ
dauman	אוּמַן
dastan	אסטאן
dasman	אסמאן
dashty	אשתי
daryas	אריאס
daryan	אריאן
daryal	אריאל
darval	ארבאל
darqan	ארקאן
darman	ארמאן
darlan	ארלאן
daraus	דַאוּס
darany	אראני
darach	אראח
dangan	אנגאן
danand	אנאנד
damart	אמארת
dalyan	אליאן
dalman	אלמאן
dallas	דאלאס
dalham	אלהאם
dalasi	דאלאס
dagana	דָּגָן
daelim	אֵילִם
dadvar	אדואר
dadgar	אדגאר
crevel	רֶבֶל
cravan	ראבאן
cragyn	ראגין
covani	וֹבַנִי
clyman	לימאן
cleven	לְבֶן
claras	לאראס
clanny	לאנני
clanky	לאנכי
claman	לאמאן
clagny	לאגני
cladys	לאדיס
chryst	הריסט
chhath	ההאטה
chhang	ההאנג
chayal	חיאל
chavah	הָבָה
chasam	האסאם
charmy	הארמי
charky	הארכי
chardy	הארדי
chanzy	האנזי
chanly	האנלי
chanes	הַנְס
chandy	האנדי
chanal	האנאל
chama	חָמָס
chamar	האמאר
chaman	הָמָן
chalam	האלאם
chagny	האגני
chadly	האדלי
chadar	הָדָר
chaani	הָאנִי
cazaly	אזאלי
catham	אתהאם
castan	אסטאן
casnar	אסנאר
čarman	ארמאן
carlyn	ארלין
carach	אראח
cantal	אנטאל
canart	אנארת
camryn	אמרין
cameri	אָמֶרִי
camart	אמארת
calzas	אלזאס
calvat	אלואט
calman	אלמאן
calfan	אלפאן
calang	אלאנג
bytham	יטהאם
bukele	וּכְלֵי
brynat	רינאט
bruchi	רוּחִי
brenet	רֶנְט
bregel	רֶגֶל
brayan	ראיאן
bratov	רָטֹב
brandl	ראנדל
braman	ראמאן
bramah	רָמָה
bragny	ראגני
blasty	לאסתי
blastr	לאסטר
blandy	לאנדי
blagny	לאגני
bhavna	האבנא
bhadur	הָדוּר
bhadra	האדרא
bereit	בְּרִית
bayyan	אייאן
baysan	איסאן
bayman	אימאן
baydah	אידאה
bauman	אוּמַן
batham	אתהאם
bastyr	אסטיר
bastan	אסטאן
basman	אסמאן
bashar	אשאר
basham	אָשָׁם
bartas	ארטאס
barqan	ארקאן
barndt	ארנדט
barnas	ארנאס
barmak	ארמאך
barlyk	ארליך
barkay	ארכאי
bargal	ארגאל
barek	בָּרֵךְ
barash	אראש
barany	אראני
barach	אראח
baofen	אֹפֶן
banyas	אניאס
bangad	אנגאד
banega	אנְגָ
balzar	אלזאר
balyan	אליאן
baltar	אלטאר
balman	אלמאן
ballat	אללאת
ballah	אללאה
balham	אלהאם
baldus	אלדוּס
baldrs	אלדרס
balarm	אלארם
balard	אלארד
balady	אלאדי
bakish	אָכִישׁ
bahram	אהראם
bagysh	אגיש
badhan	אדהאן
badams	אדאמס
azarah	זָרָה
ayshan	ישאן
aviner	וִינֶר
avaray	באראי
avarat	באראט
avaran	באראן
avants	ואנטס
avalyn	באלין
austan	אסטאן
aukele	וּכְלֵי
attark	תתארך
atrash	טראש
atrans	טראנס
athath	טהאטה
astris	אסטרס
asraya	סראיא
ashtat	שתאת
ashtar	שתאר
ashras	שראס
ashman	שמאן
ashlyn	שלין
ashlag	שלאג
ashkan	שכאן
ashgad	שגאד
ashfaq	שפאק
asharq	שארק
asharh	שארה
ashani	שָׁנִי
ashama	שאמא
ashadh	שאדה
asarah	סָרָה
asalah	סָלָה
arvald	רואלד
ārslan	רסלאן
arslan	רסלאן
arshad	רשאד
arnath	רנאטה
arnasa	ארנאס
arnald	רנאלד
armady	רמאדי
arayan	ראיאן
aravan	ראבאן
araman	ראמאן
arafat	ראפאת
araban	רַבָּן
arabah	רַבָּה
anyang	ניאנג
anyana	אניאן
anvan	אנטואן
antan	אנטואן
anshar	נשאר
anchar	נחאר
anarky	נארכי
anadyr	נאדיר
amtran	מטראן
amstar	מסטאר
amrany	מראני
amrah	אָמְרָה
amlak	אַמלַכּ
amhran	מהראן
amareh	מָרֶה
amaras	מאראס
amaran	מאראן
amarah	מָרָה
amalik	מַלִכּ
amadan	מאדאן
alysha	לישא
alydar	לידאר
altran	לטראן
altata	לטאטא
alstat	לסטאט
alstar	לסטאר
alomar	לוֹמַר
almtal	למטאל
almrah	למראה
almaty	למאטי
almaly	למאלי
allvar	ללואר
allans	ללאנס
alland	ללאנד
allahi	אללאה
alhagi	אלהאג
algard	לגארד
alfafa	לפאפא
alaynā	אלאין
alayam	לַיָּם
alasht	לאשת
alands	לאנדס
alanda	לאנדא
alamut	לָמוּת
alaman	לאמאן
alakol	לַכֹּל
alagar	אָלָגָ
akshay	כשאי
akshar	כשאר
akrash	כראש
aisha	אִשָּׁה
ahlam	אחלאם
ahkam	אחכאם
agavis	אגאוס
agardh	גארדה
afran	אופראן
adrash	דראש
adevah	אדואה
adalyn	דאלין
achyut	חיוּת
achmad	חמאד
achard	חארד
aastra	אסטרא
aasman	אסמאן
aaryan	אריאן
aangan	אנגאן
aanand	אנאנד
5stars	סטארס
yehoshafat	יְהוֹשָׁפָט
harachamim	הָרַחֲמִים
zyman	ימאן
zymal	ימאל
zydyk	ידיך
zveno	בֶנוֹ
zvara	וארא
zrang	ראנג
zraly	ראלי
zrada	ראדא
zhyzn	היזן
zhala	האלא
zhaan	הַאן
zerubavel	זְרֻבָּבֶל
zenth	זנתה
zemah	אֶמָה
zeder	אֶדֶר
zayra	אירא
zayla	אילא
zayas	איאס
zaven	אָוֶן
zavel	אָבֵל
zasag	אסאג
zarma	ארמא
zaray	אראי
zaran	אראן
zarad	אראד
zanny	אנני
zanla	אנלא
zangy	אנגי
zandy	אנדי
zands	אנדס
zamyn	אמין
zamen	אָמֵן
zamar	אמאר
zaman	אמאן
zaman	אמאן
zalta	אלטא
zalma	אלמא
zalka	אלכא
zalfa	אלפא
zalan	אלאן
zahar	אהאר
zagat	אגאת
žagar	אגאר
zagan	אגאן
zafar	אפאר
zadra	אדרא
zadar	אדאר
zachi	אָחִי
zacha	אחא
zabel	אָבֶּל
yūsha	ישא
yusa	יוּצָ
ythan	טהאן
ystad	סטאד
yslas	סלאס
ysart	סארט
yoson	וֹסוֹן
yoshiyahu	יֹאשִׁיָּהוּ
yoka	יֹאכַל
yfrah	פראה
yehonatan	יְהוֹנָתָן
ychma	חמא
yazan	אזאן
yayha	איהא
yayah	איאה
yavan	אבאן
yauri	אוּרִי
yasyr	אסיר
yasur	אָסוּר
yasen	אָסֶן
yasay	אסאי
yasar	אסאר
yarur	אָרוּר
yarty	ארתי
yarth	ארתה
yarrh	אררה
yarmy	ארמי
yarfa	ארפא
yaran	אראן
yanza	אנזא
yangs	אנגס
yange	יאנג
yaneh	אנֶה
yanar	אנאר
yanam	אנאם
yamon	אָמוֹן
yamla	אמלא
yaman	אמאן
yamam	אמאם
yamal	אמאל
yalta	אלטא
yalan	אלאן
yalah	אלאה
yaish	אִישׁ
yâhud	יהֻד
yahan	אהאן
yaggy	אגגי
yagas	אגאס
yagan	אגאן
yafar	אפאר
yadon	אָדוֹן
yadav	אדאב
yachi	אָחִי
xyant	יאנט
xperi	פְּרִי
xiangshang	אנגשאנג
xerez	אֶרֶז
xazar	אזאר
xanth	אנתה
xalan	אלאן
wyong	יוֹנג
wyman	ימאן
wyllt	יללת
wyllt	יללת
wylam	ילאם
wyant	יאנט
wrage	ראגֶ
wrach	ראח
wonsu	וֹנסוּ
wlndr	לנדר
wlady	לאדי
wladyslav	ולאדיסלאב
whyld	הילד
whall	האלל
wetse	אֶצֶ
weter	אֶתֶר
weneg	אֶנְג
weder	אֶדֶר
wayra	אירא
wayns	אינס
wayma	אימא
wayin	אָיִן
wayar	איאר
wayan	איאן
wayah	איאה
wavel	אָבֵל
watsa	אצא
wasyl	אסיל
wasur	אָסוּר
washy	אשי
washd	אשד
washa	אשא
wasen	אָסֶן
wasag	אסאג
waryn	ארין
warth	ארתה
warta	ארטא
wardy	ארדי
warch	ארח
waran	אראן
warad	אראד
waqar	אקאר
wanzl	אנזל
wanny	אנני
wandy	אנדי
wamar	אמאר
waman	אמאן
walya	אליא
walts	אלטס
walta	אלטא
walsh	אלש
walch	אלח
wakal	אָכַל
waith	אִתה
wahan	אהאן
wagyl	אגיל
waggy	אגגי
wagay	אגאי
wagar	אגאר
wagan	אגאן
wadan	אדאן
wacht	אחט
wacha	אחא
vysha	ישא
vyath	יאטה
vyang	יאנג
vsych	סיח
vrana	ראנא
vrake	רַךְ
vorah	בראה
volya	וליא
võlad	בלאד
vland	לאנד
vlake	לָךְ
vlady	לאדי
vladyslav	ולאדיסלאב
vhong	הוֹנג
veten	אֶתֵּן
verno	בֶנוֹ
verft	ורפת
venec	בְנֵי
vdara	דארא
vcage	וַגְ
vayas	איאס
vavra	אורא
vavar	אבאר
vaval	אבאל
vatum	אטוּם
vatsa	אצא
vatry	אטרי
vatna	אטנא
vatan	אתאן
vasyl	אסיל
vasya	אסיא
vasha	אשא
vasas	אסאס
vasar	אסאר
vasan	אסאן
varzy	ארזי
varys	אריס
varyl	אריל
