zita	自他
zhongzhong	紅腫
zhongzheng	弘正
zhongxiong	弘雄
zhongxiang	烘箱
zhongliang	洪亮
zhongchuan	轟傳
zhongchang	宏昌
zhengsheng	恒生
zhengchang	哼唱
shuangyang	黄洋
shuanghong	晃弘
shengzhong	横塚
shengliang	衡量
shengchuan	横川
shengchong	横冲
shangchuan	航船
shangcheng	航程
chuanzheng	緩徵
chongzhang	宏彰
chengzhong	横塚
chengjiang	横江
chengchong	横冲
changzheng	航政
changcheng	航程
zhuangfei	荒廢
zhongyuan	鴻源
zhongyang	宏揚
zhongxing	红星
zhongxian	紅綫
zhongtong	紅銅
zhongtian	弘田
zhongtang	红糖
zhongshan	弘山
zhongqing	烘青
zhongming	弘明
zhongjian	鴻漸
zhongguan	紅冠
zhonggong	红汞
zhongfeng	洪峰
zhongdong	轰动
zhongdian	紅點
zhenxiang	很想
zhenliang	很亮
zhenjiang	很讲
zhengzhou	橫軸
zhengyang	衡陽
zhengping	横平
zhengding	横丁
zhengchun	恆春
zhaoxiang	好像
zhanjiang	韩江
zhangzhou	杭州
xingzhan	行長
xiānsheng	辛勝
waizhuan	外装
shunzhang	混帳
shuncheng	混成
shuicheng	绘成
shouguang	後光
shouchang	後場
shenliang	很亮
shengzhou	橫軸
shengyang	衡陽
shengxian	橫線
shengping	横平
shenglong	恒隆
shengjing	横井
shaozheng	好正
shaoxiong	好雄
shaosheng	好勝
shanzhong	汉中
shanxiang	旱象
shangxian	航线
shancheng	焊成
shanchang	酣暢
ryongsong	永松
ryanggang	陽剛
pyongsong	永松
pyonggang	永岡
nanzhuang	安装
idangdang	蕩蕩
hongkong	中空
hanzhuang	安装
gwangyang	汪洋
chuanting	幻聽
chuanshan	環山
chuandeng	幻燈
chuanbian	換邊
chongzhen	紅疹
chongyang	宏揚
chongxian	紅綫
chongming	弘明
chenjiang	很讲
chengzhou	橫軸
chengyang	衡陽
chengtian	横田
chengshou	横手
chengguan	橫貫
chenggang	横綱
changzhou	杭州
changxing	航行
changtian	航天
chancheng	焊成
alongshan	滝山
zoucheng	偶成
zongyao	中藥
zhuoying	火影
zhuoshui	禍水
zhuoming	活命
zhujiang	滬江
zhucheng	糊成
zhuanghe	黄河
zhoushan	後山
zhongyun	紅雲
zhongyan	鸿雁
zhongxun	弘訓
zhongxin	紅心
zhongwei	宏偉
zhongwai	紅外
zhongtou	紅透
zhongshu	紅樹
zhonglin	紅磷
zhongkao	烘烤
zhongguo	宏國
zhonggui	宏规
zhonggou	鴻溝
zhongdao	弘道
zhongbei	烘焙
zhezheng	和政
zhenxiao	很小
zhenjian	很尖
zhengzhi	恒志
zhengyue	横越
zhengyan	恒彦
zhengnan	恒男
zhengguo	横过
zhengdao	横刀
zhengcai	橫財
zhejiang	和江
zhaozhou	豪州
zhaoyang	耗氧
zhaoxing	好幸
zhaoshen	好伸
zhaoqing	豪情
zhaoming	好命
zhaoling	号令
zhaohong	好弘
zhanxuan	寒暄
zhanshan	寒山
zhanqiao	韩侨
zhaishan	海山
zhaijiao	還叫
zaicheng	爱称
yuankan	元康
yaoxiang	翱翔
yansheng	安勝
yangyang	昂揚
yangshou	昂首
yancheng	安城
xuanlun	眩亂
wansheng	安勝
wancheng	安城
tsuifeng	随风
tshangla	上臈
toucheng	偶成
thongcha	紅茶
taishang	愛上
taicheng	爱称
taichang	愛唱
sushuang	俗尚
suan-shu	算术
stiebing	鐵餅
ssuchuan	夙川
shuzheng	互爭
shuxiang	互相
shuoyuan	货源
shuofang	伙房
shunshui	混水
shuliang	互諒
shuijiao	會叫
shuiguan	會館
shuidong	挥动
shuguang	湖广
shucheng	糊成
shuangyu	黄玉
shuangye	荒野
shuangxi	磺溪
shouzhen	候診
shouyang	后仰
shoushan	後山
shoulong	後壠
shoujing	后镜
shengzhi	恒志
shengyan	恒彦
shengxin	恒心
shengjin	横筋
shengcai	橫財
shaozhou	豪州
shaoyong	豪勇
shaoyang	耗氧
shaoling	号令
shaohong	好弘
shaoguan	号館
shaogong	浩宮
shaofang	豪放
shaodian	耗電
shanyuan	含冤
shanyang	汉阳
shanwang	漢王
shantang	漢唐
shansong	函送
shanshan	寒山
shandong	撼動
schulian	初戀
schouwen	丑闻
scanting	餐厅
sanxiang	安详
sansheng	安勝
sanjiang	安江
plangman	浪漫
paichuan	哀川
otaishan	太山
orangkai	让开
omeishan	美山
nyingchi	英尺
ngandong	感動
nanzhong	暗中
nanzheng	安政
nanxiang	安详
nanguang	安廣
nanchuan	岸川
nancheng	安城
naichang	愛唱
myingyan	應驗
mancheng	安城
maicheng	爱称
liandeng	藍燈
lanxiang	安详
lansheng	安勝
lancheng	安城
laicheng	爱称
kwentong	文通
kweiyang	未央
kansasii	堪萨斯
jhaishan	海山
itabashi	拓跋氏
ishimaru	始まる
hsichuan	思川
houshang	殴伤
hongmeia	红莓
hanzhong	暗中
hanjiang	安江
hancheng	安城
haisheng	愛生
haichuan	哀川
haicheng	爱称
gzhelian	遮臉
grenchen	人臣
gneiting	内廷
fanzheng	安政
fancheng	安城
emeishan	美山
ekengren	坑人
danjiang	安江
dangyang	昂揚
chuxiong	虎雄
chusheng	胡笙
chunyang	混養
chunxuan	昏眩
chunxiao	混淆
chunshen	浑身
chuanxia	换下
chuangye	荒野
chuandao	换到
chongzhi	弘志
chongyun	紅雲
chongyan	鸿雁
chongwen	宏文
chongshu	紅樹
chongshi	弘世
chongrun	紅潤
chongren	宏仁
chongjin	轟進
chentian	很甜
chengzhi	恒志
chengyou	恒友
chengyan	恒彦
chengxin	恒心
chengwen	恆溫
chengshi	横石
chengnei	横内
chenglin	横林
chengjin	横筋
chengjia	橫加
chengcun	恆存
chengchi	恆齒
chengcai	橫財
checheng	合成
chaozhou	豪州
chaoyong	豪勇
chaoyang	耗氧
chaotian	好天
chaogong	浩宮
chanyuan	含冤
chanling	函令
changyun	航运
changhai	航海
chanfang	漢方
caichang	愛唱
brunnian	闰年
baozang	飽脹
bansheng	安勝
baichuan	哀川
baicheng	爱称
aguiguan	桂冠
zouzhou	欧洲
zongbyi	宗義
zhuzhou	胡謅
zhuying	呼應
zhuxian	狐仙
zhushan	戸山
zhurong	互溶
zhuoyun	货运
zhouzhi	厚志
zhoushu	後述
zhoukou	後口
zhongyi	弘毅
zhongxi	虹吸
zhongwu	紅屋
zhongqi	红旗
zhongmu	轟木
zhonglu	红绿
zhongli	红利
zhonghu	洪湖
zhonghe	红河
zhongfa	弘法
zhongde	红得
zhongan	弘安
zhezong	合縱
zheyuan	河原
zhentou	恨透
zhennan	很難
zhenjiu	很舊
zhenjin	很緊
zhengyi	横议
zhengwu	横屋
zhenglu	横路
zhengji	亨吉
zhengi	正吉
zhenghe	恒河
zhengde	横地
zhenduo	很多
zhedong	河東
zhaoyun	好運
zhaoxin	好心
zhaowen	好文
zhaowei	號為
zhaojun	浩俊
zhaohui	浩暉
zhaohua	豪华
zhanshu	函数
zhanran	悍然
zhanlin	寒林
zhangye	航業
zhangwu	航務
zhanguo	喊过
zhangjiachuan	上嘉川
zhaiwei	海味
zesheng	略胜
zenzai	真哉
zenshu	貞淑
zaoyang	奥様
zandian	鞍点
zaiyuan	哀怨
zaitian	愛田
yunques	雲雀
youzhou	欧洲
youyang	歐陽
yecheng	略称
ychange	嫦娥
yaozhou	澳洲
yaoxing	奥行
yaoshan	奥山
yaohui	舀水
yanzhao	按照
yanyuan	安源
yanyong	安永
yantian	岸田
yansong	安松
yan-shu	鼹鼠
yanshou	鞍手
yanshan	安善
yanqing	安庆
yanping	安平
yanning	安寧
yanming	安明
yanling	按铃
yanjing	安静
yanhong	安宏
yangang	安岡
yanfang	暗訪
yandong	安東
yandian	鞍点
xishuangbanna	西雙版納
wyoming	倭名
wyalong	雅隆
wuchsen	武臣
werding	而定
wenyuan	恩怨
wentian	恩田
wenqing	恩情
wenming	恩命
weissen	未森
wanzhen	安貞
wanyong	安永
wanxian	安縣
wansong	安松
wanshui	安睡
wanshou	鞍手
wanshan	安善
wanquan	安全
wanping	安平
wanning	安寧
wanding	安定
wanchun	鹌鹑
wancang	暗藏
vyangya	養鴨
vanning	安寧
vanding	安定
vandian	鞍点
umingan	敏感
ulidian	利点
ulansha	濫殺
udaiyan	代言
ubangui	扮鬼
tsongmo	松末
tsongdu	誦讀
tshechu	社畜
trechen	热忱
thongdi	红底
tchuan	笹川
tcheng	提成
tarichi	太迟
taoyuan	奥原
taoyang	奥様
taoxian	凹陷
tanyong	安永
tanyang	安陽
tanken	炭坑
tangela	安哥拉
tandeng	安登
tanchun	鹌鹑
taizhou	愛洲
taiyuan	哀怨
taisha	太少
taishan	愛山
tacheng	阿成
szeming	則明
syaoran	杳然
swansen	丸森
stingle	停了
stilian	提炼
stieren	鐵人
steding	特定
srichan	日產
spangen	盤根
šmulian	木蓮
shuxian	狐仙
shutang	胡堂
shushen	護身
shushan	戸山
shurong	互溶
shuozhi	貨殖
shunzai	混在
shuming	呼名
shumeng	狐獴
shulian	胡琏
shujing	壺井
shuiwei	回味
shuitou	会頭
shuinan	輝男
shouzou	後奏
shouwen	候文
shoutai	後台
shoushi	後世
shouren	後任
shoujie	喉結
shexian	和憲
sheshan	和善
shenxin	狠心
shennan	很難
shenjin	很緊
shenhui	很會
shengzi	橫恣
shengsi	橫死
shengli	亨利
shengda	横打
sharan	潸然
shaozhu	豪豬
shaoyun	好運
shaowei	號為
shaosun	耗损
shaoshi	豪士
shaomin	浩敏
shaohui	浩暉
shaohua	豪华
shaohao	好好
shaofei	耗費
shanyue	寒月
shanyin	酣饮
shanxue	汗血
shanwei	寒微
shanshu	函数
shanren	漢人
shannan	函南
shanmin	漢民
shanlin	寒林
shankou	汉口
shanhua	汉化
shanhai	寒害
shangwu	航務
shanguo	喊过
shandao	喊到
shanbei	汉碑
shaiman	海鰻
sechuan	略傳
schubin	出殯
schitsu	持つ
schawan	茶碗
schanke	産科
scanlan	燦爛
scandan	慘澹
sanzang	安葬
sanyang	安陽
sanshui	安睡
sanshan	安善
sanquan	安全
sanqing	安庆
sanping	安平
sanming	安明
sanlian	谙练
sanjian	安閒
sanfang	暗訪
sandong	安東
sanbang	安邦
ryinjin	引进
rreshen	熱身
rhetian	河田
renyuan	恩怨
reichen	热忱
raoping	奥平
randian	鞍点
pyongbu	用布
pyongan	永安
plumian	露面
planman	爛漫
planken	濫墾
phenian	何年
phailin	海林
panguan	暗管
pandian	鞍点
pandeli	暗地裡
øyingen	銀根
oselian	色恋
oliusha	流沙
olanche	拦车
ōkouchi	口吃
ojinbai	进拜
ohanyan	汗顏
ogoulou	佝僂
nyingpo	鷹泊
nyikang	義康
nyangyu	養魚
ngungun	滾滾
ndongou	東欧
nanzhao	按照
nanyuan	安源
nanying	暗影
nanyang	安陽
nanxian	安縣
nantong	安通
nanshan	安善
nanquan	安全
nanqili	安栖里
nanping	安平
nanning	安寧
nanling	按铃
nanlang	岸浪
nankang	鮟鱇
nanjing	安静
nangang	安岡
nanfang	暗訪
nanchao	暗潮
nancang	暗藏
naishan	愛山
menyuan	恩怨
mensen	门神
meisan	美山
maozhou	澳洲
maoyuan	奥原
maoxian	凹陷
maoshan	奥山
maoping	奥平
maolian	熬煉
mantong	安通
mantang	安堂
mansong	安松
manqing	安庆
manga-i	盲愛
mandeli	暗地裡
manchun	鹌鹑
manbang	安邦
mališan	馬連
maijing	愛敬
macheng	阿成
lputian	普天
liangae	練歌
lhengye	横野
lhasang	哈桑
lecheng	略称
laoshan	奥山
lanying	暗影
lanshan	安善
lanquan	安全
lanqing	安庆
lanling	按铃
languan	暗管
lanfang	暗訪
lancang	暗藏
laizhou	愛洲
laiyuan	哀怨
laishan	愛山
laiming	哀鸣
kyongju	用具
kweisui	尾隨
kweilin	為鄰
kweihua	尾花
kwangsi	枉死
kushan	葵扇
krelian	熱戀
kongwe	空位
klinken	林垦
khelang	和朗
khaosan	耗散
khandan	邯郸
kexiang	惡相
keliang	姶良
kecheng	略称
kchacha	喳喳
kaoping	奥平
kaogong	奥宮
kanyini	刊印
kanying	暗影
kantang	安堂
kansong	安松
kaiyuan	哀怨
kaishan	愛山
kaiming	哀鸣
kaiduan	矮短
jantong	安通
janning	安寧
imatong	馬桶
igangan	港岸
ichishi	持世
ichirou	吃肉
ichiran	熾燃
ichigen	赤根
ichidai	池袋
icaiche	裁撤
houyuan	歐元
hjulian	聚斂
hezhang	鵝掌
herlong	耳聾
haotian	奧田
haojing	奥井
haodong	凹洞
hanyuan	安源
hanyang	安陽
hanshui	安睡
hanshou	鞍手
hanshan	安善
hanqing	安庆
hanping	安平
hanning	安寧
hangang	安岡
handong	安東
hanchao	暗潮
haizhou	愛洲
haiyuan	哀怨
haiying	愛鷹
haixing	矮性
haiqing	愛情
haiming	哀鸣
haiguan	哀矜
gyeyang	野羊
gwangmu	王母
goshen	高深
ghaiman	海鰻
gesheng	略胜
gerding	而定
genyuan	恩怨
gaoyang	奥様
gaotang	坳塘
gaoshan	奥山
gaoping	奥平
gaojing	奥井
ganying	暗影
gantang	安堂
ganshan	安善
ganning	安寧
gandeli	暗地裡
gaizhou	愛洲
furlang	富郎
fredian	熱電
frechen	热忱
fluming	芦名
fanyang	安陽
fanshen	安神
fanling	按铃
fanggui	昂贵
fanding	安定
faliang	阿良
engang	本港
dzhangi	長い
duschan	独善
druding	入定
dingen	頂門
dezhang	鵝掌
desheng	略胜
deliang	姶良
decheng	略称
daoyuan	奥原
danyang	安陽
danning	安寧
dandong	安東
dandeli	暗地裡
daliang	阿良
daiying	愛鷹
daijiao	愛嬌
daewang	徳王
dachuan	阿川
dacheng	阿成
crimian	日冕
conque	從缺
chuzhou	胡謅
chuxing	弧形
chutian	戸田
churong	互溶
chunhua	昏花
chundan	混蛋
chulian	胡琏
chuimei	絵美
chuichu	匯出
chucho	初潮
chuchan	护产
chuanfa	換發
chuana	川獺
chouren	後任
choukou	後口
choujin	後進
chouhou	厚厚
chouhan	後漢
chongyi	弘毅
chongye	红叶
chongxi	虹吸
chongwu	紅屋
chongwa	紅瓦
chonghu	洪湖
chongde	红得
chicago	吃草
chhuan	迟缓
chenhao	很好
chengzi	橫恣
chengyi	横议
chengwu	横屋
chengsi	橫死
chengpu	横浦
chengji	亨吉
chenggu	横谷
chengfu	恒富
chengdu	橫渡
chengde	横地
chengda	横打
chawans	茶碗
chaucha	出差
chaonan	好男
chaohua	豪华
chaobai	皓白
chanwei	寒微
changlu	航路
changji	航跡
chandan	邯郸
chanchu	喊出
chaiman	海鰻
chailao	海老
caozhou	澳洲
caotang	坳塘
caoshan	奥山
caoping	奥平
caodong	凹洞
candian	鞍点
caizhou	愛洲
caitian	愛田
caijing	愛敬
byangsi	陽司
bujang	部将
brendan	仁丹
branche	班车
brancai	板材
boodang	波荡
bluming	芦名
blumei	比呂美
blanken	濫墾
bhushan	戸山
bhuiyan	諱言
bhandan	邯郸
berding	而定
benming	恩命
bendian	恩典
beiden	北登
bayang	褒扬
baoxing	奥行
baotian	奧田
baotang	坳塘
baoshan	奥山
banquan	安全
banping	安平
bannong	安濃
banlang	岸浪
banchao	暗潮
baishan	愛山
baiquan	愛犬
baiqing	愛情
baijiao	愛嬌
baideng	矮凳
baidang	愛宕
azoulai	走來
azanian	雜念
ayuwang	魚網
ashouri	首日
ashihei	石黒
arichan	日產
apintie	拼贴
aningan	宁安
angelae	安哥拉
anandan	南淡
anaicha	奶茶
amatong	馬桶
amalong	馬龍
alishan	裏山
alansan	懶散
akezhan	客棧
akaishi	开始
aguigan	贵干
adarang	大嚷
adalian	大連
achutan	雛壇
achugao	初稿
yuanmingyuan	圆明园
yangmingshan	阳明山
xingzhonghui	興中會
xiaotangshan	小湯山
songhuajiang	松花江
shijiazhuang	石家莊
pingdingshan	平頂山
lancangjiang	瀾滄江
jinggangshan	井冈山
huanghuagang	黃花崗
heilongjiang	黑龍江
dongfanghong	東方紅
changbaishan	长白山
zweier	威爾
zunzur	樽俎
zouch	走出
zilei	之类
zhuoye	火野
zhuolu	活路
zhuoju	火炬
zhulin	虎林
zhuhou	狐猴
zhuhai	胡海
zhucun	湖村
zhubin	湖滨
zhubei	湖北
zhouzi	猴子
zhouli	厚利
zhoubi	後壁
zhongnanhai	中南海
zhongguoren	中国人
zhizn	至尊
zhizni	治子
zhenxi	很细
zhennanguan	鎮南關
zhenji	痕迹
zhenan	很暗
zhenai	很愛
zhelan	荷兰
zhelai	賀来
zhejun	和俊
zhegan	何干
zhecun	河村
zhaoyi	浩義
zhaowu	好物
zhaohe	好喝
zhaode	浩徳
zhanna	漢那
zhanhu	含糊
zhangjiakou	张家口
zetian	額田
zejian	略见
zappai	雜牌
zaman	载满
zaizhi	爱知
zaidao	愛島
youyou	歐遊
youwen	歐文
youmei	歐美
youhua	欧化
ylagan	拉桿
ykenai	可奈
yingi	硬体
yezzhe	业者
yelang	饿狼
yechengguang	成光
yaxuna	阿須那
yashan	阿山
yaque	燕雀
yaotou	鰲頭
yaoshi	傲世
yanzhi	安治
yanza	塩竈
yanyun	安芸
yanyan	安彦
yantai	安泰
yanshi	暗示
yanran	岸然
yanpei	安培
yanpai	按排
yannai	安奈
yanlai	安来
yanhai	暗害
yangzijiang	扬子江
yanguo	安國
yanen	阉人
yancun	安村
yancha	安插
yaichi	愛吃
yagong	阿公
yadong	阿東
xianggelila	香格里拉
xanxia	按下
xanshi	暗示
wujiao	屋架
whelan	荷兰
wesile	饿死了
werong	鵝絨
wenzhi	恩智
wenwei	恩威
wenhui	恩惠
wengen	恩根
weißer	威爾
weirii	偽り
weilen	圍了
wanzai	安在
wanyan	安彦
wanshi	暗示
wannan	安南
wanhua	氨化
wanguo	安國
wangui	暗鬼
wanghucheng	杨虎城
wandre	玩得
waishengren	外省人
waisha	愛紗
wailin	矮林
wailan	愛蘭
waichi	愛吃
veryan	而言
veling	悪霊
vansen	岸森
valian	阿利安
uziran	自燃
uyugan	鱼竿
utiyan	体验
utichi	鵜池
ushima	駛馬
ulanhu	蓝鹱
ulagan	拉桿
ugandi	乾弟
uganda	敢打
uewen	学问
udiyan	堤堰
udeshi	地势
udayin	打印
udayan	打眼
udasan	打伞
ucucha	粗茶
uchise	赤色
uchire	炽热
uchini	吃膩
ubashi	罢市
tyumen	玉门
tyulin	玉林
tyisha	伊砂
twenge	问个
twende	文徳
twanna	完納
twaibu	外埔
tsinan	寺南
tshidi	石底
truran	濡染
trupin	乳品
trenle	忍了
trende	认得
toushi	歐式
touran	偶然
tougan	偶感
tlaili	來歷
tianzhujiao	天主教
thulin	虎林
thulan	呼兰
thuban	护板
thezan	和讃
theran	赫然
theile	黑了
thegan	何干
theben	河本
thebai	和白
thaili	海里
teuren	特任
tetian	額田
teryan	而言
terizi	えり子
terhou	爾後
tergui	而归
tequan	恶犬
telang	饿狼
tchong	摏
tcheng	憕
tchang	肠
tavisi	泰司
tateng	阿藤
tashan	阿山
taridi	太低
taoyin	拗音
tantan	安曇
tantai	安泰
tanshi	暗示
tansen	岸森
tandai	安代
taiyan	礙眼
taiwan	愛玩
taisha	愛紗
taisen	埃森
tairan	愛染
tainan	碍难
tainai	欸乃
taijin	挨近
taihua	愛華
taiheo	太合
taihao	哀號
taigan	哀感
taichi	愛吃
szeben	沢本
swendi	文帝
swanke	晚课
swaidi	外敵
sungen	宿根
stiege	替え歌
sthiti	屍體
ştefan	特番
stefan	特番
stawei	塔尾
stanke	坦克
stange	探戈
staige	台閣
srouji	柔肌
spuren	仆人
spomen	破門
soushi	歐式
sminge	名額
slinge	领略
sliman	豊満
sliema	烈馬
skudai	褲袋
skewen	课文
skanke	看客
skaidi	开抵
sjunde	俊徳
sireni	死人
sifangcheng	西坊城
shuzhi	互质
shuyan	护眼
shuxue	虎穴
shuxin	互信
shuwen	虎纹
shuta	书坛
shushi	护士
shuren	湖人
shuqin	胡琴
shuoyi	获益
shunza	混雑
shunyi	婚儀
shunji	魂祭
shunde	混得
shunan	虎男
shumen	虎門
shumei	狐媚
shulin	虎林
shujun	弧菌
shujiu	呼救
shuili	絵里
shuihu	輝虎
shudan	虎膽
shuchi	護持
shubin	湖滨
shubao	互保
shuangcheng	創成
shouyi	後裔
shouxu	后序
shouqi	後妻
shoulu	厚禄
shouli	厚利
shoude	厚地
shibhi	勢必
shewan	喝完
shetan	河灘
sheshi	核试
shesha	河沙
sheren	和仁
sheran	赫然
shensi	恨死
shenji	痕迹
shendu	很毒
shendi	很低
shenda	很大
shemin	和民
shekou	喝口
sheide	黑得
shehua	荷花
shehan	和漢
shaoyi	浩義
shaowu	好物
shaoqi	豪氣
shaogu	好古
shaofu	好夫
shaodi	豪邸
shaobo	好博
shanzu	汉族
shanxi	焊錫
shanta	旱獺
shanqi	寒氣
shanna	漢那
shanhe	漢和
shanhaijing	山海经
shanhaiguan	山海关
shange	酣歌
shanfu	悍婦
shanba	旱魃
shaiba	海抜
sesban	色散
sengen	恩根
sengei	恩給
selang	饿狼
scupin	粗品
schure	触れ
schile	吃了
scheye	徹也
schang	肠
schade	差得
schaan	查案
scanza	摻雜
scandi	殘敵
sbeita	碑拓
sateng	阿藤
sasami	阿薩密
sarao	骚扰
sapian	阿片
saoman	傲慢
sanzhu	安竹
sanxia	按下
santai	安泰
sansha	暗殺
sansen	岸森
sanpei	安培
sanmin	安民
sanjia	鞍架
sanhua	氨化
sanhao	暗號
sanhan	暗含
sanguo	安國
sangui	暗鬼
sancha	安插
sanbao	安保
saluto	洒落
saiyan	礙眼
saishu	矮樹
sairan	愛染
saimei	曖昧
sailin	矮林
saigan	哀感
saidai	愛戴
sadong	阿東
ryumin	渔民
ryuhei	羽黒
ryuchi	玉池
rjukan	拒看
rhaita	海獭
reshni	惹事
reshen	惡神
renshi	恩師
renren	恩人
renkun	蒽醌
renhet	任何
rengen	恩根
reming	惡名
redang	悪党
rayuan	阿原
rannei	案內
randou	暗鬥
randai	安代
rancha	安插
raming	阿明
ralian	阿利安
raisen	埃森
raijin	挨近
raiche	爱车
ragang	阿冈
qinshihuang	秦始皇
qinhuangdao	秦皇島
qingliangsi	清涼寺
qashan	阿山
prende	认得
pouran	偶然
plinge	领略
plazhi	蠟紙
plantu	蓝图
plamen	拉门
plaide	來得
pladao	拉倒
piperi	匹配
phende	恨得
phelan	荷兰
phayao	哈腰
phanta	旱獺
phanna	漢那
pfeile	廢了
persai	耳塞
perran	而然
pergen	耳根
peling	悪霊
pashia	怕事
pasang	阿桑
papian	阿片
panui	判罪
pannai	安奈
panhai	暗害
pandai	安代
palian	阿利安
paiwan	愛玩
paitan	哀叹
painan	碍难
pailin	矮林
padong	阿東
øyeren	野人
owashi	瓦石
oteren	特任
otange	探戈
otalia	他倆
otaibi	台幣
oshita	石塔
oshima	駛馬
oshana	紗那
orende	认得
opende	盆地
opangu	盤古
oniyan	泥岩
ōnishi	你是
onishi	你是
onicha	逆差
omutan	木炭
omocha	抹茶
ominda	敏达
omagua	馬褂
omachi	馬齒
omache	馬車
olinde	林地
olanta	蘭塔
olanna	藍那
olaide	來得
ogunde	滾地
ogulin	古林
oguchi	古池
ogong	奥宮
oeming	惡名
odiele	跌了
odashi	大柿
ochuse	出色
ochile	吃了
ochema	車馬
ochefu	车夫
óbudai	布袋
obuchi	不啻
oboyan	博彦
obomin	博敏
obeidi	备抵
obeida	被打
nyusha	淤沙
nyishi	衣食
nyanyi	演绎
nyanse	眼色
nüzhuangyuan	狀元
nouwen	歐文
nojiri	お祭り
niushoushan	牛首山
nhande	喊得
ngendi	根底
nganzi	柑子
ngandu	感度
nershi	而是
nei-ji	內急
ndonga	东阿
ndanda	胆大
nasite	阿斯特
nasha	南砂
nasami	阿薩密
naoshi	傲世
nanyou	案由
nantou	案头
nantai	安泰
nanshi	暗示
nansha	暗殺
nansen	岸森
nanqiu	安丘
nanpan	暗盤
nannan	安南
nanman	安曼
nanlai	安来
nanhui	安徽
nanhua	氨化
nanhan	暗含
nanhai	暗害
nanguo	安國
nandan	黯淡
nanbei	安倍
naishi	碍事
naisha	愛紗
nairan	愛染
naiche	爱车
myanma	彦馬
myachi	鴨池
mwenze	問責
mwenye	文也
mwenda	问答
muian	母線
mposhi	迫使
mpangu	盤古
morjen	默认
morhua	墨画
morden	默认
morcha	抹茶
mokdan	磨勘
mohan	冒汗
mnashi	雫石
mmanwu	滿於
miyako	秘要
minimo	民瘼
mildei	弥勒
mi-fen	米粉
mhanna	漢那
metian	額田
merong	鵝絨
merlou	耳漏
merjin	而今
mergui	而归
mergen	耳根
mengen	恩根
meling	悪霊
meiyo	媚薬
meiden	美德
mchunu	處女
mbugua	不挂
mbochi	駁斥
mbingu	濱谷
mbandi	班底
mbande	办的
mbadou	笆斗
mashan	阿山
maseng	阿僧
masang	阿桑
masami	阿薩密
marshi	麻矢
margen	罵人
maqian	呵欠
maoyun	奧運
maokou	拗口
manzhu	安竹
manwen	安穩
manwan	安丸
mantan	安曇
manshu	桉树
manshi	暗示
mansha	暗殺
mansen	岸森
mannai	安奈
manman	安曼
manhao	暗號
manhan	暗含
mangui	暗鬼
mandai	安代
manchu	暗处
mallei	马累
malayi	馬來
malabo	阿拉伯
maitan	哀叹
maisha	愛紗
mairan	愛染
maicao	艾草
magong	阿公
machte	馬車
lyulin	玉林
lyuben	与本
lyuban	魚板
longmenshan	龍門山
lliure	流れ
lleshi	樂施
lleida	雷达
li-man	豊満
lianyungang	連雲港
lhunpo	魂魄
leshou	扼守
leqing	俄顷
leming	惡名
